Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.305;0.104;0.043;0.058;0.109;0.07;0.123;0.018;0.036;0.024;0.009;0.258;;;;;;;0.011;0.058;0.001;0.362;0.012;0.321;-0.114;0.183;0.002;0.031;0.104;0.104;-0.139;0.023;0.015;0.108;0.005;0.329;;;;;;;-0.253;0.093;0.007;0.12;0.002;0.13;-0.13;0;0;0.003;0;0.025;-0.002;-0.052;0.009;0.077;0.001;0.365;0.119;0.059;0.025;0.185;0.006;0.28;-0.192;-0.031;0.313;0.028;0.082;0.501;0.013;0.03;0.006;0.012;0;0.11;0.035;0.131;0.619;0.031;0.048;0.155;-0.127;0.001;0.078;0.015;0.001;0.446;-0.198;0.017;0.001;0.06;0;0.256;-0.516;-0.043;0;0.069;0.048;0.74;0.231;0.044;0.082;0.036;0.002;0.142;0.241;-0.101;0.006;0.032;0;0.444;-0.113;0.037;0.011;0.064;0.001;0.162;0.709;0.066;0.983;0;0;0;;;;;;;-0.112;0.164;0.024;0.017;0.07;0.72;-0.082;-0.013;0.015;0.02;0.001;0.485;-0.082;-0.013;0.015;0.02;0.001;0.485;;;;;;;-0.219;0.007;0.041;0.003;0.001;0.021;0.013;0.006;0.015;0.026;0.024;0.143;-0.281;-0.027;0.001;0.012;0;0.123;-0.108;0.095;0.002;0.027;0.027;0.067
2;0.025;0.066;0.118;0.001;0.124;0.002;0.12;-0.099;0.087;0.01;0.002;0.586;-0.093;0.036;0.024;0.024;0.002;0.199;-0.001;0.059;0;0.352;0.01;0.315;-0.105;0.006;0.001;0.101;0.013;0.668;0.383;0.009;0.485;0.013;0.007;0.147;;;;;;;-0.256;0.15;0.005;0.094;0.003;0.085;-0.109;0.039;0.001;0.001;0;0.012;-0.115;-0.007;0.026;0.025;0.001;0.238;-0.011;0.084;0.01;0.036;0.012;0.051;-0.155;-0.092;0.065;0.023;0.018;0.802;0.2;0.03;0.883;0;0.001;0.002;0.263;0.086;0.729;0.049;0.055;0.067;-0.05;-0.024;0.004;0.009;0.001;0.304;-0.14;-0.003;0.003;0.046;0;0.253;-0.414;-0.046;0;0.061;0.053;0.718;-0.038;-0.013;0.016;0.032;0.001;0.093;-0.305;0.015;0.001;0.493;0.003;0.267;-0.043;0.047;0.007;0.06;0.001;0.153;0.569;0.067;0.965;0;0;0;;;;;;;-0.049;0.148;0.032;0.017;0.07;0.637;-0.075;-0.025;0.06;0.027;0.002;0.459;-0.075;-0.025;0.06;0.027;0.002;0.459;;;;;;;0.019;0.051;0.701;0.046;0.002;0.071;-0.093;-0.048;0.003;0.065;0.001;0.384;-0.34;-0.014;0.001;0.044;0.003;0.268;-0.123;0.069;0.003;0.045;0.014;0.071
3;0.485;0.058;0.962;0.001;0.012;0.001;0.025;0.095;0.015;0.042;0.019;0.487;-0.107;0.004;0.015;0.015;0.001;0.19;-0.161;0.07;0.001;0.232;0.014;0.329;-0.012;0.024;0.002;0.13;0.015;0.519;0.436;-0.01;0.856;0.002;0.006;0.053;-0.51;0.035;0.001;0.022;0;0.509;-0.262;0.138;0.007;0.073;0.003;0.073;-0.125;0.01;0.001;0.004;0;0.034;-0.117;-0.002;0.026;0.022;0.001;0.213;-0.248;0.054;0.014;0.033;0.003;0.077;-0.087;-0.035;0.042;0.04;0.01;0.83;0.002;0.051;0.479;0.004;0.002;0.039;0.292;0.088;0.586;0.071;0.103;0.099;-0.177;-0.014;0.007;0.025;0.001;0.463;-0.1;0.015;0.002;0.062;0;0.261;-0.422;-0.066;0.001;0.072;0.07;0.685;-0.099;0.002;0.014;0.067;0.001;0.388;0.035;0.011;0.002;0.101;0;0.429;-0.044;0.041;0.008;0.074;0.001;0.159;0.076;0.002;0.025;0.024;0.001;0.317;;;;;;;-0.134;0.157;0.036;0.013;0.098;0.667;-0.072;-0.033;0.004;0.025;0;0.7;-0.072;-0.033;0.004;0.025;0;0.7;-0.209;0.09;0.007;0.114;0.006;0.302;0.033;0.014;0.013;0.1;0.002;0.429;-0.102;-0.036;0.002;0.052;0.001;0.258;-0.298;-0.056;0.001;0.009;0;0.122;-0.137;0.07;0.002;0.043;0.011;0.083
4;0.487;0.043;0.988;0;0.004;0;0.372;0.017;0.578;0.014;0.012;0.076;-0.078;0.002;0.059;0.01;0.001;0.183;-0.233;0.075;0.001;0.239;0.016;0.277;0.246;0.026;0.056;0.091;0.007;0.542;0.599;0.064;0.968;0;0.007;0.001;-0.392;0.063;0.001;0.039;0;0.428;-0.176;0.105;0.006;0.107;0.003;0.123;-0.095;0.006;0;0.003;0;0.025;-0.071;0.009;0.039;0.019;0.001;0.197;-0.418;-0.198;0.001;0.009;0.001;0.669;-0.096;-0.008;0.549;0.031;0.014;0.281;0.549;0.068;0.993;0;0;0;0.269;0.077;0.651;0.043;0.069;0.094;-0.203;0.06;0.006;0.032;0.001;0.667;-0.003;0.019;0.007;0.06;0;0.339;-0.367;-0.016;0;0.049;0.054;0.707;-0.033;0.049;0.049;0.025;0.002;0.174;0.068;0.028;0.005;0.135;0.001;0.363;-0.162;0.072;0.013;0.124;0.003;0.137;-0.008;-0.046;0.008;0.015;0;0.592;;;;;;;-0.1;0.099;0.044;0.013;0.098;0.624;-0.091;-0.049;0.007;0.036;0.001;0.695;-0.091;-0.049;0.007;0.036;0.001;0.695;-0.211;0.037;0.002;0.273;0.004;0.408;-0.217;-0.095;0.004;0.014;0.001;0.34;0.359;-0.052;0.361;0.005;0.002;0.166;-0.293;-0.065;0.002;0.011;0.001;0.132;-0.162;0.055;0.001;0.076;0.009;0.125
5;0.479;0.053;0.973;0;0.011;0;0.351;0.029;0.19;0.048;0.051;0.239;-0.088;0.008;0.088;0.007;0.002;0.134;-0.205;0.075;0.001;0.245;0.015;0.276;0.257;0.03;0.098;0.129;0.017;0.271;0.675;0.067;0.971;0;0.002;0;-0.363;-0.008;0.001;0.021;0;0.53;-0.15;0.139;0.009;0.106;0.004;0.181;-0.07;0.012;0;0.003;0;0.02;-0.071;0.002;0.032;0.024;0.001;0.211;-0.218;-0.024;0.006;0.044;0.004;0.161;-0.132;-0.038;0.436;0.036;0.025;0.38;0.622;0.069;0.989;0;0;0;0.245;0.063;0.476;0.051;0.122;0.13;-0.189;0.042;0.028;0.014;0.002;0.63;0.069;0.026;0.009;0.077;0.001;0.34;-0.328;0.001;0;0.057;0.105;0.506;0.121;0.05;0.094;0.011;0.002;0.084;-0.051;-0.001;0.006;0.088;0.001;0.281;-0.168;-0.046;0.002;0.062;0.001;0.519;-0.007;-0.037;0.001;0.007;0;0.463;;;;;;;-0.106;0.126;0.035;0.015;0.073;0.69;-0.088;-0.02;0.027;0.019;0.001;0.538;-0.088;-0.02;0.027;0.019;0.001;0.538;-0.198;0.036;0.016;0.191;0.007;0.298;0.027;0.027;0.19;0.005;0.005;0.075;;;;;;;-0.262;-0.264;0.002;0.007;0;0.233;-0.115;0.074;0.002;0.056;0.011;0.112
6;0.43;0.056;0.851;0.002;0.049;0.002;0.296;0.041;0.115;0.039;0.04;0.184;-0.045;0.014;0.069;0.009;0.001;0.126;-0.204;0.087;0.001;0.283;0.013;0.346;0.252;0.041;0.082;0.158;0.016;0.226;0.659;0.075;0.979;0;0.001;0;-0.312;-0.022;0.002;0.021;0;0.387;-0.169;0.139;0.007;0.118;0.005;0.134;-0.079;0.003;0.001;0.005;0;0.042;-0.07;-0.004;0.017;0.039;0.001;0.231;-0.069;0.039;0.235;0.03;0.003;0.07;-0.123;-0.036;0.372;0.045;0.037;0.435;0.623;0.068;0.981;0;0;0;0.211;0.068;0.699;0.044;0.111;0.044;-0.408;-0.113;0.005;0.021;0.001;0.543;0.112;0.024;0.008;0.078;0.001;0.292;-0.332;-0.001;0;0.057;0.109;0.477;0.073;0.052;0.064;0.014;0.001;0.09;0.084;-0.029;0.033;0.081;0.001;0.415;-0.088;0.07;0.011;0.086;0.002;0.131;0.165;0.011;0.01;0.014;0.002;0.101;0.457;0.024;0.677;0.002;0.003;0.014;-0.081;0.104;0.047;0.014;0.065;0.665;-0.137;-0.02;0.006;0.034;0.001;0.539;-0.137;-0.02;0.006;0.034;0.001;0.539;-0.135;0.029;0.009;0.195;0.01;0.229;-0.037;0.048;0.318;0.005;0.006;0.098;;;;;;;-0.291;-0.01;0.001;0.026;0.001;0.276;-0.1;0.065;0.002;0.021;0.025;0.044
7;0.501;0.077;0.947;0.001;0.017;0;0.243;0.07;0.062;0.055;0.066;0.144;-0.04;-0.003;0.064;0.008;0.001;0.144;-0.204;0.085;0.001;0.202;0.012;0.338;0.206;0.002;0.005;0.128;0.008;0.517;0.682;0.092;0.983;0;0;0;-0.313;-0.068;0.002;0.019;0;0.438;-0.216;0.183;0.006;0.171;0.003;0.129;-0.064;-0.008;0;0.003;0;0.025;-0.063;-0.004;0.009;0.03;0.001;0.197;-0.256;-0.09;0.003;0.036;0.005;0.067;-0.108;-0.035;0.236;0.039;0.027;0.58;0.58;0.039;0.967;0;0;0;0.221;0.075;0.753;0.024;0.104;0.038;-0.127;0.034;0.007;0.015;0.001;0.712;0.107;0.02;0.023;0.084;0.001;0.342;-0.244;-0.055;0.001;0.018;0.008;0.877;0.113;0.054;0.026;0.045;0.001;0.227;-0.159;-0.018;0.002;0.173;0.001;0.402;-0.141;0.068;0.008;0.128;0.002;0.263;0.196;0.025;0.007;0.012;0.001;0.083;0.433;0.006;0.462;0.006;0.003;0.047;0.016;0.082;0.073;0.012;0.075;0.571;-0.076;-0.032;0.008;0.019;0.001;0.57;-0.076;-0.032;0.008;0.019;0.001;0.57;-0.194;0.077;0.01;0.156;0.008;0.359;-0.086;-0.011;0.178;0.002;0.003;0.021;;;;;;;-0.294;-0.011;0.001;0.025;0.001;0.272;-0.09;0.039;0.002;0.018;0.02;0.035
8;0.387;0.058;0.888;0.003;0.031;0.002;0.194;0.078;0.048;0.066;0.054;0.197;-0.087;0.003;0.084;0.009;0.001;0.177;-0.211;0.071;0.001;0.232;0.012;0.295;0.045;0.036;0.005;0.19;0.019;0.363;0.72;0.091;0.988;0;0;0;-0.428;-0.031;0.001;0.019;0;0.526;-0.442;0.262;0.001;0.356;0.001;0.353;-0.125;0.032;0;0.002;0;0.021;-0.097;-0.014;0.01;0.042;0.001;0.252;0.337;0.074;0.949;0.001;0.001;0.002;-0.168;-0.046;0.527;0.024;0.036;0.329;0.468;0.026;0.941;0;0;0.001;0.216;0.065;0.752;0.015;0.135;0.031;-0.156;0.04;0.003;0.023;0.002;0.562;0.055;0.026;0.014;0.075;0.001;0.408;-0.306;-0.05;0;0.022;0.008;0.8;0.054;0.031;0.031;0.09;0.002;0.347;-0.198;0.027;0.001;0.338;0.001;0.342;-0.231;0.067;0.002;0.132;0.002;0.397;0.199;0.04;0.006;0.018;0.002;0.09;-0.181;0.033;0.014;0.114;0.016;0.301;0.12;0.11;0.099;0.012;0.112;0.583;-0.17;-0.057;0.001;0.063;0;0.675;-0.17;-0.057;0.001;0.063;0;0.675;-0.106;0.079;0.146;0.066;0.007;0.162;-0.063;-0.009;0.037;0.001;0.002;0.013;;;;;;;-0.295;-0.004;0.001;0.018;0;0.168;-0.08;0.072;0.002;0.031;0.018;0.05
9;-0.033;0.089;0.154;0.013;0.024;0.024;0.186;0.083;0.05;0.069;0.067;0.16;-0.081;-0.001;0.044;0.01;0.001;0.155;-0.17;0.056;0.001;0.257;0.01;0.316;0.033;0.018;0.004;0.135;0.013;0.336;0.703;0.092;0.986;0;0;0;-0.3;0.011;0.002;0.02;0;0.459;0.052;0.154;0.023;0.163;0.002;0.212;-0.162;-0.006;0;0.002;0;0.011;-0.184;-0.002;0.008;0.034;0;0.277;-0.007;-0.005;0.126;0.046;0.004;0.117;-0.149;-0.038;0.344;0.038;0.03;0.476;0.465;0.019;0.924;0;0.001;0.001;0.193;0.076;0.845;0.012;0.067;0.027;-0.167;0.047;0.003;0.03;0.001;0.646;0.043;0.001;0.008;0.071;0.001;0.318;-0.294;-0.043;0.001;0.021;0.011;0.771;0.068;0.052;0.032;0.111;0.002;0.163;-0.098;0.034;0.003;0.17;0.001;0.298;-0.215;0.065;0.002;0.118;0.002;0.391;0.166;0.024;0.01;0.016;0.003;0.086;0.201;0.011;0.514;0.009;0.008;0.213;0.08;0.173;0.064;0.013;0.123;0.579;-0.032;-0.045;0.051;0.018;0.001;0.194;-0.032;-0.045;0.051;0.018;0.001;0.194;-0.124;0.067;0.015;0.137;0.009;0.201;-0.073;-0.02;0.014;0.003;0.001;0.028;;;;;;;-0.302;-0.03;0.001;0.021;0.001;0.194;-0.145;0.076;0.002;0.071;0.019;0.081
