Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;0.389;0.054;0.007;0.042;0.032;0.517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.457;0.031;0.064;0.07;0.01;0.224;0.165;0.031;0.029;0.025;0.031;0.29;-0.199;0.08;0.002;0.065;0.001;0.489;-0.111;0.024;0;0.149;0.008;0.229;0.03;0.028;0.006;0.144;0.008;0.476;-0.25;0.002;0.002;0.21;0.006;0.448;-0.401;0.012;0.001;0.016;0;0.571;-0.169;0.093;0.008;0.107;0.002;0.172;0.073;0.019;0.058;0.003;0;0.04;-0.156;-0.003;0.002;0.077;0.001;0.508;-0.298;0.037;0.003;0.119;0.018;0.061;-0.084;-0.059;0.007;0.036;0.003;0.875;0.157;0.028;0.408;0.003;0.002;0.06;0.13;0.026;0.855;0.015;0.052;0.019;-0.13;0.035;0.128;0.013;0.003;0.371;-0.172;-0.04;0.001;0.046;0;0.437;-0.266;0.012;0.001;0.043;0.049;0.47;-0.097;-0.028;0.026;0.094;0.002;0.317;-0.042;0.079;0.145;0.064;0.001;0.231;0.283;0.045;0.65;0.01;0.003;0.063;0.614;0.025;0.977;0;0;0;;;;;;;-0.13;0.017;0.005;0.048;0.003;0.193;-0.082;0.002;0.009;0.025;0.026;0.783;-0.106;-0.027;0.005;0.114;0.001;0.54;-0.163;0.037;0.005;0.135;0.007;0.411;-0.151;0.035;0.216;0.001;0.002;0.017;;;;;;;-0.188;-0.089;0.002;0.041;0.002;0.453;0.034;0.062;0.018;0.031;0.008;0.117
2;0.038;0.102;0.002;0.204;0.004;0.609;0.2;0.037;0.044;0.023;0.03;0.253;-0.203;0.026;0.002;0.065;0.001;0.509;-0.076;0.042;0;0.073;0.001;0.707;0.2;0.028;0.02;0.163;0.009;0.35;-0.252;0.002;0.003;0.279;0.006;0.332;-0.443;0.098;0.002;0.028;0;0.467;-0.219;0.095;0.006;0.061;0.001;0.186;-0.103;0.01;0.004;0.006;0;0.057;-0.184;-0.016;0.002;0.093;0.001;0.574;-0.209;0.019;0.003;0.159;0.009;0.188;-0.172;-0.032;0.124;0.054;0.007;0.658;0.133;0.027;0.144;0.007;0.001;0.097;0.014;0.003;0.46;0.047;0.22;0.072;-0.145;0.014;0.238;0.01;0.004;0.291;-0.092;0;0.003;0.057;0;0.371;-0.268;-0.016;0.001;0.05;0.087;0.439;0.083;0.051;0.037;0.101;0.002;0.252;-0.121;0.003;0.003;0.182;0.001;0.327;0.367;0.053;0.735;0.01;0.003;0.053;0.707;0.034;0.981;0;0;0;;;;;;;-0.152;0.026;0.006;0.045;0.003;0.157;-0.103;0.042;0.004;0.024;0.012;0.862;-0.151;-0.041;0.005;0.103;0.001;0.574;-0.162;-0.04;0.005;0.084;0.005;0.328;0.01;0.02;0.562;0.001;0.002;0.011;;;;;;;-0.205;-0.035;0.002;0.034;0.002;0.344;0.035;0.058;0.013;0.025;0.019;0.076
3;0.283;-0.003;0.718;0.005;0.013;0.007;0.133;0.017;0.01;0.026;0.004;0.349;-0.195;0.02;0.002;0.061;0.001;0.511;-0.158;0.046;0;0.077;0.001;0.663;0.244;0.001;0.323;0.055;0.003;0.373;-0.195;0.015;0.005;0.188;0.008;0.325;-0.422;0.133;0.002;0.03;0;0.451;-0.083;0.124;0.004;0.098;0.001;0.274;-0.18;-0.021;0.013;0.009;0;0.241;-0.163;0.004;0.002;0.114;0.001;0.532;-0.323;0.06;0.003;0.153;0.011;0.156;-0.198;-0.03;0.311;0.052;0.011;0.296;0.009;0.022;0.008;0.018;0;0.241;0.008;0.012;0.13;0.071;0.321;0.213;-0.146;0.027;0.146;0.009;0.003;0.31;-0.082;-0.015;0.004;0.043;0;0.25;-0.333;-0.01;0;0.033;0.054;0.562;-0.108;-0.232;0.004;0.134;0.002;0.36;-0.03;0.049;0.134;0.029;0.003;0.366;0.385;0.037;0.686;0.011;0.003;0.062;0.597;0;0.972;0;0;0;;;;;;;-0.164;0.016;0.003;0.053;0.002;0.185;-0.052;0.228;0.008;0.026;0.026;0.726;-0.113;-0.028;0.003;0.125;0.002;0.59;-0.129;0.029;0.025;0.056;0.006;0.152;0.09;0.041;0.277;0.001;0.004;0.009;;;;;;;-0.179;-0.007;0.001;0.022;0.001;0.192;-0.099;0.012;0.011;0.027;0.018;0.089
4;0.442;0.059;0.292;0.016;0.008;0.027;0.179;0.022;0.021;0.023;0.007;0.369;-0.231;0.032;0.002;0.079;0.001;0.491;-0.118;0.048;0;0.105;0.002;0.602;0.093;0.039;0.007;0.276;0.009;0.426;-0.236;0.027;0.003;0.208;0.01;0.353;-0.413;0.177;0.002;0.035;0;0.487;-0.207;0.106;0.002;0.055;0.001;0.239;-0.031;0.011;0.004;0.003;0;0.024;-0.16;-0.018;0.001;0.118;0.001;0.598;-0.268;0.061;0.002;0.185;0.012;0.216;-0.206;-0.019;0.49;0.028;0.015;0.321;0.016;0.024;0.004;0.022;0;0.273;0.241;0.015;0.034;0.165;0.078;0.367;-0.193;0.027;0.046;0.013;0.002;0.446;-0.14;-0.006;0.003;0.041;0;0.289;-0.328;0.007;0;0.03;0.048;0.503;-0.091;0.024;0.008;0.243;0.004;0.312;-0.119;0.053;0.003;0.355;0.006;0.204;0.384;0.039;0.658;0.009;0.003;0.046;0.424;0.005;0.771;0.001;0.001;0.007;;;;;;;-0.239;0.013;0.002;0.062;0.002;0.27;-0.087;-0.059;0.016;0.016;0.008;0.822;-0.097;-0.036;0.003;0.08;0.001;0.601;-0.166;0.036;0.179;0.011;0.037;0.046;0.014;0.033;0.176;0.001;0.005;0.02;-0.106;0.025;0.006;0.062;0.002;0.22;-0.265;-0.016;0.001;0.027;0.001;0.319;-0.107;0.003;0.022;0.02;0.009;0.075
5;0.315;0.05;0.513;0.002;0.08;0.003;0.149;0.037;0.039;0.019;0.02;0.275;-0.188;0.033;0.002;0.043;0.001;0.419;-0.062;0.048;0;0.11;0.001;0.673;0.21;0.039;0.011;0.143;0.014;0.36;-0.307;-0.007;0.003;0.251;0.005;0.192;-0.485;0.093;0.001;0.027;0;0.484;-0.234;0.1;0.002;0.098;0.001;0.196;0.008;0.028;0.012;0.003;0;0.024;-0.197;-0.026;0.001;0.067;0.001;0.685;-0.275;0.081;0.002;0.219;0.011;0.3;-0.214;-0.016;0.234;0.054;0.012;0.47;-0.038;0.022;0.003;0.024;0;0.418;0.243;0.014;0.035;0.146;0.059;0.411;-0.181;0.036;0.037;0.016;0.002;0.417;-0.057;-0.007;0.008;0.048;0;0.285;-0.274;0.009;0;0.042;0.065;0.486;-0.089;0.049;0.014;0.273;0.005;0.211;0.087;0.015;0.02;0.101;0.001;0.346;0.402;0.048;0.781;0.005;0.002;0.035;0.436;0.007;0.724;0.001;0.001;0.009;;;;;;;-0.204;0.004;0.002;0.069;0.003;0.239;-0.078;0.004;0.022;0.029;0.032;0.699;-0.126;-0.036;0.004;0.09;0.001;0.549;-0.171;0.022;0.003;0.122;0.013;0.326;-0.083;0.006;0.03;0.005;0.003;0.054;;;;;;;-0.262;-0.018;0.001;0.031;0.001;0.27;-0.095;0.002;0.02;0.016;0.01;0.061
6;0.364;0.05;0.845;0.001;0.032;0.001;0.151;0.043;0.029;0.028;0.033;0.278;-0.186;0.045;0.002;0.049;0.001;0.393;-0.115;0.052;0;0.157;0.001;0.645;0.084;0.022;0.015;0.15;0.02;0.22;-0.225;0.023;0.009;0.18;0.01;0.256;-0.491;0.035;0.001;0.018;0;0.514;-0.191;0.104;0.004;0.159;0.005;0.109;0.029;0.027;0.014;0.003;0;0.018;-0.197;-0.031;0.001;0.066;0.001;0.642;-0.278;0.071;0.002;0.235;0.008;0.321;-0.22;-0.03;0.378;0.033;0.021;0.393;-0.135;-0.119;0.002;0.011;0;0.706;0.152;-0.014;0.006;0.083;0.006;0.711;-0.195;0.024;0.024;0.02;0.002;0.418;0.046;0.004;0.002;0.055;0;0.37;-0.288;0.014;0;0.047;0.109;0.393;-0.094;0.049;0.01;0.34;0.005;0.225;-0.231;0.036;0.002;0.166;0.001;0.398;0.417;0.049;0.81;0.005;0.002;0.025;0.404;-0.022;0.261;0.009;0.002;0.063;;;;;;;-0.23;0.002;0.002;0.063;0.003;0.252;-0.114;0.05;0.009;0.03;0.023;0.801;-0.159;-0.064;0.008;0.145;0.002;0.49;-0.112;0.037;0.011;0.109;0.011;0.228;-0.033;0.003;0.135;0.002;0.003;0.029;;;;;;;-0.28;-0.012;0.001;0.033;0.001;0.313;-0.144;0.029;0.018;0.013;0.023;0.055
7;0.237;0.078;0.855;0.002;0.038;0.002;0.136;0.04;0.02;0.029;0.02;0.296;-0.179;0.039;0.003;0.058;0.001;0.304;-0.053;0.035;0;0.218;0.002;0.597;0.18;0.047;0.026;0.113;0.015;0.321;0.227;0.01;0.783;0.004;0.052;0.017;-0.482;0.082;0.001;0.023;0;0.485;-0.141;0.14;0.003;0.13;0.005;0.095;0.12;0.029;0.047;0.002;0;0.015;-0.264;-0.04;0.001;0.087;0.001;0.511;-0.271;0.077;0.001;0.175;0.007;0.255;-0.216;-0.011;0.171;0.041;0.012;0.574;-0.039;0.006;0.002;0.022;0;0.481;-0.001;0.004;0.002;0.096;0.003;0.347;-0.222;0.031;0.011;0.022;0.002;0.384;-0.121;-0.003;0.002;0.026;0;0.323;-0.261;0.012;0;0.058;0.118;0.349;-0.092;0.053;0.011;0.437;0.006;0.199;-0.206;0.105;0.002;0.056;0;0.332;0.387;0.055;0.766;0.006;0.003;0.051;0.216;0.011;0.021;0.018;0.001;0.09;;;;;;;-0.191;0.001;0.002;0.055;0.002;0.252;-0.116;0.005;0.008;0.021;0.021;0.832;-0.12;-0.02;0.004;0.085;0.001;0.538;-0.152;0.024;0.01;0.087;0.009;0.197;-0.065;-0.005;0.046;0.002;0.003;0.029;-0.116;-0.038;0.005;0.053;0.001;0.349;-0.302;-0.039;0.001;0.027;0.001;0.249;-0.07;0.024;0.026;0.022;0.01;0.08
8;0.322;0.055;0.26;0.033;0.031;0.036;0.128;0.04;0.018;0.03;0.025;0.27;-0.153;0.046;0.005;0.046;0.001;0.333;-0.102;0.041;0;0.174;0.002;0.61;0.09;0.034;0.006;0.207;0.015;0.372;0.522;0.008;0.966;0;0.003;0.001;-0.457;0.094;0.001;0.028;0;0.512;-0.128;0.126;0.005;0.11;0.004;0.089;0.105;0.025;0.015;0.002;0;0.013;-0.256;-0.012;0.001;0.086;0.001;0.636;-0.268;0.083;0.002;0.176;0.007;0.267;-0.224;-0.003;0.394;0.034;0.013;0.317;-0.068;0.008;0.006;0.023;0;0.312;-0.04;0.013;0.002;0.082;0.003;0.313;-0.196;0.033;0.009;0.021;0.003;0.439;-0.12;-0.011;0.002;0.036;0;0.36;-0.322;-0.019;0;0.055;0.067;0.58;-0.08;0.054;0.013;0.358;0.006;0.196;-0.397;0.156;0.004;0.17;0.001;0.319;0.289;0.044;0.571;0.014;0.003;0.088;0.197;0.008;0.012;0.017;0.001;0.107;;;;;;;-0.19;0.007;0.002;0.054;0.002;0.215;-0.097;0.033;0.009;0.022;0.02;0.846;-0.096;-0.025;0.005;0.073;0.001;0.481;-0.176;0.035;0.005;0.12;0.01;0.242;-0.098;-0.015;0.005;0.008;0.002;0.092;;;;;;;-0.256;-0.012;0.001;0.027;0.001;0.21;-0.094;0;0.02;0.021;0.011;0.072
9;0.398;0.268;0.499;0.033;0.142;0.017;0.138;0.044;0.025;0.036;0.03;0.317;-0.172;0.027;0.003;0.045;0.001;0.374;-0.146;0.044;0;0.172;0.001;0.646;-0.165;0.042;0.001;0.152;0.012;0.529;0.751;0.081;0.986;0;0;0;-0.438;0.06;0.002;0.029;0;0.495;-0.191;0.143;0.003;0.133;0.003;0.105;0.175;0.023;0.019;0.002;0;0.012;-0.216;-0.036;0.001;0.062;0.001;0.612;-0.249;0.1;0.002;0.223;0.007;0.307;-0.168;-0.034;0.145;0.084;0.012;0.492;-0.031;0.024;0.005;0.022;0;0.421;-0.09;-0.007;0.009;0.028;0.002;0.201;-0.189;0.023;0.009;0.024;0.002;0.427;-0.162;0.004;0.003;0.059;0;0.298;-0.296;0.015;0.001;0.059;0.059;0.547;-0.151;-0.055;0.003;0.449;0.005;0.224;-0.3;0.087;0.002;0.222;0.002;0.293;0.274;0.042;0.53;0.025;0.004;0.1;0.269;0.044;0.021;0.013;0.002;0.066;0.124;-0.017;0.057;0.016;0.001;0.122;-0.194;0.011;0.002;0.08;0.003;0.239;-0.115;0.054;0.005;0.022;0.011;0.848;-0.125;-0.038;0.003;0.055;0.001;0.56;-0.163;0.066;0.007;0.113;0.011;0.222;-0.096;-0.017;0.003;0.01;0.002;0.133;;;;;;;-0.264;-0.033;0.001;0.023;0.001;0.267;-0.127;0.046;0.016;0.039;0.009;0.104
