Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.225;0.057;0.537;0.002;0.001;0.026;;;;;;;;;;;;;;;;;;
1;0.165;0.053;0.086;0.021;0.014;0.035;0.2;0.014;0.067;0.02;0.001;0.47;-0.181;0.087;0.015;0.034;0.002;0.208;-0.254;0.027;0;0.184;0.005;0.509;-0.155;-0.017;0.001;0.085;0.005;0.639;-0.205;0.012;0.001;0.34;0.003;0.446;-0.362;0.084;0.003;0.026;0;0.379;-0.218;0.117;0.002;0.123;0.001;0.209;-0.058;-0.092;0.015;0.008;0;0.259;-0.074;-0.039;0.009;0.126;0.001;0.449;-0.132;0.084;0.014;0.217;0.006;0.23;0.02;-0.026;0.425;0.017;0.02;0.44;0.238;0.01;0.673;0.001;0.001;0.014;0.111;0.085;0.266;0.113;0.419;0.036;-0.182;0.019;0.188;0.009;0.004;0.315;-0.28;-0.124;0.003;0.026;0;0.404;-0.317;-0.066;0.001;0.025;0.005;0.81;-0.125;-0.009;0.035;0.083;0.002;0.119;-0.197;0.009;0.002;0.131;0.001;0.386;;;;;;;0.083;0.027;0.001;0.021;0.003;0.213;0.055;-0.012;0.009;0.065;0.002;0.185;-0.179;0.004;0.007;0.09;0.005;0.194;-0.122;-0.019;0.032;0.02;0.063;0.647;-0.117;-0.025;0.01;0.052;0.001;0.256;-0.158;0.048;0.003;0.12;0.008;0.322;-0.013;0.02;0.406;0.003;0.002;0.061;0.019;-0.062;0.006;0.02;0.001;0.266;-0.247;-0.096;0.002;0.046;0.001;0.416;-0.118;0.064;0.004;0.257;0.043;0.145
2;0.198;0.069;0.107;0.021;0.01;0.032;0.318;0.027;0.019;0.066;0.014;0.198;-0.193;0.071;0.017;0.025;0.002;0.237;-0.248;0.034;0;0.197;0.005;0.542;-0.153;0.045;0.002;0.167;0.032;0.364;-0.071;0.034;0.002;0.171;0.004;0.525;-0.335;0.043;0.001;0.029;0;0.429;-0.233;0.158;0.005;0.109;0.001;0.167;-0.01;0.031;0.012;0.002;0.001;0.024;-0.11;0.006;0.015;0.072;0.001;0.31;-0.222;0.092;0.008;0.293;0.005;0.262;0.003;-0.018;0.846;0.004;0.006;0.088;-0.075;0.014;0.003;0.017;0;0.325;0.111;0.085;0.274;0.115;0.407;0.036;-0.283;0.001;0.198;0.01;0.004;0.327;-0.121;-0.004;0.009;0.051;0.001;0.198;-0.33;-0.062;0.001;0.026;0.003;0.804;-0.379;-0.202;0.007;0.102;0.002;0.348;-0.108;0.024;0.001;0.153;0.001;0.516;;;;;;;0.071;0.02;0.001;0.022;0.007;0.24;-0.076;-0.227;0.001;0.015;0;0.269;-0.063;0.03;0.002;0.045;0.003;0.119;-0.078;0.1;0.045;0.027;0.202;0.484;-0.16;-0.029;0.005;0.072;0.001;0.281;-0.155;0.044;0.002;0.129;0.003;0.315;0.162;0.018;0.179;0.002;0.003;0.038;-0.105;-0.054;0.005;0.035;0.001;0.32;-0.237;-0.04;0.001;0.041;0.002;0.366;-0.065;0.108;0.003;0.24;0.008;0.181
3;0.153;0.055;0.075;0.008;0.023;0.023;0.281;0.028;0.012;0.076;0.016;0.194;-0.21;0.043;0.009;0.039;0.008;0.272;-0.209;0.039;0;0.302;0.004;0.51;-0.171;-0.002;0.001;0.094;0.006;0.671;-0.219;0.013;0.001;0.318;0.004;0.445;-0.294;0.041;0.002;0.036;0;0.329;-0.251;0.126;0.002;0.116;0.001;0.172;0.041;-0.011;0.002;0.005;0;0.046;-0.101;0.004;0.019;0.109;0.001;0.273;-0.217;0.112;0.008;0.233;0.005;0.311;-0.066;-0.009;0.789;0.008;0.02;0.136;-0.024;0.047;0.002;0.021;0;0.354;0.105;0.087;0.317;0.109;0.358;0.035;-0.197;0.003;0.294;0.007;0.004;0.111;-0.102;0.004;0.019;0.046;0.001;0.18;-0.293;-0.02;0.001;0.038;0.01;0.746;-0.088;0.041;0.016;0.242;0.002;0.334;-0.353;-0.041;0;0.026;0.001;0.252;;;;;;;-0.064;-0.006;0.002;0.029;0.002;0.204;0.04;0.024;0.006;0.061;0.002;0.151;-0.162;0.075;0.002;0.069;0.002;0.207;-0.099;0.128;0.03;0.023;0.135;0.57;-0.272;-0.054;0.003;0.028;0;0.608;-0.222;0.048;0.003;0.325;0.005;0.267;-0.046;0.013;0.034;0.001;0.002;0.027;-0.103;-0.024;0.002;0.059;0.001;0.222;-0.234;-0.056;0.001;0.025;0;0.288;-0.159;0.052;0.001;0.093;0.015;0.15
4;0.525;0.048;0.819;0.005;0.044;0.003;0.3;0.059;0.056;0.094;0.076;0.2;-0.209;0.072;0.007;0.03;0.001;0.286;-0.248;0.064;0;0.178;0.003;0.564;-0.179;0.05;0.002;0.156;0.024;0.509;-0.136;0.002;0.002;0.176;0.003;0.359;-0.395;0.136;0.002;0.029;0;0.39;-0.253;0.079;0.002;0.097;0.001;0.196;0.029;0.003;0.001;0.003;0;0.021;-0.171;-0.002;0.014;0.118;0.001;0.321;-0.167;0.116;0.014;0.227;0.007;0.281;-0.022;-0.003;0.954;0.001;0.003;0.014;-0.067;0.029;0.002;0.027;0;0.208;0.095;0.083;0.229;0.111;0.466;0.032;-0.23;0.081;0.014;0.016;0.002;0.294;-0.064;0.008;0.017;0.058;0.001;0.18;-0.276;-0.045;0.001;0.042;0.007;0.732;0.05;0.056;0.025;0.195;0.003;0.152;0.013;0.057;0.004;0.117;0;0.306;;;;;;;-0.087;-0.012;0.002;0.032;0.001;0.306;-0.235;-0.035;0.001;0.149;0.002;0.478;-0.195;0.042;0.002;0.071;0.004;0.234;-0.11;0.18;0.02;0.026;0.114;0.613;-0.105;-0.024;0.003;0.046;0.001;0.519;-0.124;0.074;0.008;0.137;0.003;0.288;-0.075;-0.033;0.093;0.004;0.002;0.192;-0.137;-0.025;0.002;0.058;0.001;0.246;-0.284;-0.009;0.001;0.032;0.001;0.272;-0.145;0.104;0.001;0.101;0.023;0.106
5;0.475;0.063;0.99;0;0.004;0;0.258;0.063;0.022;0.09;0.058;0.138;-0.208;0.078;0.01;0.027;0.001;0.198;-0.208;0.055;0;0.17;0.003;0.552;-0.181;0.057;0.001;0.105;0.007;0.641;-0.192;0.001;0.006;0.162;0.003;0.298;-0.389;0.128;0.002;0.031;0;0.35;-0.265;0.071;0.004;0.094;0.002;0.151;-0.007;0.001;0.001;0.003;0;0.017;-0.213;0.005;0.013;0.208;0.003;0.33;-0.137;0.114;0.012;0.213;0.008;0.277;-0.113;0.021;0.966;0.001;0.003;0.008;0.014;0.042;0.057;0.01;0.001;0.094;-0.026;0.061;0.003;0.138;0.026;0.341;0.57;0.055;0.923;0;0.001;0.005;0.001;0.009;0.007;0.069;0.001;0.218;-0.279;-0.045;0.001;0.042;0.007;0.727;-0.01;-0.01;0.015;0.273;0.003;0.236;-0.005;0.12;0.003;0.22;0.002;0.374;;;;;;;-0.096;0.007;0.001;0.037;0.004;0.362;-0.163;0.02;0.003;0.116;0.003;0.233;-0.194;0.045;0.002;0.091;0.005;0.233;-0.101;0.157;0.017;0.019;0.082;0.729;-0.16;-0.04;0.002;0.055;0;0.459;-0.079;0.092;0.013;0.123;0.006;0.27;-0.147;0.02;0.003;0.002;0.001;0.048;-0.125;-0.018;0.001;0.094;0.001;0.27;-0.29;-0.032;0.001;0.039;0.001;0.287;-0.122;0.108;0.003;0.084;0.02;0.087
6;0.518;0.089;0.995;0;0.001;0;0.376;0.03;0.087;0.115;0.061;0.235;-0.209;0.053;0.027;0.029;0.002;0.383;-0.209;0.044;0;0.212;0.005;0.544;-0.038;0.006;0.003;0.159;0.01;0.498;-0.155;-0.003;0.002;0.197;0.004;0.337;-0.419;0.094;0.004;0.029;0.001;0.297;-0.21;0.09;0.005;0.056;0.002;0.095;-0.026;-0.004;0.002;0.004;0;0.024;-0.179;-0.001;0.005;0.193;0.002;0.279;-0.108;0.091;0.009;0.253;0.006;0.304;-0.071;0.079;0.967;0.001;0.007;0.007;-0.016;0.025;0.001;0.032;0;0.27;-0.013;0.063;0.006;0.149;0.037;0.34;0.077;0.057;0.687;0.002;0.002;0.03;-0.037;-0.001;0.016;0.054;0.001;0.271;0.419;-0.006;0.754;0.005;0.127;0.054;-0.13;0.038;0.006;0.446;0.004;0.221;-0.08;0.105;0.006;0.199;0.001;0.317;;;;;;;-0.033;-0.005;0.002;0.025;0.007;0.278;-0.133;0.016;0.002;0.123;0.002;0.25;-0.161;0.083;0.002;0.088;0.007;0.264;-0.239;-0.061;0.011;0.005;0.009;0.895;0.239;-0.038;0.224;0.007;0.002;0.187;-0.146;0.081;0.006;0.131;0.004;0.315;-0.088;0.017;0.015;0.001;0.001;0.022;-0.14;-0.029;0.001;0.036;0.001;0.266;-0.264;-0.02;0.001;0.033;0.001;0.337;-0.144;0.105;0.003;0.149;0.017;0.184
7;0.541;0.067;0.994;0;0;0;0.231;0.066;0.019;0.071;0.067;0.133;-0.238;0.065;0.013;0.036;0.002;0.243;-0.171;0.038;0;0.181;0.003;0.597;0.108;0.036;0.017;0.104;0.008;0.426;-0.076;-0.007;0.005;0.088;0.008;0.257;-0.339;0.063;0.004;0.027;0;0.287;-0.249;0.09;0.005;0.064;0.002;0.113;-0.018;0.018;0.003;0.004;0;0.026;-0.202;0.004;0.003;0.229;0.001;0.327;-0.097;0.081;0.009;0.285;0.006;0.269;-0.102;0.103;0.969;0.001;0.009;0.006;-0.014;0.024;0.002;0.025;0;0.418;0.437;0.052;0.936;0.001;0.002;0.006;-0.054;0.041;0.336;0.007;0.003;0.131;-0.06;0.017;0.011;0.066;0.001;0.209;0.423;-0.006;0.763;0.004;0.126;0.048;-0.124;0.058;0.007;0.459;0.006;0.094;-0.1;0.095;0.031;0.134;0.001;0.28;;;;;;;-0.074;-0.006;0.002;0.033;0.006;0.308;0.512;0.034;0.814;0.001;0.003;0.007;-0.181;0.099;0.002;0.083;0.006;0.206;-0.087;0.147;0.014;0.017;0.069;0.753;0.019;-0.031;0.076;0.01;0.001;0.276;-0.103;0.097;0.024;0.087;0.005;0.21;0.021;0.025;0.16;0.001;0.003;0.021;-0.133;-0.008;0.003;0.065;0.001;0.217;-0.251;-0.029;0.001;0.031;0.001;0.293;-0.151;0.08;0.001;0.09;0.01;0.149
8;0.488;0.103;0.988;0;0.002;0;0.182;0.05;0.013;0.105;0.036;0.161;-0.158;0.063;0.012;0.037;0.002;0.384;-0.168;0.044;0;0.219;0.003;0.528;0.025;0.021;0.004;0.132;0.009;0.348;-0.047;0.025;0.008;0.078;0.047;0.26;-0.395;0.071;0.003;0.026;0;0.341;-0.183;0.086;0.005;0.076;0.001;0.116;0.029;0.022;0.003;0.003;0;0.014;-0.205;0.024;0.003;0.209;0.001;0.366;-0.132;0.108;0.01;0.281;0.008;0.274;-0.14;0.103;0.957;0.002;0.01;0.012;0.145;0.027;0.172;0.007;0.001;0.079;0.399;0.024;0.854;0.01;0.01;0.027;-0.055;0.042;0.345;0.005;0.003;0.081;-0.023;0.016;0.013;0.053;0.001;0.211;0.41;-0.001;0.801;0.004;0.104;0.035;-0.12;0.054;0.011;0.273;0.004;0.198;-0.072;0.048;0.022;0.278;0.001;0.269;;;;;;;-0.062;0.003;0.002;0.034;0.006;0.294;0.485;0.043;0.769;0.001;0.004;0.009;-0.161;0.093;0.002;0.086;0.005;0.225;-0.245;0.061;0.01;0.04;0.016;0.514;-0.133;-0.049;0.005;0.03;0;0.471;-0.088;0.091;0.02;0.099;0.007;0.209;-0.126;-0.005;0.038;0.11;0.002;0.117;-0.141;-0.01;0.002;0.073;0.001;0.281;-0.238;-0.018;0.001;0.031;0.002;0.221;-0.152;0.073;0.002;0.053;0.013;0.088
9;0.482;0.101;0.988;0;0.001;0;0.683;0.077;0.98;0;0;0;-0.141;0.102;0.016;0.032;0.002;0.484;-0.194;0.043;0;0.217;0.004;0.551;-0.101;0.01;0.002;0.155;0.012;0.514;-0.056;0.016;0.009;0.085;0.068;0.208;-0.374;0.155;0.009;0.023;0.001;0.278;-0.193;0.075;0.004;0.077;0.001;0.156;0.005;0.01;0.003;0.003;0;0.017;-0.176;0.028;0.005;0.255;0.002;0.291;-0.139;0.109;0.009;0.283;0.007;0.27;-0.128;0.081;0.973;0.001;0.004;0.005;0.04;0.037;0.017;0.014;0;0.196;0.107;0.02;0.007;0.224;0.061;0.369;-0.087;0.039;0.289;0.006;0.003;0.11;-0.026;0.009;0.01;0.051;0.001;0.247;0.123;-0.017;0.011;0.056;0.045;0.799;-0.145;0.055;0.016;0.169;0.003;0.197;-0.417;0.304;0.001;0.466;0.002;0.171;;;;;;;0.013;0.003;0.002;0.023;0.005;0.286;0.413;0.067;0.473;0.01;0.055;0.031;-0.166;0.057;0.003;0.069;0.004;0.214;-0.163;0.112;0.012;0.014;0.013;0.736;-0.147;-0.036;0.003;0.039;0;0.451;-0.115;0.085;0.015;0.104;0.003;0.228;0.016;0.001;0.036;0.128;0.002;0.112;-0.165;-0.011;0.002;0.053;0.001;0.224;-0.207;0.001;0.001;0.028;0.001;0.155;-0.144;0.09;0.002;0.072;0.017;0.108
