Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.443;0.065;0.04;0.154;0.036;0.112;0.131;0.029;0.011;0.02;0.011;0.405;-0.124;0.097;0.003;0.086;0.001;0.458;0.102;0.044;0.034;0.063;0.007;0.129;0.065;0.008;0.001;0.121;0.004;0.658;-0.167;0.04;0.017;0.104;0.008;0.331;-0.417;0.098;0.001;0.03;0.001;0.473;-0.302;0.099;0.002;0.123;0.002;0.234;-0.053;0.012;0.001;0.003;0;0.019;0.022;-0.088;0.002;0.021;0.001;0.833;-0.222;0.079;0.224;0.01;0.023;0.024;-0.17;-0.006;0.715;0.011;0.028;0.162;0.173;0.055;0.809;0;0.001;0.002;0.225;0.047;0.56;0.041;0.049;0.081;-0.125;0.061;0.009;0.013;0.001;0.511;-0.15;0.007;0.003;0.037;0;0.192;-0.328;-0.051;0.001;0.026;0.003;0.853;0.118;-0.024;0.111;0.041;0.002;0.242;-0.023;0.123;0.032;0.066;0.001;0.293;-0.184;0.064;0.021;0.033;0.001;0.127;0.231;0.042;0.003;0.025;0.001;0.127;0.257;-0.012;0.124;0.015;0.002;0.145;-0.079;0.157;0.002;0.047;0.006;0.077;-0.152;-0.039;0.001;0.008;0.005;0.951;-0.166;-0.073;0.002;0.036;0;0.482;-0.187;0.107;0.002;0.183;0.017;0.396;0.046;0.019;0.215;0.005;0.001;0.064;0.034;-0.003;0.108;0.016;0.002;0.067;-0.216;-0.068;0.002;0.063;0.002;0.369;0.307;0.136;0.184;0.001;0.042;0.008
2;0.397;0.064;0.103;0.107;0.021;0.09;0.136;0.059;0.047;0.017;0.055;0.142;-0.058;0.051;0.003;0.042;0.002;0.186;-0.065;0.029;0.006;0.065;0.008;0.155;-0.142;-0.007;0.002;0.119;0.025;0.303;-0.088;0.021;0.083;0.046;0.006;0.19;-0.44;0.111;0.001;0.036;0;0.358;-0.235;0.159;0.019;0.057;0.002;0.087;-0.063;-0.005;0.004;0.004;0;0.032;-0.018;-0.036;0.004;0.026;0.001;0.763;0.021;0.08;0.022;0.049;0.02;0.066;-0.173;-0.015;0.077;0.085;0.015;0.461;0.319;0.077;0.841;0.001;0.001;0.022;0.189;0.05;0.532;0.06;0.067;0.088;-0.144;0.082;0.012;0.018;0.002;0.496;-0.202;0.003;0.002;0.04;0;0.294;-0.329;-0.051;0.001;0.027;0.003;0.85;0.017;-0.188;0.032;0.037;0.001;0.534;-0.037;0.019;0.778;0.018;0.007;0.073;-0.194;0.059;0.02;0.034;0.001;0.142;0.327;0.011;0.001;0.017;0;0.114;0.245;0;0.119;0.009;0.002;0.067;-0.093;0.104;0.002;0.053;0.004;0.09;-0.004;-0.033;0.004;0.012;0.009;0.92;-0.146;-0.041;0.002;0.045;0;0.53;-0.19;0.17;0.001;0.227;0.009;0.388;-0.028;0.004;0.183;0.006;0.002;0.082;-0.043;-0.022;0.013;0.054;0.001;0.212;-0.197;-0.045;0.002;0.061;0.002;0.401;0.253;0.086;0.017;0.004;0.018;0.012
3;0.355;0.064;0.074;0.101;0.033;0.079;0.199;0.04;0.041;0.019;0.033;0.148;-0.125;0.097;0.004;0.033;0.001;0.137;-0.125;0.042;0.003;0.06;0.007;0.121;-0.181;0.006;0.001;0.185;0.018;0.393;0.086;-0.003;0.171;0.035;0.004;0.171;-0.444;0.102;0.001;0.033;0;0.441;-0.228;0.143;0.007;0.089;0.002;0.126;-0.036;0.006;0.002;0.005;0;0.041;0.002;-0.047;0.002;0.171;0.003;0.624;-0.113;0.092;0.01;0.065;0.019;0.068;-0.186;-0.012;0.435;0.039;0.014;0.335;0.236;0.028;0.941;0;0.001;0.002;0.226;0.046;0.55;0.041;0.046;0.083;-0.183;0.078;0.002;0.018;0.001;0.67;-0.082;-0.014;0.003;0.035;0;0.421;-0.331;-0.052;0.001;0.027;0.003;0.851;0.031;0.001;0.053;0.05;0.002;0.265;-0.003;0.096;0.075;0.076;0.001;0.169;-0.214;0.047;0.007;0.034;0.001;0.234;0.355;0.014;0.003;0.021;0;0.11;0.311;0.043;0.288;0.006;0.011;0.023;-0.092;0.082;0.003;0.047;0.002;0.1;-0.071;-0.026;0.003;0.018;0.006;0.902;-0.155;-0.032;0.002;0.031;0;0.613;-0.134;0.139;0.002;0.217;0.037;0.317;0.049;0.019;0.245;0.003;0.007;0.061;-0.158;-0.38;0.002;0.008;0;0.463;-0.29;-0.039;0.002;0.064;0.001;0.214;0.079;0.077;0.011;0.038;0.033;0.054
4;0.346;0.068;0.023;0.19;0.023;0.093;0.25;0.043;0.057;0.031;0.097;0.168;-0.134;0.079;0.004;0.039;0.002;0.247;-0.115;0.039;0.003;0.077;0.009;0.145;-0.214;0.013;0.001;0.136;0.025;0.394;0.255;0.008;0.223;0.033;0.008;0.14;-0.43;0.112;0.001;0.036;0;0.419;-0.253;0.147;0.002;0.111;0.002;0.179;0.011;0.005;0.005;0.004;0;0.046;0.021;-0.043;0.002;0.195;0.003;0.601;-0.115;0.076;0.018;0.076;0.021;0.092;-0.142;-0.027;0.089;0.062;0.013;0.308;0.364;0.043;0.911;0;0.001;0.002;0.135;0.028;0.028;0.184;0.068;0.212;-0.16;0.075;0.002;0.015;0.001;0.702;;;;;;;-0.332;-0.052;0.001;0.027;0.003;0.852;-0.14;-0.089;0.009;0.034;0.001;0.63;0.145;0.045;0.913;0.006;0.004;0.022;-0.168;0.016;0.006;0.029;0.001;0.103;0.303;0.035;0.003;0.014;0;0.097;0.443;0.016;0.513;0.002;0.004;0.016;-0.069;0.088;0.002;0.052;0.002;0.126;-0.051;0.006;0.002;0.021;0.003;0.905;-0.196;-0.026;0.001;0.096;0.001;0.509;-0.183;-0.1;0.005;0.096;0.004;0.359;0.092;-0.017;0.083;0.003;0.004;0.031;-0.029;-0.007;0.012;0.022;0.004;0.105;-0.249;-0.044;0.002;0.044;0.001;0.407;0.054;0.1;0.003;0.004;0.026;0.013
5;0.353;0.066;0.009;0.234;0.017;0.182;0.28;0.027;0.059;0.03;0.056;0.21;-0.141;0.112;0.005;0.038;0.002;0.178;-0.142;0.031;0.002;0.097;0.007;0.289;-0.234;0.016;0.001;0.153;0.01;0.576;0.204;0.01;0.352;0.022;0.006;0.09;-0.427;0.135;0.001;0.034;0;0.42;-0.264;0.13;0.003;0.107;0.002;0.175;0.028;0.01;0.002;0.003;0;0.021;-0.25;-0.033;0;0.609;0.004;0.131;-0.08;0.102;0.019;0.065;0.024;0.08;-0.203;-0.024;0.391;0.036;0.024;0.292;0.286;0.04;0.563;0.002;0.002;0.017;0.107;0.028;0.035;0.173;0.041;0.178;-0.142;0.068;0.006;0.02;0.002;0.343;;;;;;;-0.331;-0.052;0.001;0.027;0.003;0.85;0.102;0.049;0.03;0.07;0.001;0.21;0.209;0.061;0.676;0.041;0.003;0.067;-0.194;0.042;0.012;0.078;0.002;0.184;0.3;0.017;0.002;0.014;0;0.114;0.375;0.005;0.533;0.005;0.003;0.058;-0.09;0.103;0.002;0.086;0.004;0.182;-0.012;0.018;0.003;0.032;0.006;0.835;-0.208;-0.015;0.001;0.078;0;0.455;-0.196;0.009;0.002;0.128;0.003;0.362;0.081;0.002;0.341;0.002;0.004;0.016;-0.079;-0.02;0.007;0.033;0.002;0.179;-0.24;-0.027;0.002;0.049;0.002;0.374;0.011;0.099;0.004;0.004;0.004;0.025
6;0.174;0.085;0.072;0.044;0.022;0.049;0.227;0.033;0.029;0.041;0.036;0.192;-0.199;0.074;0.006;0.036;0.001;0.223;-0.165;0.042;0.001;0.109;0.004;0.401;-0.154;0.01;0.002;0.167;0.041;0.385;0.571;0.052;0.967;0;0.003;0.001;-0.454;0.128;0.001;0.043;0;0.449;-0.236;0.126;0.005;0.102;0.001;0.202;-0.015;0.063;0.004;0.016;0.001;0.931;-0.027;-0.035;0.001;0.196;0.002;0.615;-0.123;0.103;0.013;0.09;0.015;0.146;-0.164;-0.022;0.211;0.035;0.015;0.401;0.203;0.042;0.791;0.001;0.002;0.018;0.019;0.045;0.024;0.217;0.053;0.174;-0.14;0.065;0.002;0.026;0.001;0.508;;;;;;;-0.324;-0.05;0.001;0.034;0.004;0.831;0.121;0.048;0.041;0.123;0.003;0.254;0.274;0.05;0.9;0.009;0.002;0.018;-0.195;0.093;0.007;0.084;0.002;0.22;0.289;0.019;0.006;0.014;0;0.104;0.387;-0.008;0.436;0.007;0.002;0.083;-0.118;0.081;0.001;0.057;0.004;0.135;-0.072;0.012;0.003;0.033;0.006;0.842;-0.221;-0.042;0.001;0.077;0;0.556;-0.232;0.053;0.003;0.109;0.003;0.272;-0.094;-0.011;0.084;0.006;0.002;0.059;-0.069;-0.016;0.011;0.051;0.001;0.216;-0.188;-0.024;0.002;0.047;0.003;0.286;0.019;0.122;0.009;0.009;0.01;0.039
7;0.208;0.065;0.534;0.004;0.074;0.004;0.228;0.051;0.042;0.036;0.034;0.174;-0.206;0.088;0.005;0.042;0.002;0.149;-0.164;0.04;0.001;0.147;0.005;0.569;-0.188;0.046;0.002;0.135;0.04;0.307;0.603;0.081;0.975;0;0;0;-0.45;0.082;0.001;0.029;0;0.486;-0.258;0.181;0.014;0.052;0.002;0.049;-0.186;0.064;0.008;0.042;0.001;0.46;-0.018;-0.025;0.001;0.138;0.002;0.717;-0.127;0.09;0.014;0.047;0.028;0.07;-0.168;-0.022;0.142;0.047;0.009;0.346;0.178;0.039;0.836;0.001;0.001;0.008;0.087;0.024;0.156;0.09;0.051;0.225;-0.124;0.08;0.003;0.014;0.001;0.403;;;;;;;-0.293;-0.033;0;0.097;0.086;0.338;0.21;0.044;0.065;0.07;0.002;0.167;-0.114;-0.011;0.002;0.201;0.001;0.369;-0.201;0.183;0.009;0.084;0.002;0.173;0.367;0.019;0.008;0.012;0.001;0.075;0.388;-0.009;0.204;0.013;0.002;0.115;-0.124;0.131;0.003;0.074;0.003;0.15;-0.045;0.04;0.005;0.039;0.011;0.835;-0.195;-0.039;0.001;0.071;0;0.537;-0.221;0.055;0.004;0.1;0.006;0.229;-0.132;-0.024;0.11;0.009;0.003;0.064;-0.022;-0.055;0.028;0.027;0.001;0.377;-0.198;-0.017;0.002;0.053;0.003;0.312;-0.043;0.081;0.005;0.011;0.036;0.02
8;0.624;0.067;0.964;0.001;0.005;0.001;0.209;0.051;0.025;0.049;0.024;0.158;-0.188;0.04;0.004;0.037;0.001;0.175;-0.184;0.055;0.001;0.151;0.007;0.465;-0.228;0.012;0.001;0.116;0.007;0.663;0.618;0.103;0.982;0;0;0;-0.442;0.09;0.001;0.03;0;0.446;-0.231;0.193;0.011;0.051;0.002;0.052;-0.081;0.016;0.007;0.004;0;0.03;0.022;-0.024;0.001;0.121;0.002;0.712;-0.106;0.095;0.016;0.057;0.027;0.059;-0.195;-0.023;0.122;0.049;0.014;0.399;0.421;0.037;0.978;0;0;0;0.058;0.005;0.083;0.124;0.209;0.215;-0.248;0.082;0.005;0.018;0.001;0.612;;;;;;;-0.286;-0.014;0;0.08;0.103;0.303;-0.02;-0.135;0.002;0.042;0.001;0.42;-0.013;-0.015;0.003;0.02;0;0.564;-0.247;0.09;0.007;0.053;0.001;0.163;0.351;0.02;0.003;0.013;0;0.079;0.374;0.005;0.318;0.007;0.003;0.066;-0.131;0.146;0.003;0.077;0.006;0.132;-0.072;0.019;0.003;0.027;0.006;0.872;-0.171;-0.046;0.002;0.031;0;0.653;-0.172;0.042;0.006;0.133;0.008;0.224;-0.144;-0.022;0.116;0.013;0.002;0.084;-0.054;-0.019;0.009;0.036;0.001;0.21;-0.232;-0.015;0.002;0.061;0.002;0.386;0.019;0.067;0.006;0.022;0.028;0.044
9;0.634;0.09;0.973;0;0.001;0;0.22;0.064;0.037;0.05;0.033;0.169;-0.183;0.052;0.007;0.027;0.001;0.166;-0.16;0.053;0.001;0.159;0.01;0.405;-0.078;0.005;0.001;0.132;0.006;0.705;0.612;0.101;0.986;0;0;0;-0.456;0.102;0.001;0.034;0;0.444;-0.224;0.1;0.014;0.05;0.001;0.065;-0.097;0.017;0.003;0.003;0;0.022;0.053;0.042;0.007;0.033;0.002;0.507;-0.18;0.099;0.007;0.07;0.013;0.097;0.159;-0.005;0.953;0.001;0.005;0.02;0.312;0.042;0.962;0;0;0.001;0.172;0.027;0.059;0.294;0.097;0.115;-0.311;0.023;0.007;0.022;0.001;0.546;0.442;0.013;0.893;0.004;0.002;0.018;-0.278;-0.013;0;0.08;0.101;0.306;0.108;0.051;0.032;0.095;0.002;0.302;0.323;0.052;0.954;0.001;0.002;0.008;-0.205;0.138;0.01;0.074;0.002;0.156;0.347;0.01;0.002;0.011;0;0.084;0.651;0.061;0.991;0;0;0;-0.144;0.131;0.003;0.073;0.003;0.162;-0.04;-0.02;0.003;0.026;0.005;0.879;0.465;-0.038;0.943;0;0.001;0.003;-0.216;-0.02;0.005;0.14;0.004;0.335;-0.056;-0.018;0.384;0.007;0.003;0.073;-0.022;-0.013;0.006;0.036;0.002;0.202;-0.19;0.01;0.001;0.055;0.003;0.323;0.111;0.053;0.007;0.026;0.035;0.043
