Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.414;0.061;0.132;0.201;0.024;0.052;0.108;0.01;0.019;0.026;0.003;0.588;-0.158;0.048;0.002;0.06;0.001;0.348;-0.108;0.01;0;0.281;0.003;0.489;-0.161;-0.063;0.002;0.042;0.008;0.621;-0.331;0.021;0.005;0.212;0.009;0.391;-0.457;0.254;0.002;0.036;0;0.424;-0.212;0.198;0.011;0.057;0.002;0.091;-0.131;-0.144;0.008;0.011;0;0.298;-0.07;-0.011;0.008;0.116;0.001;0.424;-0.003;0.075;0.02;0.071;0.017;0.064;-0.126;-0.034;0.227;0.038;0.009;0.567;-0.203;0.077;0.009;0.045;0.001;0.367;;;;;;;0.018;0.024;0.044;0.019;0.001;0.265;-0.214;-0.02;0.001;0.029;0;0.422;-0.378;-0.059;0;0.041;0.021;0.846;0.185;0.021;0.085;0.04;0.002;0.211;-0.218;0.084;0.006;0.083;0.001;0.311;-0.115;0.019;0.004;0.047;0.002;0.152;0.227;0.03;0.008;0.027;0;0.222;0.47;-0.013;0.841;0.001;0.002;0.011;-0.16;0.012;0.002;0.041;0.001;0.233;-0.032;-0.138;0.07;0.011;0.026;0.686;-0.127;-0.025;0.002;0.075;0.001;0.511;-0.162;0.106;0.002;0.1;0.013;0.266;0.123;0.014;0.274;0.023;0.003;0.081;;;;;;;-0.237;-0.104;0.001;0.038;0.001;0.43;0.03;0.059;0.002;0.036;0.041;0.06
2;0.375;0.057;0.012;0.52;0.017;0.153;0.052;0.02;0.015;0.024;0.01;0.353;-0.231;0.024;0.003;0.089;0.001;0.514;-0.113;0.031;0.001;0.123;0.004;0.621;-0.051;0.043;0.002;0.149;0.029;0.396;-0.34;-0.012;0.011;0.2;0.007;0.36;-0.449;0.243;0.002;0.028;0;0.433;-0.232;0.255;0.007;0.105;0.002;0.14;-0.03;0.003;0.002;0.006;0;0.065;-0.131;-0.054;0.004;0.052;0.001;0.453;0.023;0.085;0.065;0.089;0.008;0.088;-0.162;-0.059;0.077;0.064;0.014;0.707;-0.164;0.054;0.001;0.057;0.002;0.615;0.106;0.033;0.012;0.147;0.011;0.537;-0.105;0.011;0.015;0.012;0;0.476;-0.146;-0.007;0.003;0.071;0.001;0.272;-0.444;-0.063;0;0.038;0.02;0.832;-0.039;0.015;0.039;0.033;0.001;0.183;-0.316;0.124;0.005;0.076;0.001;0.659;-0.121;0.03;0.007;0.074;0.002;0.171;0.159;0.004;0.001;0.018;0;0.262;0.45;-0.004;0.704;0.003;0.002;0.031;-0.176;0.04;0.006;0.024;0.005;0.09;-0.042;0.02;0.005;0.019;0.011;0.886;-0.122;-0.04;0.003;0.075;0.001;0.444;-0.112;0.072;0.003;0.155;0.011;0.305;-0.091;-0.004;0.073;0.068;0.002;0.125;;;;;;;-0.292;0.005;0.001;0.115;0.002;0.309;-0.082;0.133;0.003;0.019;0.024;0.043
3;0.342;0.077;0.031;0.427;0.031;0.099;0.158;0.033;0.023;0.037;0.014;0.326;-0.258;0.035;0.003;0.076;0.001;0.361;-0.189;0.05;0.002;0.075;0.003;0.36;-0.021;0.011;0.002;0.132;0.048;0.369;-0.24;0.024;0.015;0.126;0.008;0.317;-0.409;0.233;0.002;0.041;0;0.381;-0.238;0.22;0.006;0.124;0.002;0.179;-0.086;0.033;0.004;0.004;0;0.034;-0.12;-0.033;0.007;0.057;0.001;0.244;0.005;0.092;0.027;0.09;0.01;0.081;-0.18;-0.031;0.028;0.045;0.008;0.814;-0.164;0.033;0.001;0.069;0.001;0.539;-0.15;0.012;0.002;0.084;0.002;0.352;-0.133;0.048;0.006;0.009;0;0.553;-0.159;0.016;0.001;0.107;0.001;0.239;-0.337;-0.045;0.001;0.038;0.022;0.838;-0.094;0.028;0.024;0.074;0.001;0.316;-0.343;0.131;0.001;0.282;0.001;0.421;-0.169;0.02;0.004;0.06;0.001;0.233;0.079;0.032;0.003;0.021;0.001;0.177;-0.03;-0.05;0.025;0.065;0.001;0.245;-0.235;-0.062;0.002;0.038;0.001;0.525;0.038;0.007;0.039;0.026;0.03;0.683;-0.171;-0.038;0.002;0.061;0.001;0.551;-0.197;0.064;0.002;0.061;0.004;0.319;-0.179;-0.043;0.003;0.033;0.001;0.805;;;;;;;-0.372;-0.097;0.001;0.013;0;0.186;0.059;0.065;0.012;0.047;0.006;0.131
4;0.003;0.061;0.029;0.056;0.005;0.068;0.104;0.017;0.023;0.019;0.004;0.203;-0.187;0.031;0.003;0.074;0.001;0.399;-0.103;0.042;0.001;0.191;0.003;0.567;-0.113;0.034;0.001;0.171;0.03;0.447;-0.256;0.021;0.016;0.132;0.008;0.326;-0.43;0.166;0.001;0.038;0;0.389;-0.222;0.193;0.003;0.113;0.001;0.138;-0.064;0.014;0.002;0.003;0;0.027;-0.193;-0.091;0.003;0.076;0.001;0.571;-0.019;0.092;0.021;0.084;0.009;0.075;-0.2;-0.032;0.052;0.065;0.013;0.74;-0.142;0.047;0.004;0.055;0;0.202;-0.021;0.013;0.012;0.141;0.054;0.465;-0.109;0.036;0.003;0.007;0;0.664;-0.147;0.001;0.002;0.08;0.001;0.174;-0.382;-0.006;0;0.071;0.051;0.679;-0.057;0.056;0.024;0.057;0.001;0.33;-0.333;0.131;0.001;0.194;0.001;0.416;-0.147;-0.012;0.005;0.041;0.001;0.2;0.118;0.026;0.005;0.019;0.001;0.155;-0.09;-0.052;0.012;0.071;0.001;0.245;-0.205;0.019;0.002;0.058;0.002;0.313;-0.076;-0.01;0.015;0.038;0.015;0.685;-0.158;-0.085;0.003;0.083;0.001;0.523;-0.237;-0.102;0.003;0.135;0.004;0.356;-0.166;-0.039;0.025;0.102;0.002;0.405;-0.228;-0.091;0.002;0.097;0.001;0.445;-0.346;-0.052;0.001;0.011;0;0.205;-0.012;0.134;0.002;0.034;0.035;0.037
5;-0.068;0.052;0.002;0.232;0.019;0.112;0.227;0.049;0.027;0.04;0.019;0.267;-0.2;0.018;0.003;0.078;0.001;0.455;-0.201;0.025;0;0.113;0.006;0.489;-0.118;0.028;0.001;0.168;0.015;0.542;-0.323;-0.009;0.016;0.172;0.005;0.379;-0.458;0.15;0.001;0.031;0;0.423;-0.308;0.169;0.002;0.138;0.001;0.199;-0.126;0.043;0.003;0.005;0;0.051;-0.125;-0.009;0.008;0.039;0;0.326;0.015;0.094;0.015;0.091;0.009;0.088;-0.207;-0.027;0.018;0.053;0.008;0.826;-0.081;0.12;0.959;0;0.001;0.002;0.132;0.02;0.017;0.171;0.073;0.504;-0.082;0.05;0.003;0.016;0.002;0.215;-0.129;-0.002;0.005;0.073;0.001;0.146;-0.383;-0.007;0;0.068;0.05;0.685;0.019;0.056;0.018;0.068;0.001;0.28;-0.333;0.116;0.001;0.317;0.001;0.382;-0.155;0.038;0.007;0.099;0.001;0.228;0.02;-0.046;0.003;0.028;0.001;0.362;-0.093;-0.034;0.009;0.084;0.001;0.258;-0.187;0;0.002;0.044;0.001;0.238;-0.069;0.01;0.015;0.038;0.019;0.717;-0.174;-0.056;0.001;0.177;0.001;0.307;-0.221;-0.054;0.002;0.145;0.008;0.356;-0.165;-0.057;0.041;0.1;0.002;0.322;;;;;;;-0.281;-0.06;0.001;0.032;0.001;0.319;-0.065;0.129;0.004;0.043;0.041;0.055
6;0.174;0.054;0.368;0.029;0.035;0.021;-0.063;-0.085;0.005;0.006;0;0.653;-0.209;0.033;0.003;0.095;0.001;0.456;-0.217;0.035;0;0.226;0.004;0.574;-0.099;0.013;0.001;0.138;0.019;0.56;-0.243;-0.005;0.01;0.177;0.006;0.455;-0.441;0.151;0.001;0.027;0;0.442;-0.153;0.051;0.023;0.072;0.002;0.25;-0.133;0.047;0.005;0.005;0;0.044;-0.108;-0.046;0.006;0.033;0;0.313;-0.06;0.105;0.01;0.118;0.009;0.088;-0.14;-0.04;0.024;0.04;0.005;0.806;-0.167;0.161;0.187;0.013;0.003;0.094;0.075;0.019;0.014;0.157;0.077;0.521;-0.14;0.038;0.001;0.014;0;0.47;-0.128;0.045;0.003;0.037;0.001;0.136;-0.381;-0.007;0;0.068;0.05;0.685;0.033;0.047;0.013;0.156;0.002;0.315;-0.421;0.215;0;0.319;0.001;0.393;-0.068;0.092;0.005;0.261;0.012;0.177;0.139;0.013;0.002;0.011;0.001;0.133;-0.023;-0.038;0.026;0.049;0.001;0.205;-0.185;0.027;0.002;0.056;0.002;0.265;-0.071;-0.027;0.012;0.037;0.012;0.714;-0.241;-0.051;0.001;0.069;0;0.616;-0.257;-0.14;0.001;0.173;0.004;0.424;-0.195;-0.042;0.017;0.111;0.002;0.411;-0.203;-0.042;0.002;0.073;0.001;0.42;-0.261;-0.043;0.001;0.035;0.001;0.292;-0.057;0.163;0.006;0.027;0.01;0.056
7;0.114;0.06;0.714;0.006;0.041;0.004;0.149;0.039;0.026;0.03;0.011;0.291;-0.211;0.021;0.003;0.081;0.001;0.497;-0.336;0.077;0;0.288;0.006;0.583;-0.051;0.022;0.001;0.098;0.015;0.611;-0.361;-0.062;0.006;0.167;0.005;0.35;-0.398;0.259;0.002;0.028;0;0.428;-0.185;0.133;0.006;0.109;0.003;0.156;-0.109;0.039;0.006;0.003;0.001;0.023;-0.179;-0.062;0.004;0.055;0.001;0.354;-0.014;0.098;0.014;0.103;0.009;0.093;-0.167;-0.048;0.067;0.045;0.015;0.78;-0.219;0.1;0.003;0.067;0.002;0.3;0.137;0.033;0.021;0.183;0.042;0.433;-0.159;0.032;0;0.013;0;0.815;-0.162;0.025;0.003;0.053;0.001;0.16;-0.314;0.129;0.001;0.108;0.125;0.243;0.1;0.051;0.017;0.166;0.002;0.243;-0.391;0.176;0.001;0.484;0.002;0.3;-0.139;0.019;0.009;0.127;0.004;0.236;0.06;0.014;0.001;0.016;0.001;0.169;-0.043;-0.038;0.009;0.055;0.001;0.204;-0.186;0.01;0.002;0.049;0.001;0.374;-0.06;-0.01;0.012;0.042;0.016;0.643;-0.203;-0.04;0.001;0.066;0;0.581;-0.248;-0.119;0.001;0.158;0.004;0.43;-0.194;-0.056;0.031;0.07;0.002;0.472;-0.172;-0.016;0.001;0.074;0.001;0.281;-0.254;-0.041;0.001;0.023;0.001;0.37;-0.06;0.124;0.005;0.032;0.039;0.045
8;0.052;0.05;0.156;0.119;0.016;0.065;0.173;0.04;0.015;0.046;0.015;0.373;-0.214;0.026;0.004;0.081;0.001;0.448;-0.23;0.08;0.001;0.215;0.006;0.624;-0.074;0.032;0.001;0.096;0.013;0.634;-0.235;-0.008;0.013;0.146;0.005;0.45;-0.425;0.178;0.002;0.023;0;0.462;-0.229;0.125;0.005;0.112;0.002;0.12;-0.082;0.041;0.004;0.005;0;0.058;-0.35;-0.019;0.001;0.113;0.001;0.31;-0.02;0.103;0.01;0.089;0.01;0.083;-0.125;-0.035;0.047;0.047;0.009;0.793;-0.162;0.049;0.002;0.078;0.001;0.328;0.117;0.033;0.014;0.14;0.017;0.463;-0.201;0.004;0;0.009;0;0.685;-0.161;0.051;0.002;0.096;0.001;0.178;-0.307;0.115;0.001;0.103;0.14;0.232;-0.045;0.059;0.013;0.185;0.002;0.234;-0.35;0.227;0.001;0.55;0.002;0.317;-0.248;-0.148;0.002;0.035;0.001;0.696;0.167;0.027;0.003;0.014;0.001;0.13;-0.092;-0.016;0.019;0.049;0.001;0.165;-0.175;0.051;0.002;0.093;0.006;0.288;-0.104;-0.009;0.009;0.051;0.011;0.644;0.028;-0.05;0.038;0.02;0.001;0.306;-0.217;-0.05;0.007;0.079;0.004;0.162;-0.206;-0.062;0.01;0.063;0.001;0.612;-0.172;-0.06;0.001;0.076;0.001;0.402;-0.264;-0.024;0.001;0.022;0.001;0.223;-0.04;0.177;0.004;0.015;0.013;0.038
9;0.155;0.066;0.178;0.047;0.037;0.023;0.1;0.048;0.02;0.056;0.022;0.349;-0.231;0.018;0.004;0.093;0.001;0.426;-0.268;0.059;0;0.244;0.004;0.615;-0.087;0.028;0.001;0.105;0.013;0.661;-0.277;0.005;0.014;0.145;0.006;0.415;-0.423;0.203;0.001;0.026;0;0.513;-0.254;0.21;0.003;0.196;0.001;0.174;-0.068;0.029;0.009;0.004;0;0.045;-0.261;-0.046;0.003;0.053;0;0.336;-0.082;0.099;0.014;0.083;0.009;0.101;-0.165;0.01;0.04;0.14;0.009;0.583;-0.136;0.06;0.002;0.052;0.001;0.363;0.088;0.021;0.013;0.142;0.037;0.5;-0.178;0.031;0;0.014;0;0.766;-0.112;0.056;0.003;0.063;0.001;0.126;-0.31;0.118;0.001;0.1;0.141;0.233;0.043;0.055;0.013;0.227;0.003;0.249;-0.388;0.262;0;0.56;0.001;0.321;-0.146;0.022;0.005;0.023;0;0.099;0.169;0.044;0.005;0.014;0.003;0.112;-0.122;-0.098;0.004;0.079;0.001;0.324;-0.157;0.023;0.002;0.05;0.002;0.37;-0.121;-0.042;0.012;0.055;0.009;0.611;0.126;-0.09;0.023;0.02;0;0.442;-0.106;-0.017;0.748;0.006;0.018;0.01;-0.225;-0.1;0.006;0.021;0.001;0.764;-0.173;-0.053;0.001;0.062;0.001;0.439;-0.282;-0.04;0.001;0.016;0.001;0.19;-0.03;0.156;0.007;0.031;0.007;0.067
