Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;0.175;0.018;0.022;0.011;0.005;0.144;-0.056;0.139;0.016;0.014;0.013;0.129;-0.187;0.069;0.001;0.118;0.005;0.532;-0.097;0.027;0.002;0.142;0.011;0.653;0.393;-0.025;0.896;0.001;0.003;0.024;-0.387;0.188;0.002;0.02;0;0.443;-0.042;0.109;0.012;0.05;0.001;0.056;0.162;0.028;0.008;0.002;0;0.014;-0.03;-0.047;0.002;0.083;0.001;0.742;-0.091;0.102;0.007;0.535;0.003;0.291;-0.212;-0.058;0.015;0.064;0.005;0.76;0.038;0.026;0.067;0.006;0.001;0.803;0.137;0.062;0.959;0.002;0.007;0.007;0.458;0.106;0.961;0.001;0.001;0.002;-0.145;-0.009;0.002;0.057;0;0.267;-0.356;-0.036;0;0.02;0.007;0.767;-0.17;-0.035;0.033;0.042;0.001;0.183;-0.159;-0.038;0.003;0.39;0.002;0.31;-0.15;0.03;0.011;0.074;0.001;0.154;0.18;0.008;0.003;0.008;0;0.383;0.155;-0.007;0.142;0.025;0.002;0.161;-0.141;0.076;0.004;0.05;0.004;0.137;-0.065;-0.01;0.006;0.036;0.009;0.809;-0.184;-0.04;0.002;0.057;0.001;0.721;-0.157;0.112;0.004;0.152;0.01;0.251;-0.165;0.039;0.136;0.002;0.002;0.053;-0.029;-0.01;0.041;0.054;0.002;0.113;;;;;;;-0.031;0.033;0.014;0.022;0.01;0.075
2;0.374;0.056;0.051;0.111;0.011;0.182;0.242;0.006;0.053;0.02;0.01;0.194;-0.177;0.061;0.02;0.02;0.006;0.193;-0.181;0.047;0.001;0.095;0.003;0.649;-0.13;0.033;0.002;0.218;0.012;0.521;0.403;0.013;0.867;0.002;0.012;0.026;-0.399;0.229;0.004;0.026;0;0.404;-0.147;0.059;0.005;0.056;0.001;0.112;0.143;0.041;0.012;0.001;0;0.004;0.025;-0.028;0.003;0.068;0.001;0.712;-0.129;0.06;0.005;0.668;0.002;0.188;-0.202;-0.05;0.053;0.054;0.005;0.69;-0.108;-0.006;0.011;0.01;0;0.679;0.067;0.093;0.88;0.007;0.007;0.016;0.244;0.019;0.588;0.003;0.002;0.065;-0.128;-0.023;0.004;0.044;0;0.237;-0.433;-0.056;0;0.042;0.027;0.633;-0.162;0.049;0.023;0.087;0.003;0.24;-0.208;0.011;0.003;0.096;0.001;0.333;-0.148;0.051;0.012;0.072;0.002;0.191;0.233;-0.01;0.003;0.005;0;0.336;0.644;0.066;0.99;0;0;0;-0.157;0.148;0.002;0.035;0.002;0.069;-0.047;-0.02;0.048;0.031;0.028;0.655;-0.216;-0.05;0.002;0.079;0.001;0.458;-0.187;0.128;0.004;0.124;0.01;0.209;0.044;0.049;0.014;0;0.001;0.024;-0.053;0.004;0.02;0.065;0.001;0.265;;;;;;;-0.055;0.006;0.017;0.031;0.014;0.091
3;0.286;0.062;0.088;0.094;0.021;0.085;0.225;0.036;0.085;0.018;0.021;0.183;-0.144;0.077;0.008;0.025;0.005;0.126;-0.229;0.049;0;0.102;0.003;0.647;-0.176;-0.002;0.003;0.162;0.031;0.245;0.341;0.008;0.827;0.002;0.013;0.085;-0.402;0.228;0.005;0.042;0.001;0.349;-0.196;0.124;0.003;0.096;0.001;0.195;0.194;0.053;0.239;0.001;0.001;0.01;-0.095;-0.03;0.003;0.109;0.001;0.627;-0.129;0.085;0.003;0.558;0.002;0.281;-0.184;-0.038;0.082;0.063;0.006;0.582;0.182;-0.006;0.278;0.007;0.001;0.358;0.021;0.042;0.227;0.17;0.152;0.11;0.314;0.038;0.71;0.001;0.002;0.023;-0.122;0.025;0.004;0.058;0.001;0.189;-0.424;-0.055;0;0.042;0.027;0.631;-0.004;0.031;0.05;0.032;0.001;0.277;-0.069;0.043;0.005;0.076;0.001;0.264;-0.177;0.01;0.006;0.08;0.002;0.252;0.27;-0.007;0.002;0.009;0;0.258;0.632;0.078;0.993;0;0;0;-0.16;0.054;0.004;0.049;0.007;0.113;0.358;-0.009;0.943;0.001;0.009;0.012;-0.229;-0.037;0.007;0.035;0.001;0.541;-0.139;0.074;0.005;0.115;0.018;0.243;0.163;-0.002;0.034;0.002;0.002;0.049;-0.051;0.031;0.014;0.099;0.002;0.195;;;;;;;-0.038;0.028;0.009;0.023;0.016;0.059
4;-0.003;-0.015;0.011;0.008;0.034;0.02;0.212;0.034;0.063;0.03;0.041;0.243;-0.175;-0.048;0.01;0.018;0.001;0.627;-0.226;0.048;0;0.156;0.004;0.637;0.092;0.015;0.006;0.159;0.009;0.579;0.435;0.025;0.638;0.003;0.016;0.27;-0.42;0.039;0.002;0.02;0;0.5;-0.202;0.017;0.003;0.056;0.001;0.188;0.343;0.054;0.438;0;0.001;0.005;-0.093;-0.033;0.002;0.133;0.001;0.636;-0.12;0.086;0.004;0.621;0.002;0.229;-0.19;-0.057;0.156;0.042;0.005;0.524;0.032;0.072;0.079;0.006;0.001;0.527;0.312;0.021;0.449;0.118;0.047;0.06;0.19;0.022;0.678;0.002;0.002;0.029;-0.05;0.021;0.01;0.08;0.001;0.197;-0.393;-0.144;0;0.093;0.02;0.656;0.155;0.045;0.037;0.114;0.003;0.31;0.253;0.026;0.357;0.035;0.003;0.144;-0.137;0.028;0.011;0.054;0.001;0.185;-0.019;-0.005;0.002;0.019;0;0.348;0.692;0.074;0.997;0;0;0;-0.191;0.036;0.003;0.059;0.003;0.152;-0.119;-0.001;0.043;0.054;0.013;0.141;-0.198;-0.023;0.002;0.018;0;0.821;-0.155;0.11;0.006;0.112;0.013;0.293;0.204;0.017;0.062;0.001;0.003;0.032;-0.015;0.012;0.013;0.093;0.002;0.215;-0.287;0.008;0.002;0.078;0.003;0.297;-0.067;0.105;0.006;0.024;0.049;0.05
5;0.302;0.04;0.213;0.007;0.02;0.023;0.277;0.042;0.06;0.032;0.048;0.2;-0.15;0.039;0.014;0.027;0.005;0.187;-0.21;0.025;0;0.147;0.005;0.649;0.25;-0.005;0.036;0.097;0.008;0.457;0.418;0.014;0.826;0.002;0.014;0.092;-0.412;0.09;0.001;0.029;0;0.496;-0.277;0.115;0.002;0.099;0.001;0.249;0.256;0.06;0.491;0;0.001;0.006;-0.158;-0.053;0.001;0.081;0.001;0.699;-0.127;0.086;0.004;0.616;0.002;0.234;-0.168;-0.06;0.192;0.045;0.01;0.574;0.097;0.059;0.09;0.007;0.001;0.486;0.236;0.023;0.647;0.079;0.036;0.055;0.055;0.027;0.637;0.003;0.002;0.057;-0.159;-0.103;0.006;0.015;0;0.712;-0.4;-0.003;0.001;0.145;0.123;0.314;0.057;-0.015;0.006;0.271;0.003;0.378;0.373;0.053;0.572;0.017;0.003;0.044;-0.123;0.054;0.01;0.072;0.002;0.095;0.016;-0.025;0.002;0.027;0.001;0.338;0.603;0.07;0.988;0;0;0;-0.151;0.06;0.002;0.045;0.002;0.098;-0.088;-0.117;0.043;0.025;0.011;0.725;-0.265;-0.07;0.003;0.03;0;0.6;-0.142;0.084;0.007;0.102;0.013;0.188;0.032;0.015;0.088;0.001;0.003;0.019;-0.045;0.024;0.019;0.084;0.002;0.233;-0.284;0.044;0.002;0.118;0.006;0.255;-0.082;0.078;0.016;0.038;0.049;0.087
6;0.243;0.057;0.104;0.021;0.016;0.043;0.248;0.055;0.062;0.048;0.107;0.221;-0.173;0.018;0.012;0.022;0.004;0.18;-0.212;0.043;0;0.136;0.004;0.71;0.024;-0.023;0.004;0.15;0.008;0.509;0.427;0.033;0.918;0.001;0.012;0.023;-0.39;0.248;0.005;0.036;0.001;0.358;-0.214;0.132;0.004;0.107;0.001;0.233;-0.128;-0.089;0.015;0.013;0;0.336;-0.236;-0.018;0.001;0.305;0.002;0.487;-0.121;0.052;0.006;0.567;0.002;0.306;-0.111;-0.026;0.861;0.003;0.002;0.034;0.024;0.021;0.003;0.008;0;0.789;0.218;0.026;0.297;0.18;0.048;0.074;-0.017;0.062;0.72;0.001;0.002;0.02;-0.048;0.001;0.014;0.055;0.001;0.294;-0.38;-0.01;0.001;0.171;0.155;0.32;0.037;0.063;0.021;0.17;0.003;0.258;0.015;0.034;0.007;0.199;0.001;0.458;-0.11;0.035;0.007;0.008;0;0.019;-0.097;-0.014;0.001;0.027;0.001;0.325;0.662;0.065;0.989;0;0;0;-0.146;0.065;0.028;0.019;0.001;0.068;0.036;-0.004;0.132;0.026;0.023;0.505;0.033;-0.068;0.532;0.002;0.002;0.035;-0.081;0.081;0.008;0.113;0.018;0.2;0.165;0.013;0.276;0.001;0.003;0.013;-0.01;-0.016;0.025;0.048;0.002;0.141;-0.3;0.05;0.002;0.115;0.006;0.251;-0.133;0.111;0.016;0.063;0.046;0.098
7;0.211;0.058;0.075;0.019;0.026;0.032;0.257;0.053;0.068;0.033;0.044;0.262;-0.206;0.03;0.008;0.031;0.002;0.227;-0.223;0.045;0;0.168;0.004;0.683;-0.07;0.023;0.003;0.15;0.012;0.398;0.441;0.034;0.946;0;0.014;0.004;-0.393;0.226;0.006;0.036;0.001;0.408;-0.242;0.113;0.003;0.121;0.001;0.272;-0.024;0.022;0.011;0.002;0;0.015;-0.231;-0.026;0.001;0.266;0.002;0.497;-0.143;0.056;0.006;0.662;0.001;0.226;-0.089;-0.009;0.796;0.006;0.003;0.05;0.053;0.034;0.005;0.008;0;0.736;0.129;0.045;0.022;0.339;0.069;0.156;-0.09;0.052;0.573;0.003;0.003;0.062;-0.034;0.014;0.009;0.061;0.001;0.416;-0.398;0;0.001;0.148;0.132;0.331;0.007;0.056;0.014;0.227;0.004;0.356;0.43;0.062;0.9;0.001;0.002;0.007;-0.054;0.052;0.038;0.029;0.001;0.097;-0.104;-0.026;0.001;0.033;0.002;0.352;0.654;0.064;0.993;0;0;0;-0.165;0.057;0.005;0.02;0.001;0.057;0;0.004;0.28;0.017;0.021;0.41;0.457;-0.058;0.958;0;0.001;0.001;-0.129;0.086;0.007;0.114;0.012;0.185;0.042;0.001;0.29;0.002;0.003;0.018;-0.059;0.005;0.048;0.08;0.002;0.096;-0.288;0.031;0.002;0.116;0.004;0.225;-0.141;0.097;0.008;0.029;0.058;0.06
8;0.25;0.065;0.252;0.009;0.019;0.019;-0.026;0.102;0.002;0.476;0.015;0.361;-0.122;0.076;0.035;0.014;0.001;0.08;-0.217;0.026;0;0.127;0.002;0.694;-0.123;0.025;0.002;0.177;0.016;0.422;0.526;0.023;0.961;0;0.005;0.002;-0.31;0.195;0.005;0.024;0.001;0.668;-0.241;0.102;0.002;0.104;0.001;0.287;0.003;0.02;0.017;0.001;0;0.016;-0.256;-0.023;0;0.322;0.002;0.429;-0.134;0.065;0.006;0.735;0.001;0.17;-0.055;-0.026;0.875;0.003;0.002;0.033;0.056;0.038;0.006;0.007;0;0.766;0.02;0.025;0.011;0.357;0.071;0.219;-0.167;0.065;0.439;0.005;0.004;0.134;-0.105;0.016;0.005;0.071;0;0.413;-0.421;-0.026;0;0.08;0.107;0.389;0.114;0.056;0.018;0.141;0.002;0.36;0.429;0.062;0.319;0.04;0.003;0.121;-0.101;-0.005;0.045;0.04;0.001;0.12;-0.076;-0.012;0.001;0.038;0.002;0.446;0.367;-0.052;0.514;0.01;0.002;0.185;-0.204;0.101;0.002;0.02;0.001;0.081;0.114;0.033;0.399;0.019;0.03;0.222;0.339;-0.061;0.905;0;0.001;0.002;-0.079;0.041;0.002;0.163;0.007;0.356;0.033;0.019;0.304;0.001;0.003;0.015;-0.089;0;0.034;0.068;0.002;0.163;-0.282;-0.024;0.002;0.073;0.003;0.243;-0.201;0.08;0.018;0.041;0.032;0.075
9;0.272;0.045;0.48;0.008;0.015;0.014;0.025;0.051;0.002;0.52;0.02;0.271;-0.153;0.057;0.028;0.017;0.002;0.15;-0.239;0.02;0;0.161;0.002;0.677;-0.018;-0.009;0.004;0.161;0.009;0.554;0.499;0.026;0.964;0;0.004;0.003;-0.294;0.233;0.008;0.111;0.009;0.543;-0.22;0.094;0.002;0.091;0.002;0.196;-0.02;0.019;0.011;0.001;0;0.016;-0.271;-0.04;0;0.327;0.002;0.425;-0.113;0.124;0.009;0.534;0.002;0.34;-0.089;-0.032;0.536;0.024;0.007;0.237;0.096;0.031;0.024;0.01;0;0.631;-0.036;0.049;0.012;0.333;0.115;0.242;-0.105;0.099;0.029;0.012;0.002;0.41;0.006;-0.015;0.021;0.038;0.001;0.59;-0.42;-0.026;0;0.08;0.107;0.386;0.098;0.046;0.02;0.178;0.003;0.309;0.292;0.044;0.179;0.065;0.003;0.159;-0.051;0.072;0.032;0.06;0.002;0.089;-0.055;-0.002;0.001;0.032;0.001;0.489;-0.154;-0.073;0.087;0.017;0.002;0.533;-0.18;0.136;0.002;0.032;0.001;0.099;0.094;0.037;0.313;0.019;0.028;0.264;0.109;-0.072;0.608;0.002;0.002;0.066;-0.077;0.048;0.003;0.13;0.013;0.253;0.018;-0.011;0.097;0.001;0.002;0.014;-0.062;0.018;0.021;0.108;0.002;0.168;-0.246;-0.045;0.002;0.02;0.001;0.295;-0.179;0.045;0.016;0.024;0.044;0.047
