Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.295;0.036;0.01;0.156;0.03;0.098;0.188;-0.001;0.026;0.01;0.003;0.298;;;;;;;-0.218;0.049;0;0.362;0.019;0.402;-0.068;-0.017;0.001;0.127;0.006;0.679;-0.222;-0.012;0.022;0.11;0.004;0.221;;;;;;;-0.083;0.142;0.008;0.088;0.004;0.075;-0.029;-0.013;0.001;0.005;0;0.051;0.524;0.004;0.981;0;0.001;0.001;0.003;0.073;0.024;0.117;0.009;0.127;-0.231;-0.121;0.003;0.046;0.002;0.856;;;;;;;0.112;0.068;0.168;0.06;0.171;0.08;-0.146;0.051;0.125;0.016;0.003;0.331;0.095;0.016;0.423;0.026;0.002;0.21;-0.431;-0.096;0;0.035;0.004;0.843;0.054;0.045;0.049;0.13;0.004;0.134;0.459;0.039;0.955;0;0.001;0.002;-0.129;-0.037;0.005;0.048;0.001;0.612;0.036;0.008;0.002;0.011;0.001;0.171;0.085;-0.011;0.286;0.009;0.002;0.102;-0.163;0.071;0.001;0.019;0;0.095;-0.205;0.131;0.006;0.018;0.026;0.86;-0.046;0.016;0.013;0.016;0.001;0.649;-0.22;0.037;0.002;0.097;0.003;0.324;0.306;-0.009;0.56;0.001;0.002;0.011;-0.075;-0.042;0.008;0.077;0.002;0.385;-0.245;-0.074;0.004;0.017;0.001;0.349;0.037;0.076;0.012;0.034;0.012;0.066
2;0.432;0.053;0.196;0.098;0.038;0.093;0.289;0.022;0.036;0.029;0.013;0.226;;;;;;;-0.284;0.027;0;0.28;0.01;0.406;-0.059;0.028;0.002;0.14;0.011;0.591;-0.238;0.014;0.003;0.164;0.006;0.359;;;;;;;-0.155;0.119;0.038;0.04;0.002;0.072;-0.031;-0.014;0.001;0.006;0;0.055;-0.114;-0.042;0.047;0.04;0.001;0.523;-0.214;0.083;0.021;0.088;0.02;0.108;0.072;-0.033;0.868;0.004;0.005;0.08;0.241;0.056;0.951;0;0.001;0.001;0.091;0.039;0.039;0.099;0.224;0.318;-0.197;0.037;0.016;0.016;0.001;0.616;0.08;0.012;0.406;0.026;0.002;0.24;-0.46;-0.113;0;0.035;0.005;0.845;-0.029;-0.012;0.095;0.026;0.001;0.164;-0.061;-0.028;0.03;0.034;0.001;0.412;-0.009;0.047;0.024;0.204;0.007;0.205;0.02;-0.001;0.003;0.021;0.001;0.27;0.168;-0.006;0.128;0.014;0.002;0.11;-0.154;0.174;0.002;0.046;0.007;0.111;-0.197;0.191;0.015;0.024;0.043;0.72;-0.003;0.02;0.061;0.018;0.001;0.295;-0.135;0.029;0.019;0.144;0.007;0.292;0.299;-0.004;0.577;0.001;0.002;0.019;-0.145;-0.018;0.003;0.05;0.001;0.343;-0.273;-0.035;0.002;0.028;0.001;0.358;0.027;0.187;0.006;0.015;0.012;0.041
3;0.577;0.122;0.989;0;0.004;0;0.305;0.025;0.075;0.037;0.061;0.222;;;;;;;-0.252;0.039;0;0.073;0.001;0.69;-0.092;-0.022;0.002;0.114;0.008;0.656;-0.302;-0.023;0.001;0.293;0.004;0.352;-0.472;0.102;0.001;0.021;0;0.522;-0.131;0.157;0.038;0.086;0.002;0.117;-0.033;-0.013;0.001;0.006;0;0.055;0.023;-0.079;0.049;0.036;0.001;0.416;-0.164;0.061;0.009;0.108;0.023;0.163;-0.172;-0.03;0.522;0.021;0.013;0.267;0.257;0.047;0.882;0;0.001;0.004;0.184;0.034;0.022;0.125;0.103;0.361;-0.185;0.031;0.032;0.019;0.002;0.473;0.08;0.012;0.423;0.025;0.002;0.228;-0.439;-0.04;0;0.088;0.081;0.575;0.055;0.028;0.027;0.074;0.001;0.353;0.197;0.044;0.457;0.033;0.003;0.078;-0.138;0.006;0.008;0.044;0.001;0.443;0.289;0.015;0.01;0.014;0;0.105;0.468;0.005;0.885;0;0.001;0.004;-0.088;0.266;0.011;0.046;0.042;0.297;-0.178;0.197;0.017;0.025;0.071;0.631;-0.043;0.02;0.013;0.029;0.001;0.379;-0.004;0.012;0.021;0.129;0.004;0.272;0.426;0.008;0.753;0;0.001;0.006;-0.153;-0.026;0.002;0.102;0.001;0.384;-0.28;-0.027;0.001;0.016;0;0.438;-0.014;0.166;0.004;0.024;0.006;0.055
4;0.585;0.138;0.993;0;0.002;0;0.308;0.053;0.025;0.062;0.059;0.103;;;;;;;-0.268;0.03;0;0.119;0.002;0.618;-0.097;0.003;0.001;0.136;0.008;0.686;-0.18;0.024;0.005;0.161;0.004;0.356;-0.482;0.115;0.001;0.02;0;0.544;-0.162;0.171;0.022;0.05;0.001;0.148;-0.035;-0.014;0.001;0.007;0;0.059;-0.094;0.037;0.007;0.036;0.001;0.384;0.032;0.121;0.723;0.071;0.018;0.061;-0.178;-0.043;0.289;0.026;0.023;0.551;0.201;0.055;0.729;0;0.002;0.005;0.107;0.043;0.016;0.143;0.049;0.455;-0.158;0.054;0.088;0.019;0.003;0.331;0.093;0.016;0.447;0.025;0.002;0.197;-0.465;-0.038;0;0.084;0.086;0.48;0.191;0.035;0.13;0.047;0.002;0.186;-0.072;0.026;0.018;0.312;0.002;0.263;-0.033;0.13;0.009;0.188;0.008;0.26;0.262;0.036;0.014;0.013;0.001;0.088;0.415;-0.016;0.757;0.001;0.002;0.013;0.105;0.135;0.019;0.041;0.535;0.016;-0.308;0.064;0;0.004;0.001;0.968;-0.078;0.01;0.012;0.025;0.001;0.404;-0.108;0.054;0.025;0.163;0.005;0.321;0.343;0.001;0.671;0.001;0.002;0.005;-0.133;-0.017;0.005;0.074;0.001;0.273;-0.244;-0.048;0.002;0.045;0.001;0.237;0.028;0.14;0.006;0.028;0.012;0.05
5;0.594;0.117;0.993;0;0.002;0;0.288;0.044;0.055;0.053;0.041;0.251;-0.02;0.015;0.042;0.011;0.001;0.235;-0.227;0.031;0;0.088;0.002;0.563;-0.094;0.028;0.001;0.147;0.008;0.643;-0.203;0.01;0.008;0.137;0.005;0.329;-0.486;0.054;0.001;0.023;0;0.46;-0.211;0.146;0.006;0.075;0.002;0.128;-0.104;0.026;0.001;0.005;0;0.049;-0.123;0.057;0.008;0.06;0.001;0.29;0.014;0.114;0.73;0.022;0.039;0.015;-0.131;-0.019;0.263;0.06;0.043;0.471;0.236;0.056;0.561;0.002;0.002;0.026;0.159;0.016;0.013;0.214;0.062;0.352;-0.141;0.05;0.003;0.043;0.002;0.501;0.09;0.017;0.457;0.024;0.002;0.191;-0.374;-0.004;0;0.081;0.071;0.535;0.02;0.041;0.035;0.084;0.002;0.242;0.212;0.01;0.429;0.026;0.002;0.115;0.004;0.137;0.017;0.242;0.016;0.204;0.274;0.019;0.042;0.01;0.001;0.062;0.611;0.054;0.985;0;0;0;-0.04;0.197;0.041;0.023;0.009;0.069;-0.149;0.099;0.002;0.013;0.003;0.906;-0.152;0.004;0.003;0.019;0;0.681;-0.093;0.039;0.004;0.206;0.005;0.363;0.269;-0.014;0.502;0.002;0.002;0.012;-0.1;-0.01;0.004;0.064;0.002;0.295;-0.301;-0.07;0.002;0.042;0.002;0.287;0.023;0.137;0.012;0.029;0.014;0.051
6;0.531;0.06;0.879;0.008;0.008;0.029;0.245;0.072;0.048;0.053;0.048;0.231;0.088;0.01;0.094;0.003;0.001;0.094;-0.245;0.035;0;0.117;0.002;0.612;0.23;-0.022;0.037;0.079;0.006;0.53;-0.195;0.012;0.007;0.129;0.004;0.357;-0.447;0.037;0.001;0.019;0;0.451;-0.204;0.163;0.006;0.071;0.003;0.126;-0.102;0.026;0.001;0.005;0;0.049;-0.165;0.007;0.007;0.118;0.001;0.369;-0.146;0.106;0.012;0.135;0.021;0.114;-0.151;-0.016;0.596;0.022;0.013;0.198;0.004;0.064;0.004;0.021;0;0.279;0.257;0.044;0.129;0.116;0.155;0.255;-0.242;0.06;0.034;0.019;0.002;0.266;0.087;0.017;0.456;0.024;0.002;0.192;-0.421;-0.001;0;0.081;0.089;0.531;-0.039;0.04;0.018;0.203;0.003;0.213;0.44;0.054;0.971;0;0.002;0.001;-0.062;0.03;0.018;0.103;0.003;0.217;0.242;0.023;0.012;0.014;0.002;0.087;0.651;0.062;0.988;0;0;0;-0.124;0.023;0.004;0.031;0.003;0.148;-0.194;0.055;0.001;0.017;0.002;0.879;-0.193;-0.008;0.001;0.022;0;0.708;-0.158;0.057;0.005;0.109;0.006;0.269;0.272;-0.032;0.539;0.002;0.003;0.016;-0.126;-0.025;0.003;0.079;0.001;0.42;-0.267;-0.067;0.002;0.055;0.003;0.305;0.024;0.111;0.012;0.032;0.011;0.057
7;0.381;0.057;0.964;0.001;0.005;0.004;0.311;0.069;0.079;0.048;0.055;0.187;0.095;0.03;0.137;0.004;0.001;0.085;-0.209;0.021;0;0.11;0.002;0.642;0.224;0.024;0.043;0.104;0.008;0.408;-0.172;0.028;0.003;0.145;0.006;0.393;-0.4;0.036;0.001;0.024;0;0.437;-0.202;0.162;0.006;0.077;0.003;0.133;-0.103;0.016;0.001;0.006;0;0.061;-0.135;-0.029;0.006;0.098;0.001;0.329;-0.198;0.16;0.005;0.141;0.025;0.135;-0.183;-0.04;0.377;0.042;0.012;0.375;0.187;0.059;0.231;0.008;0.001;0.13;0.23;0.045;0.282;0.09;0.15;0.183;-0.282;0.049;0.01;0.013;0.001;0.454;0.085;0.017;0.465;0.024;0.002;0.187;-0.403;0;0;0.086;0.057;0.586;-0.041;0.04;0.031;0.066;0.001;0.151;0.096;0.045;0.796;0.012;0.01;0.04;0.002;0.069;0.026;0.147;0.005;0.195;0.227;0.009;0.01;0.012;0.001;0.111;0.59;0.049;0.987;0;0;0;-0.155;0.038;0.002;0.06;0.002;0.209;-0.161;0.058;0.001;0.023;0.003;0.818;-0.158;-0.009;0.004;0.016;0;0.664;-0.068;0.045;0.078;0.106;0.009;0.177;0.097;-0.028;0.34;0.003;0.002;0.038;-0.143;-0.017;0.004;0.07;0.001;0.281;-0.286;-0.037;0.001;0.053;0.002;0.284;0.06;0.148;0.018;0.042;0.008;0.076
8;0.462;0.063;0.953;0.004;0.003;0.007;0.322;0.041;0.052;0.054;0.017;0.228;0.217;0.028;0.274;0.003;0.002;0.112;-0.2;0.017;0;0.139;0.002;0.642;0.066;0.03;0.004;0.147;0.008;0.508;-0.193;0.023;0.004;0.17;0.007;0.366;-0.466;0.048;0.001;0.019;0;0.487;-0.141;0.103;0.026;0.023;0.002;0.038;-0.097;0.01;0.001;0.005;0;0.053;0.473;-0.036;0.762;0.002;0.002;0.051;-0.193;0.119;0.007;0.124;0.025;0.145;-0.189;-0.015;0.567;0.018;0.015;0.211;0.387;0.056;0.912;0;0.001;0.002;0.268;0.035;0.135;0.142;0.186;0.137;-0.206;0.052;0.01;0.029;0.001;0.441;0.018;0.012;0.006;0.029;0;0.174;-0.378;-0.052;0;0.091;0.042;0.648;0.045;0.054;0.031;0.122;0.002;0.178;0.135;0.039;0.311;0.076;0.004;0.235;-0.042;0.044;0.017;0.207;0.006;0.217;0.142;0.018;0.005;0.022;0.001;0.123;0.673;0.063;0.993;0;0;0;-0.106;0.03;0.004;0.044;0.007;0.152;-0.185;0.04;0.003;0.03;0.008;0.77;-0.114;0.024;0.002;0.017;0;0.668;-0.055;0.037;0.265;0.048;0.006;0.123;0.251;-0.012;0.599;0.001;0.002;0.011;-0.167;-0.02;0.003;0.06;0.001;0.298;-0.394;-0.117;0.003;0.012;0;0.296;0.055;0.063;0.01;0.024;0.014;0.048
9;0.466;0.098;0.992;0;0.001;0;0.286;0.027;0.017;0.037;0.009;0.159;-0.127;0.018;0.082;0.011;0.001;0.382;-0.181;0.035;0;0.174;0.003;0.609;0.054;0.026;0.002;0.13;0.006;0.597;-0.197;0.012;0.004;0.146;0.009;0.378;-0.392;0.018;0.001;0.022;0;0.484;-0.239;0.165;0.01;0.093;0.002;0.172;-0.077;0.005;0.001;0.004;0;0.035;0.417;-0.02;0.711;0.003;0.003;0.043;-0.179;0.147;0.004;0.081;0.031;0.094;-0.161;-0.031;0.462;0.018;0.03;0.398;0.35;0.042;0.881;0;0.001;0.004;0.299;0.035;0.515;0.049;0.088;0.146;-0.224;0.042;0.034;0.013;0.002;0.372;-0.026;0.006;0.004;0.029;0;0.168;-0.391;-0.042;0;0.09;0.037;0.661;-0.152;-0.019;0.022;0.077;0.002;0.124;0.533;0.058;0.976;0;0.001;0.001;-0.049;0.034;0.027;0.115;0.004;0.168;0.132;0.019;0.003;0.014;0.001;0.111;0.666;0.068;0.994;0;0;0;-0.21;0.048;0.004;0.054;0.004;0.231;-0.122;0.054;0.003;0.04;0.005;0.671;-0.105;0.034;0.004;0.028;0;0.58;-0.086;0.036;0.162;0.057;0.006;0.117;0.16;-0.027;0.498;0.004;0.003;0.049;-0.102;-0.028;0.008;0.103;0.001;0.285;-0.244;-0.042;0.001;0.019;0.001;0.149;0.09;0.073;0.011;0.02;0.008;0.049
