Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.325;0.093;0.453;0.101;0.009;0.031;0.117;-0.018;0.01;0.011;0.001;0.681;-0.141;0.1;0.004;0.027;0.002;0.173;-0.256;0.028;0.001;0.111;0.01;0.451;-0.171;0.062;0.002;0.081;0.031;0.428;-0.278;0.019;0.011;0.17;0.005;0.285;-0.424;0;0.001;0.021;0;0.625;-0.177;0.102;0.001;0.148;0.002;0.298;-0.097;0.001;0.001;0.001;0;0.007;-0.073;-0.044;0.003;0.025;0;0.69;0.09;0.074;0.023;0.094;0.011;0.225;-0.186;-0.186;0.021;0.029;0.007;0.841;0.204;0.034;0.868;0;0.001;0.007;-0.068;0.085;0.267;0.07;0.087;0.084;-0.128;0.006;0.383;0.005;0.005;0.176;-0.162;-0.001;0.009;0.043;0.001;0.358;-0.271;-0.06;0.001;0.025;0.02;0.722;0.058;0.04;0.065;0.162;0.006;0.195;0.047;0.044;0.031;0.112;0.002;0.231;-0.08;0.044;0.037;0.149;0.005;0.15;0.505;0.025;0.972;0;0.002;0;0.334;-0.027;0.181;0.028;0.002;0.229;-0.063;0.044;0.005;0.033;0.003;0.112;-0.067;0.097;0.067;0.026;0.087;0.663;-0.125;0.019;0.013;0.022;0;0.316;-0.16;0.075;0.006;0.14;0.006;0.32;0.018;0.066;0.201;0.002;0.004;0.097;-0.116;-0.01;0.007;0.076;0.001;0.203;-0.303;-0.105;0.002;0.036;0;0.434;0.043;0.069;0.013;0.012;0.046;0.026
2;0.441;0.088;0.921;0.004;0.003;0.003;0.108;0.027;0.008;0.014;0.001;0.195;-0.124;0.098;0.004;0.041;0.002;0.201;-0.246;0.006;0;0.085;0.004;0.557;-0.211;0.03;0.004;0.162;0.018;0.463;-0.299;0.028;0.005;0.183;0.008;0.369;-0.478;0.112;0.001;0.034;0;0.433;-0.151;0.165;0.004;0.083;0.002;0.136;-0.095;0.01;0.001;0.001;0;0.005;-0.23;-0.126;0.002;0.034;0;0.621;0.022;0.076;0.03;0.075;0.012;0.225;-0.116;-0.035;0.228;0.032;0.008;0.523;0.271;0.044;0.943;0;0;0.001;0.478;0.07;0.974;0.001;0.007;0.002;-0.204;0.018;0.045;0.018;0.001;0.294;-0.189;0.014;0.004;0.041;0;0.307;-0.341;-0.091;0.001;0.039;0.004;0.794;-0.041;0.028;0.055;0.21;0.006;0.208;-0.184;-0.004;0.002;0.511;0.002;0.23;-0.167;0.041;0.013;0.113;0.002;0.157;0.481;0.021;0.952;0;0.004;0.001;0.334;-0.027;0.184;0.028;0.002;0.227;-0.155;0.025;0.001;0.049;0.002;0.234;-0.008;0.011;0.325;0.019;0.037;0.332;-0.154;0.004;0.005;0.026;0;0.501;-0.223;0.017;0.002;0.105;0.004;0.296;0.052;0.066;0.265;0.002;0.003;0.057;-0.153;-0.037;0.003;0.077;0.001;0.26;-0.285;-0.083;0.002;0.049;0.001;0.377;0.023;0.074;0.005;0.034;0.027;0.067
3;0.3;0.065;0.03;0.146;0.032;0.129;0.138;0.04;0.02;0.027;0.006;0.401;-0.212;0.092;0.006;0.039;0.001;0.284;-0.275;-0.001;0.001;0.118;0.006;0.482;-0.226;0.033;0;0.28;0.007;0.575;-0.298;0.032;0.006;0.197;0.008;0.398;-0.414;0.19;0.002;0.035;0;0.405;-0.167;0.147;0.006;0.059;0.001;0.122;-0.103;0.009;0.001;0.001;0;0.006;-0.182;-0.029;0.01;0.027;0.005;0.244;-0.155;0.075;0.01;0.094;0.009;0.127;-0.021;-0.033;0.508;0.02;0.012;0.211;0.107;0.018;0.905;0;0.001;0.004;0.423;0.018;0.8;0.024;0.102;0.03;-0.189;0.008;0.056;0.02;0.004;0.219;-0.112;0.017;0.005;0.055;0.001;0.283;-0.48;-0.235;0.001;0.033;0.002;0.726;-0.043;0.054;0.041;0.065;0.002;0.293;-0.128;0.036;0.003;0.081;0.001;0.302;-0.11;0.045;0.021;0.094;0.003;0.134;0.375;0.034;0.108;0.015;0.016;0.054;0.326;-0.02;0.19;0.027;0.002;0.231;-0.163;0.017;0.003;0.032;0.001;0.208;0.216;0.127;0.83;0.005;0.014;0.041;-0.167;-0.003;0.005;0.024;0;0.497;-0.23;-0.071;0.001;0.128;0.003;0.383;-0.011;0.069;0.081;0.002;0.003;0.087;-0.18;-0.025;0.001;0.135;0.002;0.281;-0.21;-0.063;0.01;0.029;0.001;0.263;0.026;0.096;0.004;0.021;0.034;0.036
4;0.222;0.052;0.005;0.437;0.006;0.339;0.174;0.025;0.017;0.019;0.012;0.389;-0.163;0.09;0.004;0.033;0.002;0.235;-0.228;0.031;0.001;0.113;0.011;0.266;-0.12;0.048;0.001;0.194;0.014;0.572;-0.287;0.025;0.008;0.168;0.008;0.371;-0.485;0.08;0.001;0.029;0;0.45;-0.21;0.098;0.003;0.09;0.002;0.247;-0.1;0.009;0;0.001;0;0.006;-0.21;-0.046;0.002;0.079;0.001;0.6;-0.202;0.123;0.008;0.309;0.006;0.324;-0.074;-0.057;0.04;0.041;0.004;0.832;0.189;-0.015;0.714;0.001;0.001;0.006;0.354;0.006;0.569;0.049;0.128;0.13;-0.168;0.064;0.002;0.021;0.001;0.288;-0.105;0.007;0.002;0.069;0;0.289;-0.275;-0.014;0;0.05;0.009;0.676;0.229;0.033;0.017;0.177;0.002;0.383;-0.164;0.129;0.002;0.204;0.002;0.3;-0.143;0.041;0.015;0.056;0.001;0.105;0.215;0.028;0.006;0.015;0.002;0.127;0.326;-0.02;0.191;0.027;0.002;0.23;-0.239;0.005;0.002;0.041;0.001;0.315;0.363;0.133;0.953;0.001;0.013;0.006;-0.175;-0.034;0.005;0.03;0;0.511;-0.151;0.008;0.002;0.228;0.006;0.386;-0.072;0.078;0.031;0.002;0.001;0.037;-0.189;-0.02;0.001;0.091;0.001;0.274;-0.15;-0.062;0.011;0.02;0.001;0.226;0.006;0.09;0.008;0.02;0.035;0.042
5;0.245;0.059;0.005;0.26;0.023;0.317;0.125;0.045;0.014;0.08;0.076;0.142;-0.18;0.053;0.004;0.039;0.001;0.237;-0.189;0.011;0.001;0.098;0.01;0.248;0.009;0.012;0.002;0.139;0.008;0.512;-0.286;0.026;0.013;0.128;0.007;0.33;-0.433;0.094;0.001;0.037;0.001;0.462;-0.266;0.069;0.001;0.09;0.001;0.443;-0.097;0.013;0.001;0.001;0;0.005;-0.21;-0.046;0.002;0.077;0.001;0.603;-0.224;0.091;0.006;0.489;0.006;0.314;-0.12;-0.044;0.217;0.035;0.005;0.62;-0.039;0.038;0.004;0.02;0;0.175;0.092;0.04;0.701;0.023;0.069;0.057;-0.229;0.045;0.013;0.091;0.004;0.29;-0.081;0.007;0.004;0.06;0;0.331;-0.211;0.063;0.001;0.052;0.035;0.552;0.168;0.038;0.034;0.083;0.002;0.505;-0.142;0.032;0.002;0.172;0.001;0.463;-0.153;0.034;0.014;0.084;0.002;0.183;0.029;-0.021;0.002;0.023;0.001;0.373;0.329;-0.02;0.193;0.027;0.002;0.229;-0.174;0.085;0.003;0.023;0.003;0.116;0.216;0.059;0.958;0.002;0.015;0.005;-0.176;-0.01;0.001;0.041;0;0.621;-0.116;-0.026;0.001;0.281;0.006;0.433;-0.156;0.126;0.054;0.001;0.002;0.061;-0.16;-0.018;0.001;0.095;0.001;0.267;-0.271;-0.091;0.002;0.013;0;0.237;-0.025;0.074;0.009;0.037;0.02;0.053
6;0.204;0.06;0.014;0.399;0.014;0.249;0.134;0.027;0.016;0.03;0.013;0.369;-0.2;0.033;0.004;0.054;0.002;0.221;-0.099;0.046;0;0.059;0.002;0.733;-0.047;0.012;0.001;0.127;0.005;0.612;-0.279;0.029;0.02;0.141;0.004;0.315;-0.42;0.103;0.001;0.03;0;0.453;-0.263;0.071;0.001;0.102;0.001;0.297;-0.128;0.001;0.001;0.001;0;0.007;-0.221;-0.023;0.001;0.038;0.001;0.743;-0.122;0.1;0.004;0.348;0.009;0.304;-0.098;-0.049;0.296;0.04;0.016;0.54;0.11;0.051;0.01;0.015;0;0.206;-0.1;0.012;0.245;0.081;0.192;0.086;-0.208;0.046;0.007;0.073;0.002;0.507;-0.185;0.004;0.001;0.04;0;0.492;-0.26;0.036;0.001;0.065;0.034;0.62;-0.005;0.028;0.006;0.093;0.001;0.503;-0.2;0.103;0.001;0.548;0.002;0.234;-0.166;0.049;0.017;0.065;0.002;0.179;0.103;-0.015;0.002;0.018;0.003;0.169;0.327;-0.02;0.193;0.027;0.002;0.228;-0.196;0.021;0.005;0.027;0.001;0.225;0.183;0.052;0.959;0.002;0.015;0.004;-0.19;-0.009;0.001;0.018;0;0.687;-0.188;0.028;0.001;0.245;0.009;0.464;-0.012;0.07;0.028;0.001;0.002;0.126;-0.156;-0.017;0.001;0.11;0.002;0.269;-0.268;-0.041;0.001;0.026;0;0.195;-0.101;0.152;0.002;0.033;0.012;0.068
7;0.148;0.062;0.014;0.461;0.008;0.238;0.138;0.032;0.014;0.025;0.007;0.404;-0.17;0.091;0.003;0.046;0.002;0.2;-0.196;0.022;0;0.135;0.004;0.636;-0.043;0.035;0.003;0.17;0.01;0.438;-0.283;0.01;0.01;0.168;0.005;0.36;-0.415;0.132;0.001;0.028;0;0.439;-0.239;0.181;0.001;0.165;0.001;0.276;-0.07;0.012;0.001;0.001;0;0.003;-0.239;-0.035;0.001;0.046;0.001;0.735;-0.162;0.12;0.003;0.325;0.01;0.363;-0.044;-0.055;0.212;0.039;0.009;0.629;-0.031;0.049;0.001;0.039;0;0.368;-0.113;0.013;0.321;0.049;0.232;0.054;-0.264;0.028;0.011;0.046;0.002;0.357;-0.194;0.003;0.001;0.055;0;0.337;-0.225;0.04;0.001;0.065;0.05;0.561;0.005;0.053;0.027;0.14;0.003;0.205;-0.218;0.018;0.001;0.469;0.002;0.31;-0.076;0.047;0.007;0.143;0.003;0.262;0.04;0.006;0.003;0.026;0.001;0.214;0.333;-0.016;0.125;0.042;0.002;0.247;-0.252;-0.016;0.003;0.031;0.001;0.376;0.208;0.019;0.973;0.001;0.007;0.003;-0.2;-0.026;0.002;0.047;0;0.553;-0.261;-0.026;0.001;0.188;0.004;0.465;0.071;0.017;0.203;0.002;0.005;0.066;-0.205;-0.019;0.001;0.14;0.002;0.274;-0.217;-0.018;0.001;0.041;0.001;0.2;-0.071;0.163;0.005;0.013;0.03;0.03
8;0.163;0.058;0.009;0.454;0.011;0.23;0.142;0.031;0.019;0.035;0.018;0.368;-0.221;0.076;0.002;0.048;0.002;0.26;-0.175;0.011;0;0.147;0.002;0.608;-0.092;0.011;0.001;0.156;0.016;0.452;-0.29;0.003;0.008;0.2;0.006;0.378;-0.461;0.098;0.001;0.029;0;0.525;-0.334;0.213;0.003;0.215;0.001;0.141;-0.077;0.01;0.001;0.001;0;0.005;-0.227;0.004;0.001;0.074;0.001;0.708;-0.094;0.189;0.009;0.278;0.086;0.061;-0.093;-0.063;0.288;0.032;0.013;0.588;-0.021;0.049;0.009;0.02;0;0.266;0.153;0.036;0.351;0.071;0.238;0.126;-0.231;0.031;0.021;0.03;0.003;0.253;-0.226;-0.008;0.001;0.048;0;0.421;-0.335;-0.027;0.001;0.046;0.007;0.732;-0.029;0.052;0.015;0.108;0.002;0.437;-0.27;0.02;0.001;0.5;0.002;0.291;-0.142;0.019;0.012;0.055;0.001;0.144;-0.024;0.013;0.001;0.038;0;0.462;0.319;-0.01;0.134;0.035;0.002;0.218;-0.048;0.024;0.026;0.019;0.001;0.166;0.248;0.057;0.968;0.001;0.008;0.003;-0.174;-0.004;0.001;0.035;0;0.666;-0.247;-0.004;0.001;0.277;0.006;0.397;0.09;0.011;0.034;0.004;0.002;0.095;-0.199;0.003;0.002;0.107;0.002;0.237;-0.216;-0.013;0.001;0.042;0.001;0.206;-0.094;0.056;0.005;0.02;0.017;0.049
9;0.189;0.059;0.012;0.309;0.01;0.372;0.115;0.036;0.019;0.035;0.018;0.363;-0.19;0.058;0.003;0.059;0.001;0.272;-0.152;0.031;0.001;0.115;0.003;0.474;-0.127;0.027;0.001;0.182;0.016;0.458;-0.276;0.012;0.007;0.158;0.004;0.371;-0.453;0.084;0.001;0.028;0;0.522;-0.242;0.234;0.004;0.145;0.001;0.185;-0.076;0.021;0.001;0.001;0;0.005;-0.336;0.024;0;0.497;0.003;0.315;-0.209;0.132;0.005;0.362;0.005;0.335;-0.118;-0.054;0.223;0.04;0.015;0.613;-0.086;-0.007;0.002;0.013;0;0.6;0.065;0.027;0.431;0.042;0.268;0.109;-0.218;0.029;0.019;0.036;0.003;0.264;-0.147;0.007;0.001;0.058;0.001;0.347;-0.31;-0.007;0;0.041;0.009;0.765;-0.22;-0.084;0.002;0.297;0.003;0.384;-0.098;0.071;0.007;0.357;0.003;0.222;-0.092;0.044;0.02;0.077;0.002;0.115;0.022;0.032;0.01;0.023;0.002;0.171;0.321;-0.013;0.135;0.034;0.002;0.212;-0.17;-0.003;0.004;0.032;0.001;0.221;0.219;0.015;0.916;0.002;0.011;0.015;-0.196;-0.017;0.001;0.038;0;0.684;-0.261;0.003;0.001;0.306;0.006;0.422;0.077;-0.002;0.069;0.002;0.002;0.03;-0.245;-0.026;0.002;0.144;0.002;0.256;-0.2;-0.082;0.004;0.014;0.001;0.213;-0.075;0.113;0.003;0.026;0.132;0.047
