Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.352;0.062;0.264;0.392;0.008;0.08;0.031;0.017;0.002;0.015;0.002;0.495;-0.134;0.06;0.007;0.017;0.001;0.113;-0.292;0.09;0.001;0.077;0.004;0.215;-0.102;0.025;0.004;0.046;0.02;0.383;-0.16;0.019;0.001;0.216;0.004;0.365;-0.426;0.121;0.002;0.03;0;0.393;-0.234;0.178;0.004;0.198;0.005;0.174;-0.181;-0.017;0.001;0.003;0;0.036;-0.232;-0.116;0.004;0.031;0.001;0.349;0.111;0.09;0.02;0.034;0.015;0.088;0.229;-0.059;0.188;0.007;0.007;0.719;0.529;0.094;0.995;0;0;0;0.123;0.022;0.373;0.049;0.363;0.057;-0.182;0.027;0.129;0.008;0.002;0.497;-0.104;0;0.005;0.036;0;0.442;-0.334;-0.146;0;0.015;0.001;0.852;0.079;0.05;0.019;0.301;0.005;0.184;0.049;0.08;0.006;0.19;0.002;0.227;-0.149;-0.021;0.001;0.02;0;0.053;0.178;0.007;0.004;0.016;0;0.232;0.33;0.013;0.411;0.01;0.004;0.062;;;;;;;-0.152;0.251;0.004;0.028;0.026;0.805;-0.004;-0.056;0.033;0.045;0.002;0.624;-0.159;0.042;0.002;0.142;0.002;0.436;0.274;0.081;0.527;0.001;0.002;0.017;-0.088;-0.024;0.004;0.188;0.002;0.262;-0.227;-0.033;0.001;0.03;0.002;0.337;-0.033;0.071;0.005;0.028;0.007;0.055
2;0.288;0.053;0.071;0.347;0.018;0.093;0.01;-0.04;0.007;0.008;0.001;0.759;-0.255;-0.087;0.014;0.011;0.001;0.674;;;;;;;-0.06;0.063;0.009;0.027;0.075;0.203;-0.08;0.017;0.034;0.08;0.003;0.27;-0.472;0.031;0.001;0.019;0;0.562;-0.111;0.206;0.012;0.143;0.002;0.138;-0.249;0.019;0.001;0.003;0;0.029;-0.253;-0.02;0.003;0.085;0.001;0.309;-0.196;0.092;0.003;0.267;0.008;0.328;-0.103;-0.05;0.562;0.024;0.012;0.324;0.166;0.032;0.979;0;0;0.002;0.125;0.02;0.37;0.049;0.362;0.058;-0.157;0.031;0.015;0.007;0;0.727;-0.152;-0.022;0.004;0.033;0;0.557;-0.333;-0.145;0;0.015;0.001;0.852;-0.207;0.011;0.015;0.128;0.002;0.286;-0.158;-0.032;0.001;0.196;0.001;0.527;-0.101;0.031;0.005;0.074;0.001;0.151;0.044;0.015;0.001;0.011;0.001;0.163;0.378;0.016;0.633;0.003;0.003;0.036;;;;;;;-0.17;0.098;0.002;0.013;0.006;0.905;-0.061;-0.044;0.01;0.051;0.001;0.668;-0.192;-0.089;0.004;0.124;0.005;0.425;0.432;0.076;0.673;0;0.001;0.007;-0.166;-0.054;0.005;0.169;0.002;0.261;-0.205;-0.036;0.001;0.016;0;0.13;0.013;0.051;0.014;0.075;0.011;0.11
3;0.4;0.054;0.008;0.267;0.031;0.176;0.218;0.044;0.027;0.024;0.024;0.298;-0.164;0.035;0.015;0.014;0.002;0.143;-0.233;0.077;0.001;0.06;0.006;0.107;-0.086;0.071;0.004;0.029;0.108;0.139;0.484;0.011;0.962;0;0.004;0.002;-0.396;0.09;0.001;0.016;0;0.51;-0.142;0.208;0.006;0.147;0.002;0.129;-0.117;-0.014;0.001;0.003;0;0.018;-0.149;-0.064;0.005;0.054;0.001;0.298;-0.205;0.143;0.006;0.194;0.011;0.273;0.031;0.068;0.826;0.016;0.011;0.095;0.235;-0.038;0.97;0;0;0.003;0.125;0.021;0.37;0.049;0.361;0.058;-0.185;0.037;0.009;0.016;0.001;0.516;-0.099;-0.004;0.001;0.029;0;0.667;-0.251;-0.038;0.003;0.026;0.005;0.721;-0.114;0.038;0.016;0.148;0.004;0.194;-0.178;0.018;0.001;0.065;0;0.444;-0.242;-0.007;0.004;0.093;0.001;0.381;0.081;0.029;0.002;0.013;0.001;0.177;0.486;0.017;0.744;0.001;0.004;0.019;;;;;;;-0.149;-0.046;0.003;0.008;0.004;0.945;-0.148;-0.027;0.027;0.075;0.002;0.303;-0.144;0.009;0.004;0.138;0.003;0.338;0.06;-0.013;0.639;0.001;0.003;0.011;-0.067;-0.015;0.003;0.138;0.002;0.268;-0.279;-0.055;0.001;0.014;0;0.156;-0.032;0.072;0.004;0.019;0.004;0.057
4;0.452;0.024;0.091;0.043;0.021;0.04;0.096;0.026;0.022;0.02;0.016;0.464;-0.153;0.02;0.012;0.009;0.001;0.083;-0.158;0.052;0;0.217;0.003;0.399;0.009;0.045;0.002;0.095;0.006;0.703;0.683;0.083;0.99;0;0;0;-0.446;0.055;0.001;0.021;0;0.511;-0.184;0.043;0.002;0.078;0.002;0.257;-0.151;0.031;0.004;0.004;0.001;0.031;-0.187;-0.016;0.004;0.022;0;0.298;-0.122;0.111;0.005;0.216;0.009;0.364;0.007;-0.001;0.328;0.044;0.008;0.377;0.284;-0.041;0.975;0;0;0.002;0.224;0.062;0.025;0.082;0.188;0.354;-0.165;0.026;0.005;0.024;0.001;0.505;-0.185;-0.012;0.001;0.039;0;0.47;-0.252;-0.036;0.003;0.025;0.005;0.715;-0.03;0.017;0.095;0.049;0.003;0.157;0.068;-0.055;0.005;0.094;0.001;0.556;-0.152;0.061;0.006;0.061;0.001;0.121;0.068;0.035;0.002;0.011;0;0.195;0.498;0.016;0.699;0.003;0.003;0.038;-0.136;0.025;0.001;0.037;0.003;0.115;-0.118;0.09;0.007;0.032;0.023;0.801;0.02;-0.007;0.017;0.022;0.001;0.599;-0.129;0.03;0.018;0.078;0.006;0.133;0.177;-0.025;0.575;0.001;0.006;0.006;-0.124;0.004;0.002;0.251;0.002;0.283;-0.282;-0.039;0.001;0.019;0;0.168;-0.087;0.095;0.002;0.026;0.023;0.064
5;0.36;0.033;0.048;0.064;0.012;0.05;0.089;0.036;0.02;0.017;0.024;0.393;-0.164;0.004;0.008;0.013;0.001;0.115;-0.198;0.065;0;0.125;0.003;0.325;0.062;0.047;0.003;0.078;0.003;0.772;0.685;0.079;0.983;0;0;0;-0.488;0.039;0.001;0.027;0.001;0.511;-0.195;0.117;0.003;0.093;0.001;0.149;-0.16;0.047;0.001;0.003;0;0.014;-0.013;-0.008;0.01;0.018;0;0.22;-0.208;0.124;0.007;0.212;0.012;0.303;0.017;0.024;0.955;0.001;0.003;0.017;0.29;-0.025;0.963;0;0;0.002;0.14;0.047;0.038;0.06;0.254;0.344;-0.173;0.027;0.003;0.02;0.001;0.579;-0.117;-0.007;0.003;0.111;0.002;0.273;-0.253;-0.036;0.003;0.026;0.005;0.716;0.012;0.032;0.046;0.122;0.004;0.274;0.278;0.054;0.034;0.145;0.001;0.281;-0.126;0.107;0.008;0.099;0.002;0.142;-0.001;0.009;0.001;0.015;0.001;0.255;0.533;0.005;0.849;0.001;0.002;0.01;-0.055;0.026;0.004;0.018;0.001;0.081;-0.063;0.149;0.014;0.032;0.052;0.699;-0.071;0.001;0.004;0.04;0.001;0.729;-0.15;0.018;0.002;0.162;0.008;0.341;0.091;-0.004;0.507;0.001;0.005;0.017;-0.146;-0.02;0.002;0.19;0.002;0.272;-0.283;-0.039;0.001;0.019;0;0.168;-0.071;0.071;0.004;0.024;0.012;0.041
6;0.28;0.058;0.01;0.209;0.078;0.119;0.266;0.034;0.068;0.026;0.147;0.26;-0.161;0.023;0.013;0.009;0.001;0.083;-0.19;0.054;0;0.293;0.003;0.433;-0.061;0.048;0.002;0.08;0.003;0.752;0.667;0.097;0.985;0;0;0;-0.363;0.086;0.001;0.038;0;0.332;-0.211;0.174;0.005;0.101;0.002;0.113;-0.541;-0.048;0.003;0.023;0;0.707;0.074;-0.001;0.15;0.016;0.001;0.187;-0.072;0.083;0.006;0.262;0.008;0.429;-0.026;0.012;0.908;0.003;0.006;0.04;0.286;-0.005;0.974;0;0;0.001;0.341;0.027;0.961;0.002;0.008;0.007;0.211;0.017;0.517;0.003;0.003;0.154;0.096;0.013;0.016;0.059;0.001;0.729;-0.253;-0.036;0.003;0.026;0.006;0.718;-0.057;0.02;0.107;0.036;0.002;0.243;-0.182;0.23;0.003;0.382;0.001;0.246;-0.123;0.077;0.008;0.089;0.002;0.159;-0.015;0.013;0.001;0.013;0.001;0.242;0.562;0.032;0.977;0;0.001;0;-0.14;0.007;0.002;0.021;0.001;0.077;-0.081;0.16;0.015;0.035;0.048;0.699;-0.094;0.064;0.021;0.068;0.004;0.666;-0.174;0.056;0.014;0.081;0.009;0.176;0.13;-0.003;0.53;0.001;0.004;0.007;-0.17;-0.371;0.002;0.012;0;0.55;-0.295;-0.032;0.001;0.018;0;0.231;-0.052;0.092;0.004;0.047;0.012;0.07
7;0.289;0.055;0.034;0.146;0.044;0.073;0.435;0.05;0.774;0.005;0.059;0.031;-0.168;0.026;0.014;0.019;0.002;0.13;-0.213;0.052;0;0.231;0.004;0.435;-0.09;0.052;0.002;0.054;0.002;0.809;0.637;0.102;0.988;0;0;0;-0.422;0.051;0.001;0.03;0;0.43;-0.212;0.094;0.006;0.142;0.002;0.144;-0.19;-0.065;0.002;0.007;0;0.096;0.1;0.025;0.408;0.014;0.003;0.22;-0.098;0.084;0.008;0.212;0.01;0.34;-0.031;-0.009;0.727;0.017;0.007;0.145;0.352;-0.014;0.974;0;0;0.001;0.353;0.037;0.884;0.011;0.023;0.025;-0.235;-0.245;0.006;0.006;0.001;0.485;0.05;0.013;0.027;0.03;0.001;0.731;-0.251;-0.034;0.003;0.026;0.006;0.747;0.074;0.029;0.146;0.027;0.003;0.194;-0.069;0.194;0.002;0.267;0.001;0.349;-0.11;0.058;0.013;0.119;0.003;0.219;0.003;0.029;0.001;0.018;0.001;0.286;0.521;0.011;0.918;0;0.001;0.004;-0.15;0.011;0.003;0.016;0.001;0.069;-0.15;0.096;0.014;0.024;0.032;0.761;0.367;-0.021;0.931;0;0.002;0.005;-0.189;0.068;0.006;0.154;0.014;0.269;0.217;0.008;0.638;0;0.002;0.005;-0.185;-0.002;0.001;0.104;0.002;0.238;-0.295;-0.026;0.001;0.021;0.001;0.132;-0.087;0.102;0.003;0.041;0.021;0.06
8;0.408;0.014;0.048;0.176;0.019;0.103;0.405;0.025;0.526;0.014;0.075;0.13;-0.191;0.02;0.013;0.015;0.001;0.149;-0.217;0.053;0;0.216;0.002;0.462;0.094;0.031;0.002;0.056;0.003;0.705;0.618;0.084;0.99;0;0.001;0;-0.422;0.032;0.001;0.026;0;0.42;-0.151;0.125;0.005;0.122;0.003;0.126;-0.09;0.034;0.001;0.002;0;0.015;0.085;0.017;0.315;0.02;0.002;0.215;-0.09;0.074;0.008;0.217;0.01;0.313;-0.062;0.001;0.524;0.033;0.011;0.265;0.666;0.063;0.994;0;0;0;0.295;0.042;0.778;0.021;0.029;0.051;-0.179;0.005;0.014;0.012;0.001;0.614;0.137;0.016;0.091;0.02;0.002;0.716;-0.024;0.001;0.182;0.041;0.041;0.254;0.093;0.032;0.101;0.02;0.002;0.194;-0.081;0.09;0.002;0.413;0.001;0.265;-0.116;0.036;0.01;0.054;0.001;0.111;-0.017;0.013;0.001;0.018;0.001;0.247;0.507;0.012;0.888;0;0.002;0.008;-0.166;0.004;0.003;0.014;0.001;0.076;-0.144;0.081;0.011;0.025;0.017;0.786;0.361;-0.041;0.913;0.001;0.002;0.011;-0.195;0.081;0.004;0.272;0.016;0.328;0.221;0.013;0.564;0.001;0.003;0.011;-0.178;-0.02;0.001;0.102;0.002;0.273;-0.295;-0.029;0.001;0.025;0;0.181;-0.09;0.106;0.002;0.049;0.016;0.069
9;0.392;0.047;0.027;0.146;0.029;0.098;0.263;0.022;0.078;0.025;0.033;0.244;-0.195;0.024;0.015;0.015;0.001;0.181;-0.297;0.074;0;0.274;0.005;0.387;0.187;0.032;0.003;0.068;0.006;0.628;0.645;0.115;0.985;0;0.001;0;-0.445;0.075;0.001;0.032;0;0.499;-0.234;0.179;0.004;0.185;0.005;0.189;-0.119;0.017;0.002;0.008;0.001;0.052;0.129;0.024;0.559;0.011;0.002;0.107;-0.107;0.085;0.004;0.244;0.01;0.396;-0.027;0.022;0.743;0.024;0.007;0.116;0.698;0.098;0.989;0;0;0;0.172;-0.032;0.016;0.061;0.01;0.431;-0.266;-0.013;0.003;0.012;0.001;0.745;0.208;0.022;0.548;0.008;0.003;0.306;-0.083;-0.014;0.022;0.049;0.022;0.403;0.001;0.026;0.041;0.084;0.003;0.3;-0.163;0.109;0.002;0.389;0.001;0.274;-0.081;0.063;0.011;0.056;0.001;0.107;-0.027;0.014;0.001;0.014;0.001;0.224;0.484;0.003;0.787;0.001;0.002;0.028;-0.119;0.011;0.002;0.028;0.001;0.086;-0.111;0.099;0.01;0.032;0.018;0.735;0.208;-0.031;0.718;0.005;0.006;0.098;-0.25;0.043;0.004;0.215;0.006;0.535;0.216;0.012;0.596;0.001;0.002;0.008;-0.214;-0.016;0.001;0.1;0.001;0.279;-0.236;-0.003;0.001;0.021;0.001;0.153;-0.071;0.065;0.002;0.05;0.015;0.09
