Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.212;0.046;0.008;0.222;0.032;0.07;-0.002;-0.04;0.025;0.012;0.001;0.418;;;;;;;-0.163;0.041;0.001;0.162;0.01;0.476;-0.141;-0.058;0.008;0.065;0.035;0.535;-0.166;-0.005;0.004;0.111;0.003;0.355;-0.356;0.104;0.002;0.03;0;0.39;-0.203;0.152;0.018;0.072;0.002;0.046;0.028;0.011;0.001;0.003;0;0.022;-0.099;-0.025;0.008;0.097;0.001;0.347;-0.231;0.152;0.005;0.078;0.012;0.088;-0.123;-0.041;0.039;0.018;0.006;0.844;-0.092;0.002;0;0.028;0;0.364;0.11;0.037;0.956;0.002;0.013;0.006;-0.332;-0.182;0.006;0.003;0;0.678;-0.259;0.004;0.005;0.028;0;0.2;-0.418;-0.07;0;0.035;0.01;0.794;0.214;0.007;0.047;0.205;0.003;0.166;-0.051;0.048;0.892;0.015;0.005;0.037;-0.072;0.076;0.047;0.101;0.006;0.125;0.123;0.018;0.005;0.02;0;0.158;0.031;-0.001;0.003;0.026;0.001;0.089;;;;;;;-0.223;0.004;0.002;0.009;0.009;0.942;-0.163;0.029;0.001;0.065;0.001;0.66;0.274;0.106;0.954;0.002;0.001;0.002;-0.197;0.109;0.124;0.015;0.002;0.127;-0.136;-0.157;0.006;0.026;0.001;0.485;-0.275;0.01;0.001;0.042;0.001;0.511;-0.135;0.072;0.009;0.062;0.003;0.136
2;0.084;0.088;0.018;0.126;0.033;0.057;0.092;0.021;0.009;0.029;0.004;0.408;-0.179;0.098;0.004;0.055;0.001;0.311;-0.039;0.041;0;0.27;0.008;0.274;0.065;0.002;0.001;0.118;0.007;0.586;-0.222;-0.007;0.002;0.167;0.003;0.499;-0.336;0.062;0.002;0.029;0;0.331;-0.242;0.195;0.023;0.037;0.002;0.016;0.096;0.025;0.005;0.005;0;0.055;-0.061;-0.047;0.006;0.102;0.001;0.373;-0.274;0.117;0.004;0.085;0.012;0.106;-0.086;-0.058;0.369;0.021;0.018;0.478;-0.155;0.008;0;0.031;0;0.363;0.061;0.009;0.948;0.003;0.01;0.011;-0.175;0.029;0.002;0.008;0;0.744;-0.191;0.05;0.001;0.038;0;0.291;-0.44;-0.099;0;0.053;0.013;0.772;0.166;-0.007;0.031;0.192;0.003;0.2;-0.189;0.005;0.476;0.087;0.011;0.19;-0.111;0.014;0.053;0.067;0.003;0.185;0.14;0.008;0.003;0.026;0.001;0.231;0.028;0;0.003;0.025;0.002;0.087;-0.16;0.064;0.004;0.04;0.004;0.123;-0.202;0.035;0.003;0.008;0.013;0.938;-0.165;0.031;0.001;0.065;0.001;0.658;0.219;0.15;0.905;0.003;0.001;0.004;0.496;-0.002;0.647;0.001;0.001;0.02;-0.119;-0.037;0.001;0.032;0.001;0.334;-0.268;0.042;0.003;0.099;0.001;0.243;-0.135;0.1;0.003;0.056;0.036;0.136
3;-0.051;0.149;0.021;0.12;0.024;0.048;0.066;0.038;0.011;0.022;0.005;0.334;-0.219;0.077;0.003;0.062;0.001;0.366;-0.075;0.04;0.001;0.145;0.006;0.439;-0.047;-0.013;0;0.179;0.007;0.674;-0.221;0.04;0.002;0.105;0.004;0.336;-0.346;0.037;0.001;0.03;0;0.348;-0.217;0.221;0.035;0.067;0.002;0.024;0.075;0.051;0.003;0.005;0;0.062;-0.112;-0.049;0.005;0.114;0.001;0.377;-0.269;0.137;0.005;0.063;0.011;0.081;-0.175;-0.059;0.108;0.029;0.013;0.741;-0.1;0.015;0;0.032;0;0.366;0.223;0.008;0.954;0.002;0.006;0.009;-0.155;0.019;0.002;0.011;0;0.737;-0.197;0.055;0.001;0.041;0;0.306;-0.438;-0.098;0;0.052;0.013;0.776;0.182;0.003;0.04;0.139;0.003;0.169;-0.183;0.025;0.085;0.302;0.007;0.201;0.01;0.069;0.029;0.062;0.002;0.25;0.023;0.003;0.003;0.028;0.001;0.201;-0.241;-0.009;0;0.178;0.001;0.315;-0.164;0.046;0.002;0.071;0.004;0.226;-0.264;0.183;0.001;0.016;0.006;0.922;-0.166;0.03;0.001;0.065;0.001;0.661;-0.169;0.034;0.005;0.138;0.008;0.367;0.458;0.008;0.557;0.003;0.002;0.036;-0.113;-0.037;0.001;0.036;0.001;0.312;-0.274;-0.091;0.001;0.037;0.001;0.264;-0.13;0.106;0.003;0.049;0.016;0.097
4;0.088;0.059;0.015;0.089;0.014;0.047;0.043;0.035;0.006;0.028;0.005;0.435;-0.174;0.065;0.003;0.057;0.001;0.381;-0.121;0.05;0.001;0.172;0.011;0.334;-0.007;0.02;0.001;0.212;0.008;0.603;-0.175;0.058;0.004;0.176;0.013;0.397;-0.335;0.043;0.001;0.028;0;0.368;-0.239;0.223;0.028;0.074;0.003;0.039;-0.006;0.009;0.003;0.004;0;0.038;-0.123;-0.06;0.003;0.135;0.001;0.393;-0.267;0.111;0.004;0.095;0.01;0.11;-0.102;-0.064;0.243;0.027;0.017;0.605;-0.125;0.016;0;0.036;0;0.348;0.21;0;0.942;0.003;0.007;0.016;-0.145;0.031;0.002;0.01;0;0.636;-0.195;0.057;0.001;0.04;0;0.307;-0.426;-0.051;0;0.062;0.042;0.731;0.192;0.025;0.062;0.076;0.003;0.113;0.084;0.008;0.225;0.072;0.003;0.249;-0.095;-0.001;0.077;0.028;0.002;0.155;0.064;0.012;0.003;0.026;0.001;0.161;-0.286;-0.037;0;0.105;0;0.331;-0.189;0.046;0.002;0.055;0.002;0.173;-0.085;0.045;0.003;0.016;0.002;0.768;-0.166;0.029;0.001;0.064;0.001;0.671;-0.229;0.053;0.002;0.164;0.003;0.311;0.194;-0.013;0.261;0.01;0.003;0.35;-0.315;-0.236;0.002;0.008;0;0.639;-0.309;-0.104;0.002;0.029;0.001;0.272;-0.121;0.086;0.002;0.055;0.029;0.138
5;0.422;0.053;0.74;0.032;0.02;0.018;0.027;0.027;0.005;0.03;0.006;0.467;-0.232;0.118;0.005;0.064;0.002;0.296;-0.166;0.05;0;0.248;0.007;0.417;0.159;0.045;0.004;0.288;0.01;0.528;-0.165;0.056;0.004;0.163;0.009;0.456;-0.351;0.001;0.001;0.023;0;0.401;-0.202;0.25;0.027;0.194;0.003;0.075;-0.056;0.022;0.003;0.006;0;0.061;0.232;-0.027;0.184;0.02;0.001;0.272;-0.284;0.192;0.011;0.023;0.054;0.039;-0.138;-0.061;0.186;0.025;0.012;0.647;-0.118;0.015;0;0.032;0;0.371;0.288;0.021;0.864;0.007;0.015;0.042;-0.182;0.022;0.002;0.009;0;0.687;-0.102;0.024;0.003;0.049;0;0.202;-0.492;-0.058;0;0.045;0.014;0.8;0.097;0.044;0.057;0.16;0.004;0.068;-0.105;0.012;0.004;0.019;0;0.695;0.172;0.038;0.072;0.063;0.005;0.12;0.06;0.001;0.047;0.006;0;0.067;-0.249;-0.031;0;0.112;0.001;0.284;-0.193;0.054;0.001;0.171;0.007;0.384;-0.091;0.049;0.059;0.025;0.036;0.581;-0.168;0.03;0.001;0.065;0.001;0.671;-0.176;0.038;0.009;0.112;0.01;0.159;0.111;-0.054;0.041;0.029;0.001;0.816;-0.111;-0.038;0.001;0.027;0.001;0.336;-0.298;-0.066;0.001;0.019;0;0.217;-0.122;0.058;0.002;0.069;0.034;0.126
6;0.159;0.062;0.008;0.11;0.026;0.061;0.031;0.03;0.007;0.028;0.008;0.313;-0.215;0.107;0.003;0.065;0.002;0.373;-0.122;0.052;0;0.411;0.013;0.365;0.185;0.039;0.007;0.204;0.017;0.396;-0.104;0.048;0.004;0.118;0.003;0.361;-0.316;0.063;0.001;0.032;0;0.323;-0.274;0.219;0.029;0.1;0.002;0.046;-0.072;0.016;0.002;0.005;0;0.043;0.528;-0.016;0.956;0;0.001;0.003;-0.236;0.094;0.003;0.16;0.007;0.214;-0.113;-0.063;0.075;0.032;0.009;0.795;-0.132;0.001;0;0.035;0;0.393;0.094;-0.016;0.844;0.012;0.023;0.035;-0.166;0.019;0.001;0.009;0;0.758;-0.193;0.024;0.002;0.038;0.001;0.337;-0.487;-0.053;0;0.057;0.018;0.753;-0.036;0.053;0.029;0.246;0.005;0.188;-0.244;-0.067;0.004;0.057;0.001;0.474;0.219;0.031;0.139;0.076;0.003;0.119;0.323;0.032;0.13;0.004;0.001;0.042;-0.217;-0.016;0;0.118;0.001;0.224;-0.205;0.033;0.004;0.041;0.003;0.177;-0.112;0.067;0.004;0.012;0.008;0.873;-0.167;0.03;0.001;0.065;0.001;0.672;-0.228;0.088;0.004;0.215;0.017;0.3;0.211;-0.023;0.167;0.041;0.002;0.347;-0.097;-0.024;0.001;0.036;0.001;0.363;-0.316;-0.071;0.001;0.016;0.001;0.145;-0.152;0.056;0.002;0.061;0.015;0.124
7;0.094;0.065;0.002;0.192;0.037;0.142;0.032;0.033;0.007;0.035;0.008;0.318;-0.132;0.092;0.002;0.08;0.001;0.519;-0.233;0.042;0;0.294;0.005;0.439;0.069;0.034;0.005;0.244;0.013;0.383;-0.146;0.02;0.006;0.151;0.004;0.412;-0.295;0.046;0.001;0.043;0;0.345;-0.229;0.215;0.018;0.045;0.003;0.025;-0.033;0.031;0.004;0.006;0;0.06;0.509;-0.022;0.9;0.001;0.002;0.019;-0.277;0.098;0.004;0.098;0.011;0.121;-0.126;-0.056;0.003;0.037;0.002;0.902;-0.128;0.02;0;0.043;0;0.424;0.264;0.016;0.892;0.008;0.014;0.028;-0.198;0.014;0.001;0.007;0;0.734;-0.173;0.022;0.002;0.055;0.001;0.201;-0.5;-0.073;0;0.065;0.052;0.729;-0.014;0.045;0.026;0.254;0.004;0.164;-0.163;-0.105;0.005;0.033;0;0.448;0.133;0.048;0.066;0.057;0.002;0.17;-0.041;0.028;0.007;0.022;0.001;0.169;-0.237;0.012;0;0.151;0.001;0.305;-0.185;0.015;0.003;0.049;0.002;0.176;-0.08;0.052;0.006;0.014;0.01;0.844;-0.167;0.03;0.001;0.065;0.001;0.668;-0.241;0.08;0.003;0.24;0.02;0.283;-0.125;-0.012;0.017;0.059;0.001;0.484;-0.08;-0.034;0.001;0.024;0.001;0.33;-0.244;-0.041;0.001;0.022;0;0.17;-0.096;0.041;0.002;0.042;0.013;0.091
8;0.032;0.059;0.002;0.22;0.032;0.159;0.023;0.029;0.007;0.031;0.013;0.37;-0.198;0.09;0.003;0.053;0.001;0.323;-0.195;0.043;0;0.309;0.005;0.437;0.191;-0.009;0.003;0.205;0.009;0.536;-0.108;0.022;0.006;0.175;0.005;0.419;-0.316;0.051;0.001;0.046;0;0.194;-0.191;0.194;0.028;0.071;0.002;0.039;-0.057;0.007;0.005;0.006;0.001;0.034;0.447;-0.017;0.828;0.002;0.002;0.039;-0.238;0.115;0.005;0.133;0.012;0.149;-0.139;-0.03;0.005;0.08;0.002;0.776;-0.147;0.02;0;0.051;0;0.494;0.262;0.015;0.886;0.008;0.015;0.03;-0.26;-0.043;0;0.004;0;0.758;-0.124;0.012;0.001;0.043;0.001;0.23;-0.427;-0.032;0;0.088;0.098;0.537;-0.092;0.03;0.018;0.373;0.005;0.244;-0.281;-0.086;0.009;0.049;0.001;0.438;0.173;0.063;0.159;0.079;0.003;0.142;0.024;0.018;0.002;0.02;0.001;0.189;-0.238;-0.01;0.001;0.141;0.001;0.313;-0.21;0.038;0.001;0.058;0.005;0.158;-0.095;0.041;0.003;0.01;0.007;0.885;-0.168;0.031;0.001;0.065;0.001;0.668;-0.23;0.08;0.003;0.193;0.016;0.317;-0.205;-0.017;0.007;0.083;0.001;0.546;-0.131;-0.024;0.001;0.054;0.001;0.377;-0.329;-0.09;0.001;0.024;0;0.33;-0.12;0.066;0.003;0.04;0.034;0.06
9;0.04;0.061;0.001;0.298;0.023;0.176;0;0.043;0.005;0.039;0.003;0.473;-0.288;0.054;0.003;0.058;0.001;0.348;-0.205;0.044;0;0.412;0.005;0.406;0.131;0.039;0.007;0.212;0.013;0.541;-0.089;0.037;0.012;0.145;0.004;0.421;-0.406;0.102;0.001;0.033;0;0.388;-0.243;0.247;0.014;0.133;0.004;0.062;0.127;-0.02;0.004;0.007;0;0.077;0.338;-0.03;0.135;0.019;0.001;0.346;-0.252;0.125;0.004;0.129;0.011;0.163;-0.158;-0.061;0.002;0.047;0.002;0.877;-0.078;0.044;0;0.045;0;0.433;0.285;0.02;0.697;0.031;0.045;0.07;-0.161;0.035;0.001;0.014;0;0.648;-0.175;0.039;0.001;0.024;0;0.292;-0.422;-0.049;0;0.052;0.053;0.552;0.019;0.022;0.105;0.048;0.003;0.169;-0.23;-0.096;0.009;0.095;0.002;0.29;0.21;0.016;0.286;0.03;0.003;0.103;-0.061;0.003;0.002;0.022;0.005;0.156;-0.367;0.002;0.001;0.32;0.002;0.345;-0.161;0.064;0.003;0.06;0.003;0.234;-0.12;0.063;0.005;0.013;0.013;0.85;-0.2;0.037;0.001;0.058;0.001;0.697;-0.233;0.124;0.002;0.195;0.012;0.331;-0.128;0.011;0.01;0.098;0.001;0.31;-0.132;-0.042;0.002;0.063;0.001;0.376;-0.25;-0.046;0.001;0.034;0.001;0.359;-0.095;0.068;0.005;0.029;0.023;0.054
10;0.003;0.074;0.002;0.241;0.032;0.159;-0.017;0.033;0.004;0.039;0.003;0.531;-0.18;0.047;0.004;0.119;0.001;0.497;-0.249;0.048;0;0.344;0.005;0.422;0.124;0.034;0.004;0.203;0.017;0.428;-0.118;0.028;0.004;0.196;0.004;0.512;-0.435;0.091;0.001;0.03;0;0.333;-0.176;0.225;0.013;0.117;0.004;0.059;-0.03;-0.005;0.006;0.005;0;0.057;0.087;-0.051;0.032;0.039;0.001;0.361;-0.2;0.145;0.004;0.103;0.007;0.14;-0.176;-0.063;0.004;0.035;0.003;0.89;0.215;0.021;0.522;0.001;0.002;0.019;0.21;0.019;0.808;0.019;0.026;0.043;-0.18;0.01;0.001;0.007;0;0.74;-0.221;0.041;0.002;0.035;0.001;0.298;-0.418;-0.033;0;0.047;0.035;0.637;0.12;0.043;0.052;0.15;0.004;0.31;-0.159;-0.121;0.003;0.069;0.001;0.347;0.113;0.026;0.093;0.053;0.003;0.205;-0.071;0.017;0.002;0.024;0.007;0.18;-0.284;0.014;0.001;0.28;0.002;0.301;-0.201;0.068;0.003;0.052;0.003;0.21;-0.13;0.049;0.006;0.013;0.018;0.864;-0.2;0.037;0.001;0.058;0.001;0.697;-0.223;0.095;0.003;0.163;0.013;0.273;-0.132;0.005;0.009;0.096;0.002;0.285;-0.107;-0.013;0.001;0.045;0.001;0.288;-0.421;-0.123;0.001;0.02;0;0.386;-0.156;0.045;0.003;0.026;0.005;0.071
11;0.023;0.056;0.001;0.309;0.014;0.142;-0.029;0.038;0.004;0.042;0.003;0.459;-0.186;0.078;0.004;0.115;0.001;0.468;-0.264;0.04;0;0.279;0.004;0.448;0.166;0.025;0.004;0.173;0.017;0.458;-0.142;0.02;0.008;0.17;0.005;0.381;-0.322;0.063;0.001;0.04;0;0.335;-0.216;0.249;0.006;0.181;0.004;0.1;0.039;-0.015;0.006;0.005;0;0.053;0.119;-0.053;0.026;0.038;0.001;0.385;-0.192;0.163;0.004;0.077;0.009;0.142;-0.158;-0.061;0.002;0.036;0.001;0.897;0.113;-0.119;0.773;0.001;0.001;0.042;0.179;0.036;0.082;0.061;0.125;0.334;-0.131;0.039;0.001;0.012;0.001;0.218;-0.16;0.038;0.001;0.051;0;0.317;-0.399;-0.038;0;0.047;0.025;0.598;0.196;0.04;0.026;0.257;0.004;0.309;-0.285;-0.031;0;0.039;0;0.192;0.085;0.052;0.077;0.063;0.004;0.153;-0.052;0.023;0.003;0.019;0.001;0.155;-0.08;0.272;0.001;0.228;0.399;0.089;-0.194;0.035;0.002;0.078;0.003;0.226;-0.129;0.032;0.004;0.013;0.012;0.872;-0.199;0.037;0.001;0.058;0.001;0.697;-0.205;0.096;0.005;0.149;0.013;0.222;-0.149;-0.017;0.007;0.07;0.001;0.603;-0.163;-0.048;0.001;0.047;0.001;0.356;-0.323;-0.068;0.001;0.024;0.001;0.259;-0.1;0.043;0.001;0.013;0.01;0.039
12;0.021;0.099;0.004;0.179;0.033;0.086;0.004;0.06;0.008;0.04;0.007;0.43;-0.196;0.033;0.004;0.076;0.001;0.405;-0.283;0.035;0;0.312;0.004;0.437;0.04;0.024;0.002;0.186;0.011;0.547;-0.176;0.01;0.004;0.173;0.005;0.435;-0.299;0.049;0.001;0.039;0;0.353;-0.286;0.259;0.01;0.124;0.002;0.085;0.029;-0.009;0.004;0.007;0;0.059;0.037;-0.073;0.02;0.057;0.001;0.365;-0.164;0.148;0.003;0.121;0.01;0.221;-0.15;-0.059;0.002;0.047;0.002;0.885;-0.125;-0.015;0.001;0.028;0;0.35;0.151;0.032;0.027;0.085;0.152;0.311;-0.155;0.023;0.001;0.023;0.001;0.472;-0.171;0.049;0.001;0.054;0;0.329;-0.396;-0.038;0;0.048;0.026;0.585;0.062;-0.002;0.031;0.237;0.004;0.354;0.127;0.011;0.241;0.038;0.002;0.232;0.137;0.047;0.069;0.044;0.003;0.155;-0.045;0.012;0.002;0.024;0.001;0.193;-0.135;0.069;0.001;0.329;0.008;0.19;-0.211;0.029;0.002;0.067;0.003;0.204;-0.12;0.036;0.003;0.012;0.01;0.89;-0.2;0.037;0.001;0.058;0.001;0.697;-0.251;0.057;0.002;0.169;0.011;0.261;-0.143;-0.006;0.007;0.084;0.001;0.384;-0.14;-0.03;0.001;0.036;0.001;0.343;-0.31;-0.062;0.001;0.032;0.001;0.277;-0.144;0.062;0.001;0.043;0.015;0.089
13;0.011;0.115;0.003;0.172;0.031;0.091;-0.003;0.062;0.007;0.056;0.01;0.504;-0.22;0.046;0.005;0.071;0.002;0.378;-0.28;0.04;0;0.318;0.005;0.433;0.083;0.008;0.002;0.178;0.01;0.59;-0.156;0.319;0;0.018;0.679;0.03;-0.253;0.029;0.001;0.041;0;0.272;-0.218;0.167;0.002;0.183;0.003;0.214;-0.051;0.012;0.003;0.004;0;0.044;-0.008;-0.069;0.013;0.059;0.001;0.34;-0.158;0.144;0.005;0.124;0.013;0.148;-0.168;-0.051;0.003;0.061;0.003;0.86;0.154;0.022;0.365;0.005;0.001;0.05;0.228;0.033;0.021;0.147;0.111;0.447;-0.155;0.027;0.001;0.013;0;0.632;-0.19;0.035;0.001;0.053;0;0.325;-0.435;-0.027;0;0.102;0.09;0.531;0.106;0.044;0.045;0.211;0.005;0.184;-0.163;-0.012;0.002;0.087;0.001;0.426;0.058;0.046;0.054;0.048;0.003;0.159;-0.07;0.007;0.002;0.021;0.001;0.169;-0.163;0.025;0.001;0.2;0.002;0.287;-0.215;0.032;0.001;0.098;0.002;0.289;0.278;0.037;0.848;0.004;0.011;0.053;-0.2;0.037;0.001;0.058;0.001;0.697;-0.211;0.061;0.003;0.128;0.011;0.232;-0.145;-0.009;0.01;0.074;0.001;0.387;-0.146;-0.078;0.001;0.063;0.001;0.413;-0.353;-0.08;0.001;0.029;0.001;0.276;-0.124;0.069;0.003;0.036;0.013;0.082
