Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.362;0.061;0.07;0.065;0.023;0.052;0.192;0.034;0.036;0.016;0.021;0.593;-0.094;0.063;0.019;0.034;0.003;0.232;-0.186;0.023;0.001;0.104;0.006;0.262;-0.06;0.022;0.004;0.056;0.093;0.276;0.514;0.03;0.909;0.001;0.004;0.005;-0.429;0.196;0.002;0.027;0;0.446;-0.264;0.156;0.002;0.082;0.001;0.339;-0.008;-0.017;0.001;0.005;0;0.037;0.369;0.052;0.982;0;0;0;-0.159;0.071;0.623;0.037;0.006;0.136;-0.142;-0.066;0.113;0.061;0.01;0.652;-0.135;-0.04;0;0.043;0;0.215;0.159;0.022;0.045;0.106;0.072;0.514;-0.055;0.024;0.169;0.007;0.003;0.436;-0.316;-0.091;0;0.029;0;0.518;-0.202;-0.015;0.002;0.022;0.005;0.695;0.096;0.029;0.02;0.044;0.001;0.301;-0.214;0.062;0.002;0.25;0.001;0.363;-0.277;0.199;0.003;0.242;0.005;0.149;0.043;-0.011;0.007;0.015;0;0.306;0.063;-0.016;0.033;0.039;0.001;0.277;-0.053;0.045;0.006;0.074;0.004;0.204;-0.224;-0.073;0.001;0.005;0.002;0.96;0.016;-0.051;0.016;0.02;0.001;0.524;-0.087;0.038;0.007;0.18;0.004;0.276;0.277;0.08;0.358;0;0.002;0.007;-0.161;-0.029;0.002;0.053;0.001;0.369;-0.305;-0.047;0.001;0.016;0;0.213;-0.033;0.172;0.006;0.014;0.01;0.041
2;0.326;0.058;0.082;0.144;0.018;0.037;0.294;0.033;0.083;0.013;0.002;0.328;-0.106;0.043;0.014;0.02;0.007;0.17;-0.118;0.028;0;0.304;0.007;0.316;0.07;0.052;0.007;0.081;0.025;0.568;0.518;0.05;0.901;0;0.003;0.003;-0.458;0.15;0.002;0.027;0;0.463;-0.218;0.216;0.001;0.106;0.003;0.177;-0.009;-0.02;0.002;0.008;0;0.07;0.476;-0.034;0.974;0;0.001;0.004;-0.312;0.082;0.002;0.169;0.003;0.515;-0.095;-0.027;0.655;0.02;0.014;0.218;-0.105;-0.037;0.001;0.028;0;0.112;0.055;0.039;0.004;0.066;0.032;0.328;-0.072;0.026;0.008;0.018;0.001;0.494;-0.272;-0.019;0.001;0.055;0;0.406;-0.239;-0.012;0.001;0.028;0.008;0.644;-0.203;0.047;0.004;0.062;0.001;0.414;-0.582;0.149;0;0.327;0.002;0.428;-0.283;0.143;0.003;0.243;0.005;0.206;-0.001;-0.004;0.002;0.022;0.001;0.299;0.229;-0.019;0.146;0.016;0.002;0.328;-0.068;0.059;0.005;0.04;0.022;0.156;-0.03;0.018;0.018;0.029;0.028;0.802;-0.139;-0.038;0.008;0.042;0.001;0.435;-0.205;0.013;0.001;0.198;0.002;0.433;0.264;0.053;0.62;0.001;0.004;0.008;-0.171;-0.027;0.001;0.067;0.001;0.336;-0.167;-0.02;0.001;0.016;0.001;0.124;-0.051;0.159;0.002;0.008;0.007;0.039
3;0.301;0.066;0.744;0.007;0.019;0.012;0.34;0.013;0.069;0.039;0.017;0.251;-0.101;0.085;0.014;0.056;0.01;0.272;-0.139;0.033;0;0.12;0.004;0.497;0.011;0.058;0.005;0.109;0.032;0.461;0.504;0.057;0.923;0.001;0.002;0.004;-0.459;0.144;0.002;0.028;0;0.464;-0.267;0.184;0.001;0.093;0.002;0.18;-0.014;0.009;0.001;0.007;0;0.046;-0.005;-0.052;0.169;0.019;0.002;0.331;-0.339;0.068;0.001;0.195;0.004;0.495;-0.14;-0.032;0.678;0.02;0.019;0.192;-0.094;-0.041;0.002;0.03;0;0.234;0.08;0.018;0.012;0.066;0.055;0.128;-0.15;0.025;0.004;0.014;0.001;0.61;-0.209;0.006;0.002;0.07;0;0.218;-0.218;-0.028;0.001;0.016;0.005;0.762;-0.014;0.044;0.02;0.096;0.002;0.386;-0.232;0.028;0.001;0.148;0;0.486;-0.269;0.141;0.006;0.219;0.003;0.173;0.027;0.001;0.002;0.014;0.001;0.264;0.261;-0.037;0.126;0.023;0.002;0.314;-0.121;0.027;0.006;0.081;0.006;0.227;-0.07;0.01;0.013;0.019;0.015;0.873;-0.069;-0.031;0.007;0.047;0.001;0.419;-0.224;-0.059;0.002;0.196;0.002;0.314;0.267;0.031;0.237;0.015;0.005;0.101;-0.16;-0.022;0.001;0.079;0.001;0.225;-0.285;-0.045;0.001;0.019;0;0.184;-0.114;0.113;0.008;0.026;0.003;0.116
4;0.422;0.064;0.485;0.018;0.067;0.018;0.064;0.029;0.01;0.023;0.002;0.275;-0.113;0.084;0.025;0.017;0.003;0.205;-0.131;0.033;0;0.126;0.002;0.474;0.081;0.058;0.004;0.073;0.008;0.646;0.48;0.051;0.923;0.001;0.003;0.004;-0.492;0.096;0.001;0.025;0;0.521;-0.082;0.195;0.039;0.093;0.006;0.524;-0.024;0.025;0.001;0.01;0;0.044;-0.015;-0.012;0.095;0.024;0.001;0.327;-0.332;0.067;0.001;0.182;0.003;0.589;-0.09;-0.025;0.672;0.02;0.017;0.186;-0.138;-0.016;0;0.047;0;0.192;-0.047;0.006;0.013;0.073;0.023;0.606;-0.193;-0.08;0.003;0.007;0;0.714;-0.249;0.017;0.001;0.039;0;0.333;-0.235;-0.017;0;0.028;0.007;0.356;-0.154;0.049;0.015;0.129;0.002;0.316;-0.188;0.055;0.001;0.567;0.001;0.272;-0.188;0.065;0.005;0.123;0.001;0.173;0.01;-0.007;0.002;0.019;0.001;0.328;0.285;-0.037;0.123;0.022;0.002;0.262;-0.105;0.036;0.003;0.077;0.002;0.253;-0.188;0.06;0.001;0.017;0.007;0.916;-0.078;-0.034;0.007;0.038;0.001;0.55;0.027;-0.036;0.001;0.134;0.006;0.366;0.091;0.052;0.024;0.003;0.003;0.068;-0.156;-0.023;0.001;0.084;0.001;0.269;-0.273;-0.017;0.001;0.018;0.001;0.159;-0.08;0.112;0.002;0.012;0.015;0.034
5;0.438;0.058;0.279;0.059;0.039;0.039;0.282;0.027;0.066;0.015;0.024;0.282;-0.109;0.02;0.017;0.022;0.001;0.205;-0.131;0.038;0.001;0.147;0.009;0.302;-0.05;0.056;0.002;0.074;0.005;0.689;0.472;0.03;0.922;0.001;0.005;0.012;-0.488;0.096;0.001;0.023;0;0.499;-0.113;0.052;0.005;0.093;0.002;0.225;-0.014;0.008;0.001;0.008;0;0.043;-0.202;-0.009;0.015;0.025;0;0.247;-0.382;0.11;0.001;0.276;0.003;0.52;-0.123;-0.025;0.749;0.014;0.01;0.13;0.026;-0.006;0.007;0.013;0;0.081;0.121;0.028;0.008;0.067;0.01;0.607;-0.229;0.04;0.003;0.032;0.001;0.481;-0.244;0.008;0.001;0.043;0;0.343;-0.152;0.01;0.001;0.023;0.006;0.213;-0.158;0.05;0.01;0.18;0.003;0.357;-0.161;0.07;0.024;0.156;0.001;0.366;-0.172;0.066;0.006;0.24;0.004;0.155;0.002;0.004;0.001;0.025;0.001;0.408;0.283;-0.03;0.063;0.032;0.001;0.298;-0.192;0.031;0.004;0.053;0.002;0.228;-0.088;0.124;0.001;0.01;0.001;0.886;-0.109;-0.035;0.005;0.037;0.001;0.6;-0.153;-0.149;0.001;0.148;0.002;0.451;-0.101;-0.004;0.005;0.011;0.001;0.597;-0.192;-0.076;0.001;0.047;0.001;0.349;-0.299;-0.07;0.001;0.021;0;0.293;-0.103;0.119;0.003;0.009;0.013;0.039
6;0.323;0.051;0.035;0.08;0.094;0.048;0.156;0.059;0.015;0.017;0.012;0.364;-0.121;-0.004;0.004;0.026;0.001;0.208;-0.229;0.015;0;0.188;0.003;0.45;-0.063;0.047;0.003;0.062;0.015;0.591;0.485;0.022;0.933;0.001;0.006;0.007;-0.417;-0.019;0.001;0.018;0;0.564;-0.207;0.054;0.004;0.043;0.001;0.123;-0.058;0;0;0.006;0;0.038;-0.178;-0.016;0.008;0.035;0.001;0.264;-0.369;0.096;0.001;0.254;0.003;0.555;-0.116;-0.046;0.297;0.034;0.035;0.539;-0.071;-0.009;0.001;0.022;0;0.137;0.064;0.027;0.007;0.111;0.031;0.54;-0.277;0.039;0.003;0.025;0.001;0.538;-0.211;0.009;0.001;0.057;0;0.256;-0.252;0.023;0.001;0.078;0.102;0.377;-0.092;0.052;0.02;0.112;0.002;0.309;-0.184;0.062;0.001;0.151;0.001;0.54;-0.173;0.07;0.008;0.214;0.003;0.181;-0.02;0.005;0.001;0.022;0.001;0.37;0.327;-0.02;0.137;0.026;0.001;0.296;-0.177;0.002;0.006;0.037;0.001;0.185;-0.164;0.09;0.004;0.017;0.005;0.818;-0.091;0.003;0.005;0.055;0.001;0.524;-0.143;0.075;0.001;0.143;0.008;0.402;-0.041;0.031;0.016;0.003;0.003;0.034;-0.173;-0.075;0.002;0.067;0.002;0.312;-0.252;-0.07;0.001;0.027;0.001;0.24;-0.08;0.121;0.005;0.007;0.008;0.043
7;0.249;0.005;0.022;0.094;0.025;0.044;0.054;0.018;0.002;0.02;0.002;0.661;-0.245;-0.127;0.005;0.017;0;0.755;-0.15;0.034;0.001;0.186;0.002;0.4;0.021;0.048;0.003;0.091;0.008;0.642;0.491;0.02;0.918;0.001;0.007;0.011;-0.404;0.006;0.001;0.018;0;0.443;-0.226;0.155;0.005;0.062;0.001;0.212;-0.03;-0.015;0.001;0.011;0;0.112;-0.174;-0.058;0.004;0.038;0.001;0.341;-0.337;0.122;0.001;0.206;0.004;0.48;-0.178;-0.053;0.096;0.044;0.017;0.701;-0.057;-0.016;0.001;0.031;0;0.153;-0.053;0.072;0.202;0.043;0.21;0.074;-0.215;0.038;0.002;0.016;0.001;0.682;-0.21;0.009;0.001;0.05;0;0.242;-0.251;0.023;0.001;0.077;0.1;0.383;-0.101;0.05;0.017;0.132;0.003;0.297;-0.329;0.144;0;0.606;0.001;0.253;-0.145;0.141;0.009;0.161;0.002;0.169;-0.01;0;0.002;0.016;0.001;0.259;0.325;-0.045;0.131;0.024;0.002;0.271;-0.143;0.056;0.007;0.06;0.004;0.15;-0.18;0.028;0.003;0.012;0.006;0.896;-0.092;0.011;0.003;0.041;0.001;0.539;-0.21;0.049;0.001;0.173;0.008;0.372;-0.022;0.003;0.008;0.004;0.002;0.051;-0.179;-0.059;0.001;0.102;0.001;0.295;-0.267;-0.036;0.001;0.028;0.001;0.233;-0.024;0.152;0.004;0.011;0.006;0.056
8;0.324;0.053;0.105;0.011;0.044;0.015;0.094;0.022;0.003;0.021;0.002;0.629;-0.171;-0.001;0.005;0.07;0.001;0.252;-0.176;0.026;0;0.157;0.011;0.316;0.023;0.044;0.004;0.054;0.013;0.604;0.464;-0.003;0.884;0.002;0.005;0.016;-0.454;0.058;0.001;0.023;0;0.513;-0.254;0.136;0.004;0.086;0.001;0.185;-0.031;0;0.001;0.004;0;0.029;-0.137;-0.058;0.008;0.028;0.001;0.293;-0.348;0.113;0.001;0.207;0.004;0.485;-0.172;-0.043;0.276;0.057;0.019;0.492;-0.089;-0.053;0;0.037;0;0.328;-0.074;0.069;0.053;0.044;0.461;0.055;-0.214;0.021;0.002;0.01;0;0.699;-0.236;-0.008;0.001;0.046;0;0.358;-0.159;0;0.001;0.051;0.013;0.6;-0.112;0.053;0.011;0.223;0.004;0.339;-0.384;0.179;0.001;0.628;0.001;0.218;-0.196;0.112;0.008;0.132;0.002;0.187;0.026;-0.012;0.001;0.018;0.001;0.336;0.285;-0.034;0.085;0.032;0.001;0.314;-0.127;0.035;0.004;0.06;0.003;0.139;-0.23;-0.001;0.003;0.01;0.004;0.928;-0.107;-0.012;0.004;0.036;0.001;0.541;0.052;0.037;0.054;0.017;0.161;0.063;-0.09;0.004;0.004;0.006;0.002;0.085;-0.185;-0.049;0.001;0.086;0.002;0.34;-0.236;-0.019;0.001;0.027;0.002;0.248;-0.055;0.118;0.003;0.009;0.007;0.046
9;-0.016;0.048;0.001;0.158;0.058;0.168;0.065;0.046;0.005;0.02;0.011;0.702;-0.15;0.007;0.004;0.052;0.001;0.186;-0.231;0.046;0;0.115;0.003;0.599;-0.028;0.045;0.002;0.063;0.004;0.731;0.447;-0.007;0.82;0.002;0.006;0.038;-0.374;0.018;0.001;0.02;0;0.493;-0.242;0.183;0.002;0.141;0.002;0.283;-0.009;-0.005;0.001;0.007;0;0.052;-0.162;-0.063;0.011;0.025;0;0.275;-0.337;0.132;0.003;0.128;0.005;0.313;-0.175;-0.018;0.089;0.113;0.009;0.505;-0.11;-0.021;0;0.036;0;0.259;-0.066;0.059;0.039;0.049;0.486;0.042;-0.202;0.051;0.003;0.013;0.001;0.646;-0.21;-0.007;0.001;0.048;0;0.362;-0.157;0.005;0.001;0.057;0.012;0.617;-0.094;0.052;0.022;0.164;0.004;0.285;-0.401;0.267;0.001;0.674;0.001;0.204;-0.194;0.149;0.007;0.144;0.002;0.185;-0.016;0.01;0.002;0.022;0.001;0.266;0.292;-0.003;0.145;0.027;0.002;0.167;-0.13;0.06;0.006;0.075;0.007;0.213;-0.185;0.024;0.003;0.009;0.005;0.937;-0.135;-0.019;0.003;0.029;0.001;0.666;-0.034;0.001;0.006;0.128;0.02;0.253;-0.092;0.002;0.005;0.006;0.002;0.074;-0.202;-0.059;0.001;0.055;0.002;0.334;-0.247;-0.018;0.001;0.023;0.001;0.241;-0.115;0.113;0.003;0.009;0.01;0.053
