Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.065;0.042;0.003;0.015;0.001;0.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.39;0.054;0.206;0.125;0.015;0.068;0.73;0.073;0.975;0;0.001;0;;;;;;;-0.183;0.059;0;0.17;0.008;0.288;-0.079;0.15;0.001;0.014;0.225;0.072;-0.196;0;0.013;0.112;0.007;0.201;-0.416;0.051;0.001;0.027;0;0.364;-0.211;0.117;0.004;0.06;0.001;0.115;0.378;0.033;0.16;0.002;0.001;0.022;0.044;0.004;0.033;0.021;0.001;0.314;-0.006;0.063;0.02;0.155;0.025;0.119;-0.072;-0.044;0.375;0.029;0.02;0.492;0.223;0.012;0.961;0;0;0.001;0.052;0.011;0.007;0.147;0.024;0.482;0.015;0.055;0.628;0.005;0.003;0.105;-0.049;0.012;0.002;0.039;0;0.261;-0.278;-0.037;0.001;0.036;0.013;0.615;-0.054;-0.154;0.018;0.101;0.002;0.419;-0.168;0.063;0.005;0.188;0.002;0.326;0.323;0.023;0.101;0.007;0.002;0.036;0.032;-0.147;0.011;0.004;0;0.492;0.284;-0.023;0.071;0.055;0.002;0.328;;;;;;;-0.046;0.009;0.056;0.044;0.047;0.516;-0.255;-0.055;0.001;0.061;0;0.558;-0.19;0.047;0.004;0.111;0.006;0.303;0.335;0.027;0.742;0;0.002;0.003;-0.113;-0.008;0.003;0.07;0.002;0.178;-0.276;-0.08;0.002;0.01;0;0.124;-0.105;0.148;0.001;0.02;0.013;0.044
2;0.43;0.063;0.277;0.07;0.031;0.089;0.669;0.063;0.98;0;0.001;0;-0.204;0.085;0.005;0.042;0.002;0.24;-0.061;0.051;0.001;0.153;0.013;0.252;-0.046;0.04;0.002;0.08;0.032;0.469;-0.213;-0.007;0.01;0.162;0.007;0.276;-0.395;0.021;0.001;0.025;0;0.39;-0.274;0.135;0.001;0.066;0.002;0.154;0.254;0.012;0.014;0.001;0;0.008;-0.406;0.063;0;0.085;0.001;0.155;-0.163;0.298;0.047;0.019;0.074;0.038;-0.196;-0.019;0.747;0.01;0.027;0.169;0.334;0.012;0.978;0;0;0.001;0.046;0.008;0.006;0.159;0.023;0.472;-0.142;0.06;0.349;0.007;0.004;0.096;-0.261;0.021;0;0.023;0;0.268;-0.277;-0.043;0.001;0.034;0.013;0.616;-0.069;-0.058;0.288;0.201;0.002;0.166;0.056;0.002;0.004;0.033;0.001;0.342;0.182;-0.011;0.054;0.018;0.001;0.088;0.42;0.042;0.241;0.007;0.002;0.083;0.284;-0.023;0.071;0.055;0.002;0.328;-0.136;0.133;0.003;0.057;0.002;0.129;-0.11;-0.014;0.021;0.032;0.032;0.754;-0.249;-0.075;0.001;0.071;0.001;0.575;-0.222;-0.008;0.002;0.155;0.002;0.312;0.349;0.017;0.654;0.001;0.002;0.01;-0.171;-0.026;0.002;0.15;0.002;0.271;-0.109;-0.085;0.009;0.012;0.001;0.115;-0.095;0.125;0.002;0.027;0.008;0.046
3;0.331;0.068;0.046;0.256;0.02;0.16;0.655;0.063;0.981;0;0.002;0;-0.202;0.05;0.004;0.055;0.002;0.318;-0.004;0.043;0;0.316;0.014;0.292;-0.033;0.039;0.002;0.12;0.01;0.608;-0.218;-0.011;0.011;0.188;0.006;0.319;-0.333;-0.013;0.001;0.024;0;0.442;-0.309;0.164;0.001;0.161;0.001;0.216;0.19;0.01;0.032;0.001;0;0.007;-0.204;-0.008;0.003;0.018;0;0.223;-0.125;0.119;0.149;0.073;0.01;0.1;-0.04;0.024;0.95;0.003;0.004;0.014;0.262;0.035;0.971;0;0.001;0.002;0.042;0.018;0.005;0.119;0.011;0.515;-0.197;0.055;0.206;0.009;0.003;0.158;-0.156;0.014;0.002;0.023;0;0.438;-0.276;-0.044;0.001;0.034;0.012;0.623;-0.31;-0.184;0.006;0.072;0.001;0.51;0.365;0.063;0.572;0.026;0.004;0.123;0.277;0.035;0.105;0.018;0.002;0.07;0.271;0.041;0.077;0.015;0.004;0.068;0.282;-0.022;0.071;0.055;0.002;0.327;-0.162;0.084;0.002;0.041;0.001;0.108;-0.096;-0.009;0.038;0.044;0.041;0.626;-0.348;-0.154;0.001;0.013;0;0.797;-0.141;0.034;0.046;0.081;0.017;0.188;0.432;0.012;0.717;0.001;0.002;0.015;-0.191;-0.073;0.001;0.079;0.001;0.441;-0.251;-0.057;0.001;0.024;0;0.168;-0.027;0.04;0.008;0.013;0.014;0.029
4;0.369;0.072;0.031;0.485;0.022;0.156;0.604;0.049;0.975;0;0.004;0.002;-0.187;0.041;0.003;0.031;0.001;0.171;-0.128;0.034;0;0.258;0.014;0.272;-0.039;0.02;0.002;0.08;0.004;0.727;-0.054;-0.057;0.004;0.085;0.001;0.36;-0.418;-0.112;0.001;0.012;0;0.566;-0.301;0.182;0.001;0.169;0.002;0.15;0.286;0.025;0.049;0.001;0.001;0.006;-0.275;-0.134;0.007;0.025;0.001;0.405;-0.237;0.153;0.003;0.259;0.005;0.209;-0.086;0.022;0.884;0.006;0.007;0.052;0.038;0.097;0.971;0;0.001;0.002;-0.009;0.006;0.003;0.015;0.001;0.486;-0.211;0.055;0.128;0.017;0.002;0.211;-0.078;-0.001;0.001;0.052;0;0.432;-0.276;-0.043;0.001;0.035;0.013;0.625;-0.128;0.026;0.015;0.107;0.001;0.109;0.097;0.078;0.554;0.102;0.008;0.138;0.22;0.014;0.186;0.014;0.002;0.072;0.238;0.031;0.031;0.018;0.004;0.082;0.288;-0.021;0.077;0.051;0.002;0.311;-0.144;0.074;0.005;0.05;0.001;0.126;-0.109;-0.007;0.023;0.05;0.034;0.63;-0.342;-0.214;0.001;0.007;0;0.85;-0.054;0.031;0.013;0.102;0.005;0.18;0.418;-0.003;0.634;0.002;0.002;0.028;-0.194;-0.037;0.001;0.126;0.001;0.302;-0.249;-0.061;0.002;0.041;0.001;0.256;-0.13;0.088;0.003;0.021;0.037;0.032
5;0.365;0.057;0.045;0.351;0.017;0.221;0.525;0.008;0.93;0.002;0.011;0.018;-0.193;0.074;0.004;0.042;0.001;0.224;-0.176;0.05;0;0.232;0.017;0.24;0.066;0.025;0.003;0.054;0.003;0.685;-0.089;-0.082;0.009;0.133;0.002;0.34;-0.328;-0.008;0.001;0.024;0;0.507;-0.336;0.249;0.001;0.22;0.001;0.315;0.114;-0.005;0.005;0.001;0;0.012;-0.222;-0.062;0.006;0.02;0;0.245;-0.081;0.044;0.103;0.165;0.013;0.097;-0.174;0.003;0.462;0.029;0.017;0.258;0.007;0.048;0.834;0.003;0.002;0.038;-0.02;-0.013;0.004;0.019;0.001;0.878;-0.224;0.003;0.039;0.015;0.002;0.432;-0.107;0.022;0.001;0.042;0;0.493;-0.277;-0.044;0.001;0.034;0.013;0.626;-0.164;-0.001;0.013;0.204;0.002;0.111;0.055;-0.006;0.025;0.028;0.001;0.561;0.127;0.016;0.191;0.01;0.002;0.106;0.268;0.03;0.042;0.013;0.001;0.087;0.288;-0.021;0.077;0.051;0.002;0.311;-0.126;0.105;0.01;0.034;0.001;0.108;-0.143;-0.034;0.013;0.053;0.016;0.6;-0.241;-0.073;0.001;0.045;0;0.563;0.1;0.064;0.706;0.005;0.003;0.017;0.283;0.008;0.454;0.008;0.004;0.077;-0.152;-0.032;0.002;0.106;0.001;0.346;0;-0.099;0.03;0.013;0.002;0.063;-0.075;0.137;0.003;0.015;0.014;0.034
6;-0.069;0.174;0.012;0.53;0.017;0.092;0.518;0.011;0.903;0.003;0.022;0.022;-0.171;0.135;0.005;0.036;0.001;0.157;-0.216;0.042;0.001;0.2;0.015;0.27;-0.07;0.028;0.002;0.079;0.003;0.733;-0.336;0.013;0.005;0.134;0.008;0.344;-0.319;0.006;0.001;0.029;0;0.462;-0.272;0.167;0.001;0.114;0.001;0.164;0.067;-0.003;0.008;0.001;0;0.008;-0.214;-0.041;0.014;0.017;0;0.218;-0.112;0.117;0.006;0.239;0.016;0.188;-0.152;0.018;0.656;0.019;0.015;0.201;-0.071;0.043;0.05;0.025;0.001;0.341;-0.02;-0.013;0.004;0.019;0.001;0.878;-0.366;-0.133;0.01;0.007;0.001;0.522;-0.285;0.1;0.003;0.03;0;0.783;-0.282;-0.043;0.001;0.034;0.012;0.625;-0.05;-0.001;0.03;0.086;0.001;0.167;0.365;0.06;0.861;0.003;0.003;0.022;0.169;0.035;0.354;0.005;0.001;0.053;0.205;0.039;0.01;0.02;0.004;0.088;0.449;0.004;0.841;0.001;0.004;0.017;-0.133;0.113;0.002;0.036;0.001;0.101;-0.166;-0.124;0.007;0.015;0.007;0.912;-0.266;-0.071;0.002;0.069;0.001;0.453;-0.037;-0.041;0.061;0.098;0.004;0.25;0.001;0.017;0.122;0.01;0.006;0.149;-0.147;-0.024;0.001;0.123;0.002;0.276;-0.236;-0.087;0.002;0.035;0.001;0.222;-0.04;0.132;0.002;0.014;0.009;0.037
7;-0.032;0.173;0.032;0.13;0.028;0.064;0.537;0.017;0.965;0.001;0.006;0.006;-0.171;0.072;0.005;0.05;0.002;0.157;-0.209;0.055;0;0.237;0.009;0.334;-0.086;0.033;0.002;0.074;0.002;0.744;-0.424;0.061;0.002;0.101;0.022;0.148;-0.388;-0.003;0.001;0.025;0;0.428;-0.258;0.176;0.002;0.081;0.001;0.105;0.003;-0.001;0.014;0.001;0;0.006;-0.227;-0.052;0.008;0.019;0;0.204;-0.075;0.037;0.005;0.223;0.011;0.254;-0.151;-0.015;0.328;0.049;0.013;0.334;0.176;0.024;0.981;0;0;0.001;;;;;;;-0.189;-0.005;0.002;0.017;0.001;0.556;-0.101;0.027;0.002;0.122;0.001;0.285;-0.282;-0.043;0.001;0.033;0.012;0.627;-0.098;-0.007;0.011;0.171;0.002;0.222;0.218;0.045;0.023;0.058;0.001;0.261;0.127;0.069;0.08;0.019;0.001;0.197;0.16;0.036;0.008;0.02;0.005;0.091;0.574;0.046;0.989;0;0;0;-0.126;0.227;0.001;0.035;0.001;0.083;-0.156;-0.017;0.005;0.043;0.009;0.766;-0.245;-0.065;0.002;0.082;0.001;0.398;-0.135;0.113;0.102;0.082;0.006;0.136;0.032;0.024;0.094;0.005;0.003;0.059;-0.149;-0.012;0.001;0.193;0.002;0.253;-0.214;-0.044;0.002;0.029;0;0.15;-0.09;0.183;0.003;0.018;0.011;0.04
8;0.308;0.05;0.008;0.279;0.038;0.091;0.481;0.002;0.838;0.004;0.017;0.057;-0.092;0.104;0.004;0.03;0.002;0.206;-0.189;0.066;0;0.265;0.01;0.363;0.165;0.028;0.004;0.107;0.004;0.644;-0.38;0.058;0.002;0.113;0.015;0.229;-0.366;0.025;0.001;0.028;0;0.403;-0.296;0.194;0.001;0.151;0.002;0.162;0.023;-0.015;0.008;0.002;0;0.018;-0.242;-0.045;0.005;0.022;0;0.195;-0.035;0.077;0.005;0.26;0.01;0.27;-0.129;-0.022;0.639;0.019;0.025;0.189;0.297;0.001;0.985;0;0;0;;;;;;;-0.243;0.051;0.01;0.023;0.001;0.383;-0.112;0.02;0.003;0.052;0;0.566;-0.394;-0.011;0;0.053;0.058;0.442;-0.121;-0.01;0.016;0.163;0.002;0.158;-0.032;-0.006;0.456;0.015;0.003;0.261;0.131;0.051;0.564;0.016;0.002;0.123;0.132;0.027;0.009;0.02;0.003;0.109;0.406;0.02;0.952;0;0.001;0.003;-0.133;0.234;0.001;0.058;0.002;0.108;-0.158;-0.065;0.019;0.045;0.008;0.513;-0.251;-0.063;0.002;0.084;0.001;0.411;-0.273;0.039;0.003;0.246;0.005;0.395;0.015;0;0.037;0.004;0.002;0.087;-0.157;-0.027;0.001;0.146;0.002;0.286;-0.195;-0.059;0.004;0.022;0.001;0.15;-0.131;0.189;0.009;0.023;0.001;0.18
9;0.423;0.046;0.742;0.052;0.006;0.013;0.487;0.005;0.82;0.005;0.02;0.055;-0.097;0.081;0.003;0.021;0.001;0.175;-0.284;0.109;0.001;0.329;0.015;0.298;0.284;0.027;0.02;0.05;0.002;0.681;-0.39;0.048;0.002;0.089;0.014;0.195;-0.372;0.011;0.001;0.026;0;0.42;-0.305;0.189;0.001;0.094;0.001;0.183;-0.041;-0.018;0.005;0.003;0;0.028;-0.214;-0.038;0.005;0.022;0;0.202;-0.275;0.111;0.005;0.173;0.01;0.174;-0.158;-0.002;0.659;0.016;0.02;0.19;0.333;0.017;0.98;0;0;0.001;;;;;;;0.382;0.04;0.863;0.001;0.001;0.018;0.092;0.009;0.2;0.04;0.002;0.539;-0.394;-0.012;0;0.053;0.061;0.435;-0.207;0.009;0.011;0.198;0.002;0.197;-0.32;-0.057;0.008;0.03;0.001;0.443;-0.008;0.014;0.064;0.016;0.001;0.258;0.146;0.036;0.003;0.017;0.003;0.118;0.446;0.026;0.863;0.001;0.001;0.012;-0.106;0.188;0.002;0.057;0.002;0.095;-0.2;-0.051;0.014;0.039;0.005;0.616;-0.252;-0.062;0.001;0.077;0.001;0.491;-0.213;0.007;0.025;0.102;0.005;0.199;0.032;0.011;0.021;0.005;0.002;0.079;;;;;;;-0.18;-0.049;0.007;0.02;0.001;0.116;-0.009;0.096;0.003;0.015;0.006;0.058
