Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.336;0.06;0.037;0.065;0.05;0.102;-0.081;-0.141;0.009;0.004;0.001;0.749;;;;;;;-0.071;0.028;0;0.265;0.012;0.251;0.097;0.099;0.119;0.007;0.193;0.032;;;;;;;-0.445;0.099;0.001;0.045;0;0.45;-0.24;0.228;0.003;0.069;0.001;0.162;0.179;0.016;0.063;0.002;0;0.025;-0.112;-0.051;0;0.018;0;0.881;-0.099;0.092;0.009;0.387;0.005;0.401;-0.18;-0.059;0.227;0.06;0.15;0.477;0.269;0.078;0.307;0.004;0.001;0.09;-0.049;0.01;0.039;0.16;0.037;0.458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.219;0.056;0.039;0.064;0.036;0.071;0.316;0.045;0.067;0.025;0.013;0.186;;;;;;;-0.157;0.055;0;0.154;0.003;0.328;0.11;0.044;0.024;0.03;0.003;0.786;-0.329;0.01;0.004;0.163;0.003;0.351;-0.442;0.068;0.001;0.026;0;0.517;-0.294;0.167;0.002;0.145;0.002;0.198;0.09;0.029;0.01;0.001;0;0.008;-0.123;-0.03;0;0.053;0.001;0.827;-0.121;0.1;0.006;0.321;0.006;0.368;-0.05;-0.021;0.213;0.033;0.016;0.645;-0.15;0.143;0.097;0.021;0.002;0.134;-0.1;0.034;0.016;0.131;0.004;0.488;0.035;0.04;0.629;0.003;0.004;0.107;-0.166;-0.009;0.002;0.037;0;0.171;-0.364;-0.057;0;0.038;0.014;0.787;0.116;0.035;0.057;0.049;0.002;0.199;-0.044;0.02;0.001;0.193;0.001;0.491;0.215;0.02;0.209;0.009;0.001;0.194;0.139;-0.269;0.012;0.006;0;0.604;;;;;;;;;;;;;-0.262;0.075;0.001;0.007;0.005;0.961;-0.23;-0.054;0.002;0.022;0;0.674;-0.213;0.084;0.004;0.103;0.009;0.248;-0.178;-0.046;0.007;0.026;0.002;0.541;-0.134;-0.018;0.004;0.059;0.001;0.294;-0.352;-0.031;0.002;0.018;0.001;0.211;-0.163;0.029;0.005;0.105;0.002;0.143
3;0.33;0.056;0.064;0.03;0.023;0.044;0.272;0.034;0.082;0.032;0.009;0.198;-0.144;0.022;0.033;0.025;0.006;0.337;-0.214;0.064;0;0.234;0.012;0.342;0.14;0.042;0.002;0.058;0.001;0.78;-0.347;0.009;0.003;0.176;0.005;0.433;-0.38;0.041;0.001;0.021;0;0.622;-0.277;0.129;0.002;0.11;0.001;0.262;0.209;-0.02;0.009;0.005;0;0.034;-0.124;-0.032;0;0.043;0.001;0.846;-0.16;0.138;0.004;0.248;0.005;0.365;-0.109;-0.035;0.012;0.024;0.004;0.892;-0.111;0.106;0.84;0.001;0.003;0.008;-0.117;0.037;0.009;0.33;0.005;0.337;0.008;0.04;0.758;0.001;0.005;0.016;-0.214;0.023;0.002;0.03;0.001;0.191;-0.383;-0.029;0;0.049;0.055;0.732;-0.027;0.033;0.031;0.111;0.003;0.365;-0.042;0.17;0.029;0.019;0.019;0.713;0.051;-0.002;0.082;0.018;0.001;0.407;0.033;0.002;0.002;0.023;0.001;0.328;0.486;-0.003;0.798;0.001;0.004;0.009;;;;;;;-0.225;0.123;0.001;0.023;0.002;0.927;-0.358;-0.219;0.001;0.005;0;0.848;-0.169;0.097;0.005;0.097;0.016;0.234;-0.214;-0.006;0.007;0.024;0.001;0.26;-0.168;-0.029;0.003;0.089;0.001;0.336;-0.335;-0.029;0.001;0.019;0;0.244;-0.093;0.044;0.006;0.119;0.02;0.097
4;0.275;0.062;0.036;0.062;0.019;0.057;0.155;0.032;0.044;0.028;0.006;0.206;-0.19;0.033;0.037;0.017;0.006;0.197;-0.322;0.123;0;0.26;0.006;0.419;0.331;-0.003;0.005;0.039;0.002;0.795;-0.334;0.009;0.003;0.15;0.004;0.442;-0.362;0.004;0.001;0.03;0;0.465;-0.251;0.17;0.002;0.141;0.003;0.152;-0.006;0.018;0.001;0.004;0;0.016;-0.1;-0.01;0;0.055;0.001;0.838;-0.178;0.178;0.004;0.171;0.005;0.353;-0.007;-0.029;0.734;0.011;0.014;0.157;-0.143;0.102;0.725;0.002;0.002;0.017;-0.112;0.025;0.004;0.103;0.002;0.406;-0.185;0.091;0.537;0.002;0.004;0.054;-0.172;-0.017;0.002;0.052;0;0.274;-0.385;-0.02;0;0.054;0.101;0.488;-0.033;0.049;0.046;0.058;0.002;0.189;-0.218;-0.079;0.003;0.216;0.002;0.3;0.278;0.073;0.115;0.013;0.002;0.074;0.079;-0.001;0.001;0.015;0.001;0.229;0.481;0.041;0.683;0.001;0.021;0.008;-0.152;0.06;0.004;0.029;0.001;0.117;-0.227;0.116;0.001;0.022;0.003;0.869;-0.225;-0.084;0.001;0.071;0.001;0.683;-0.303;0.136;0.002;0.06;0.002;0.344;-0.218;0;0.004;0.006;0.001;0.116;-0.185;-0.026;0.001;0.11;0.001;0.271;-0.288;-0.013;0.001;0.022;0.001;0.215;-0.066;0.114;0.003;0.141;0.004;0.249
5;0.212;0.056;0.018;0.068;0.018;0.072;0.175;0.026;0.042;0.034;0.012;0.27;-0.176;0.022;0.02;0.029;0.003;0.292;-0.195;0.025;0;0.271;0.016;0.314;0.21;0.093;0.11;0.078;0.118;0.318;-0.304;0.006;0.006;0.121;0.004;0.342;-0.396;0.061;0.001;0.038;0;0.491;-0.248;0.18;0.002;0.102;0.002;0.129;0.035;0.015;0.001;0.003;0;0.016;-0.119;-0.021;0;0.085;0.001;0.783;-0.265;0.09;0.005;0.538;0.007;0.234;-0.086;-0.046;0.231;0.028;0.04;0.59;0.113;0.145;0.806;0.001;0.002;0.004;-0.07;0.004;0.005;0.104;0.005;0.466;-0.154;0.059;0.326;0.006;0.004;0.166;-0.129;-0.007;0.003;0.052;0;0.244;-0.396;-0.04;0;0.04;0.13;0.292;-0.01;0.03;0.129;0.043;0.002;0.153;-0.139;0.05;0.001;0.163;0.001;0.394;0.114;0.059;0.062;0.019;0.001;0.094;0.103;-0.01;0.002;0.016;0;0.205;0.509;0;0.695;0.001;0.005;0.006;-0.176;0.052;0.003;0.047;0.002;0.135;-0.189;0.141;0.002;0.014;0.009;0.91;-0.177;-0.038;0.003;0.132;0.001;0.517;-0.161;-0.049;0.006;0.118;0.004;0.352;-0.237;0.04;0.006;0.006;0.001;0.168;-0.211;-0.035;0.001;0.128;0.001;0.312;-0.211;-0.008;0.001;0.017;0.001;0.113;-0.048;0.109;0.001;0.092;0.008;0.163
6;0.217;0.04;0.323;0.029;0.009;0.045;0.113;0.05;0.049;0.035;0.067;0.167;-0.171;0.008;0.017;0.051;0.003;0.371;-0.171;0.029;0;0.27;0.015;0.358;-0.154;0.039;0.001;0.068;0.006;0.645;-0.142;-0.011;0.002;0.08;0.005;0.58;-0.41;0.121;0.001;0.043;0;0.47;-0.245;0.159;0.002;0.118;0.003;0.148;-0.015;-0.001;0.003;0.01;0;0.089;-0.104;-0.015;0;0.029;0;0.89;-0.163;0.181;0.007;0.268;0.004;0.401;-0.096;-0.033;0.674;0.013;0.016;0.188;-0.069;0.054;0.007;0.026;0.001;0.281;0.009;0.013;0.005;0.057;0.004;0.393;-0.158;0.059;0.324;0.005;0.004;0.16;-0.252;-0.027;0.002;0.051;0;0.378;-0.277;-0.035;0;0.021;0.007;0.902;-0.016;0.007;0.069;0.037;0.001;0.107;-0.197;0.164;0.002;0.275;0.001;0.321;0.1;-0.023;0.141;0.015;0.002;0.366;0.028;-0.002;0.002;0.025;0.001;0.288;0.327;-0.152;0.916;0.001;0.006;0.025;-0.195;0.101;0.002;0.069;0.002;0.139;-0.145;0.078;0.004;0.014;0.01;0.906;-0.222;-0.042;0.006;0.049;0.001;0.462;-0.186;0.058;0.004;0.093;0.006;0.3;-0.228;-0.006;0.015;0.004;0.001;0.144;-0.192;-0.035;0.001;0.115;0.001;0.303;-0.269;-0.035;0.001;0.012;0;0.115;-0.106;0.074;0.002;0.079;0.008;0.122
7;0.285;0.051;0.816;0.008;0.008;0.015;0.077;0.041;0.037;0.027;0.021;0.247;-0.176;0.04;0.016;0.023;0.005;0.269;-0.225;0.039;0;0.199;0.016;0.41;-0.063;0.04;0.002;0.085;0.016;0.413;-0.148;-0.003;0.002;0.086;0.006;0.508;-0.408;0.061;0.001;0.044;0;0.429;-0.24;0.175;0.002;0.127;0.004;0.134;-0.004;0.003;0.001;0.006;0;0.024;-0.141;0.012;0.001;0.035;0.001;0.727;-0.159;0.186;0.004;0.216;0.005;0.436;-0.091;-0.021;0.779;0.008;0.021;0.134;-0.065;0.043;0.006;0.019;0;0.206;-0.091;0.018;0.003;0.065;0.002;0.409;-0.185;0.078;0.255;0.006;0.003;0.16;-0.186;-0.018;0.001;0.043;0;0.321;-0.278;-0.033;0;0.022;0.007;0.899;-0.179;-0.045;0.025;0.209;0.002;0.209;0.016;0.065;0.001;0.134;0;0.286;0.218;0.026;0.124;0.015;0.002;0.101;-0.005;0.001;0.001;0.024;0.002;0.286;0.469;-0.024;0.713;0.001;0.005;0.013;-0.232;0.034;0.001;0.041;0.001;0.227;-0.142;0.112;0.004;0.017;0.011;0.855;-0.216;-0.016;0.002;0.025;0;0.741;-0.157;0.017;0.01;0.105;0.005;0.241;-0.058;0.031;0.274;0.005;0.002;0.078;-0.199;-0.015;0.001;0.13;0.001;0.298;-0.3;-0.025;0.001;0.018;0;0.15;-0.075;0.065;0.001;0.107;0.01;0.14
8;0.162;0.064;0.611;0.021;0.012;0.036;0.098;0.032;0.038;0.045;0.033;0.276;-0.227;0.021;0.013;0.027;0.004;0.247;-0.294;0.086;0;0.267;0.013;0.331;-0.135;0.017;0.001;0.079;0.002;0.661;-0.267;0.015;0.002;0.145;0.017;0.425;-0.404;0.051;0.001;0.039;0;0.489;-0.273;0.119;0.001;0.171;0.005;0.266;-0.024;0.003;0.001;0.003;0;0.012;-0.206;-0.033;0.002;0.081;0.001;0.622;-0.152;0.124;0.005;0.201;0.005;0.45;-0.075;0.05;0.902;0.006;0.026;0.023;-0.08;0.042;0.006;0.024;0.001;0.25;-0.102;0.017;0.002;0.074;0.002;0.413;-0.144;0.052;0.268;0.006;0.005;0.141;-0.19;-0.017;0.001;0.044;0;0.316;-0.287;-0.038;0;0.025;0.013;0.889;-0.108;-0.018;0.061;0.099;0.002;0.113;-0.284;0.162;0.003;0.225;0.002;0.286;0.315;0.047;0.276;0.007;0.003;0.036;-0.093;-0.263;0.001;0.008;0;0.71;0.428;0.05;0.632;0.001;0.009;0.008;-0.184;0.111;0.004;0.074;0.002;0.169;-0.135;0.096;0.006;0.023;0.015;0.806;-0.172;-0.008;0.002;0.029;0.001;0.763;-0.181;0.024;0.011;0.105;0.009;0.256;-0.009;0.007;0.027;0.066;0.003;0.31;-0.239;-0.033;0.001;0.158;0.002;0.291;-0.274;-0.047;0.001;0.022;0.001;0.238;-0.073;0.046;0.002;0.132;0.011;0.152
9;0.326;0.063;0.954;0.002;0.009;0.002;0.171;0.037;0.026;0.041;0.049;0.237;-0.199;0.028;0.021;0.029;0.002;0.315;-0.257;0.057;0;0.29;0.005;0.457;-0.075;0.054;0.003;0.073;0.038;0.2;-0.104;0.045;0.024;0.08;0.005;0.357;-0.393;0.063;0.001;0.035;0;0.344;-0.319;0.065;0.001;0.148;0.001;0.485;-0.064;0.004;0.001;0.003;0;0.022;-0.17;-0.021;0.001;0.023;0;0.736;-0.152;0.182;0.003;0.18;0.006;0.29;-0.133;0.051;0.901;0.004;0.029;0.022;0.251;0.047;0.507;0.004;0.004;0.047;-0.058;0.021;0.002;0.065;0.001;0.375;-0.169;0.066;0.122;0.007;0.004;0.116;-0.212;0.008;0.002;0.052;0;0.24;-0.286;-0.038;0;0.027;0.026;0.856;-0.103;0.022;0.025;0.136;0.002;0.167;0.048;0.056;0.007;0.06;0;0.277;0.32;0.052;0.517;0.023;0.009;0.061;-0.008;0.01;0.001;0.025;0.003;0.355;0.442;-0.012;0.468;0.001;0.003;0.011;-0.183;0.09;0.002;0.086;0.002;0.188;0.145;0.107;0.022;0.005;0.037;0.693;-0.183;0.008;0.002;0.025;0.001;0.656;-0.17;0.024;0.005;0.096;0.004;0.328;0.191;0.016;0.109;0.035;0.003;0.321;-0.196;-0.025;0.001;0.108;0.001;0.291;-0.255;-0.051;0.001;0.028;0.001;0.27;-0.068;0.091;0.001;0.097;0.008;0.166
