Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.269;0.048;0.025;0.168;0.023;0.181;;;;;;;;;;;;;-0.357;0.115;0;0.176;0.008;0.403;0.16;0.021;0.008;0.079;0.003;0.689;-0.272;0.02;0;0.177;0.002;0.469;-0.399;0.041;0.002;0.01;0;0.482;-0.265;0.145;0.002;0.108;0.005;0.09;0.352;0.017;0.276;0.001;0.001;0.008;-0.144;-0.034;0.011;0.091;0.001;0.252;-0.297;0.04;0.002;0.255;0.008;0.277;-0.051;-0.036;0.282;0.017;0.006;0.445;0.126;-0.015;0.252;0.007;0.001;0.219;0.232;0.045;0.049;0.173;0.031;0.202;-0.103;0.033;0.191;0.006;0.002;0.412;0.038;0.014;0.18;0.03;0.001;0.185;-0.242;-0.06;0.001;0.025;0.002;0.802;-0.079;0.029;0.053;0.029;0.002;0.109;-0.167;0.052;0.004;0.043;0.001;0.271;-0.137;0.045;0.013;0.142;0.003;0.299;0.137;0.021;0.002;0.009;0.001;0.12;0.563;-0.004;0.78;0.001;0.002;0.009;-0.189;0.036;0.003;0.041;0.008;0.208;-0.2;0.131;0.001;0.013;0.008;0.898;-0.178;-0.015;0.001;0.116;0.001;0.603;-0.171;-0.003;0.004;0.096;0.008;0.312;0.083;0.016;0.481;0.001;0.001;0.023;-0.071;-0.063;0.002;0.044;0.001;0.372;-0.329;-0.06;0.001;0.021;0;0.31;-0.107;0.186;0.004;0.019;0.007;0.062
2;0.33;0.052;0.013;0.123;0.03;0.051;;;;;;;;;;;;;-0.317;0.034;0;0.257;0.005;0.485;0.161;0.027;0.022;0.116;0.005;0.61;-0.243;0.041;0;0.14;0.004;0.526;-0.411;0.042;0.001;0.013;0;0.534;-0.207;0.134;0.004;0.077;0.004;0.099;0.411;0.024;0.436;0;0.001;0.005;-0.048;-0.057;0.004;0.013;0;0.241;-0.373;0.04;0.003;0.117;0.005;0.427;-0.039;-0.05;0.829;0.008;0.009;0.093;0.199;-0.012;0.628;0.003;0.002;0.103;0.246;0.041;0.062;0.175;0.029;0.203;-0.116;0.035;0.154;0.006;0.003;0.38;-0.016;0.002;0.075;0.051;0.001;0.505;-0.284;-0.046;0.002;0.031;0.009;0.783;-0.153;0.035;0.024;0.073;0.003;0.323;-0.304;-0.022;0.001;0.028;0;0.409;-0.1;0.062;0.01;0.196;0.004;0.209;0.007;0.013;0.007;0.02;0.002;0.143;0.426;0.029;0.45;0.003;0.004;0.027;-0.181;0.011;0.004;0.047;0.003;0.186;0.115;0.087;0.012;0.032;0.012;0.681;-0.18;-0.025;0.001;0.085;0.001;0.698;-0.212;0.25;0.051;0.016;0.023;0.07;0.23;0.043;0.3;0;0.002;0.009;-0.074;-0.055;0.001;0.036;0.001;0.354;-0.274;-0.073;0.001;0.038;0.001;0.314;-0.096;0.092;0.007;0.026;0.035;0.034
3;0.257;0.052;0.013;0.187;0.046;0.074;0.619;0.036;0.835;0.007;0.006;0.027;-0.148;0.087;0.004;0.042;0.001;0.326;-0.258;0.055;0;0.26;0.007;0.38;0.05;0.039;0.007;0.196;0.013;0.539;-0.328;0.026;0;0.149;0.002;0.592;-0.38;0.177;0.002;0.021;0;0.503;-0.241;0.143;0.003;0.122;0.002;0.149;0.398;0.035;0.528;0;0.001;0.002;-0.108;-0.032;0.01;0.024;0;0.275;-0.268;0.063;0.003;0.097;0.02;0.112;0.02;-0.04;0.814;0.009;0.005;0.076;0.261;0.048;0.873;0.001;0.001;0.016;0.235;0.041;0.045;0.17;0.031;0.198;-0.126;0.061;0.021;0.009;0.001;0.655;-0.061;0.035;0.029;0.058;0.001;0.644;-0.281;-0.045;0.002;0.032;0.01;0.777;-0.036;0.051;0.034;0.073;0.002;0.248;-0.309;0.008;0.001;0.061;0.001;0.263;-0.09;0.035;0.01;0.139;0.003;0.237;0.189;0.027;0.003;0.015;0.002;0.086;0.388;-0.01;0.186;0.01;0.002;0.121;-0.127;0.057;0.003;0.039;0.002;0.141;-0.048;0.114;0.001;0.058;0.011;0.702;-0.186;-0.04;0.001;0.079;0.001;0.721;-0.259;-0.106;0.001;0.063;0.001;0.765;0.186;0.013;0.216;0.002;0.004;0.01;-0.017;-0.032;0.001;0.019;0.001;0.254;-0.243;-0.05;0.001;0.012;0;0.248;-0.07;0.14;0.005;0.017;0.036;0.034
4;0.249;0.073;0.066;0.02;0.013;0.035;0.399;0.009;0.237;0.028;0.05;0.238;-0.193;0.062;0.003;0.052;0.001;0.445;-0.235;0.041;0;0.2;0.015;0.234;0.043;0.031;0.004;0.122;0.005;0.682;-0.309;0.05;0;0.192;0.004;0.541;-0.275;-0.106;0.004;0.022;0;0.377;-0.25;0.108;0.003;0.1;0.002;0.205;0.308;0.048;0.276;0.001;0.001;0.008;-0.179;-0.034;0.007;0.115;0.001;0.327;-0.299;0.073;0.003;0.117;0.023;0.1;0.019;-0.041;0.887;0.004;0.004;0.036;0.115;-0.033;0.842;0.001;0.001;0.016;0.244;0.041;0.06;0.176;0.028;0.201;-0.04;0.032;0.012;0.019;0.001;0.342;0.166;0.006;0.611;0.018;0.003;0.143;-0.372;-0.18;0.001;0.035;0.002;0.687;0.117;0.036;0.041;0.056;0.002;0.186;-0.461;0.179;0.001;0.422;0.001;0.222;-0.167;0.032;0.011;0.124;0.002;0.165;0.174;0.01;0.01;0.012;0;0.111;0.166;0.003;0.009;0.033;0;0.186;-0.144;0.037;0.003;0.04;0.002;0.194;-0.136;0.167;0.001;0.032;0.009;0.685;-0.2;-0.041;0.001;0.06;0.001;0.779;-0.033;-0.019;0.004;0.098;0.005;0.242;0.006;0.005;0.03;0.004;0.003;0.026;-0.112;-0.058;0.001;0.036;0.001;0.355;-0.309;-0.038;0.001;0.02;0.001;0.201;-0.045;0.127;0.004;0.017;0.046;0.028
5;0.022;0.119;0.069;0.043;0.016;0.054;0.435;0.018;0.228;0.029;0.064;0.276;-0.233;0.06;0.003;0.064;0.001;0.399;-0.309;0.107;0;0.255;0.007;0.4;0.057;0.033;0.003;0.157;0.008;0.55;-0.289;0.063;0.001;0.166;0.008;0.468;-0.361;-0.054;0.001;0.02;0;0.39;-0.23;0.135;0.003;0.087;0.003;0.139;0.145;0.036;0.093;0.001;0.001;0.007;-0.143;-0.025;0.005;0.083;0.001;0.34;-0.266;0.077;0.003;0.09;0.021;0.095;0.001;-0.015;0.93;0.001;0.002;0.013;0.085;0.011;0.331;0.003;0.001;0.064;0.234;0.041;0.045;0.171;0.031;0.198;-0.077;0.035;0.042;0.01;0.004;0.637;0.261;0.006;0.762;0.01;0.002;0.083;-0.248;-0.036;0;0.047;0.06;0.201;0.052;0.036;0.031;0.079;0.002;0.313;-0.267;0.001;0.001;0.296;0.005;0.228;-0.204;0.047;0.005;0.17;0.003;0.321;0.228;0.003;0.009;0.009;0;0.087;0.19;0.001;0.036;0.028;0.001;0.203;-0.187;0.042;0.003;0.046;0.002;0.217;-0.164;0.226;0.002;0.028;0.007;0.815;-0.264;-0.052;0.001;0.062;0.001;0.617;-0.113;-0.024;0.007;0.139;0.006;0.282;0.068;-0.008;0.08;0.002;0.002;0.012;-0.131;-0.055;0.001;0.043;0.001;0.395;-0.324;-0.043;0.001;0.026;0.001;0.239;-0.069;0.031;0.004;0.055;0.003;0.143
6;-0.061;0.095;0.011;0.081;0.028;0.051;0.442;0.011;0.277;0.023;0.072;0.24;-0.209;0.057;0.003;0.063;0.001;0.369;-0.294;0.093;0;0.298;0.011;0.357;-0.185;0.04;0.001;0.131;0.008;0.473;-0.274;-0.012;0.001;0.178;0.003;0.411;-0.357;-0.036;0.001;0.019;0;0.478;-0.23;0.131;0.003;0.08;0.003;0.148;0.105;0.035;0.056;0.001;0;0.008;-0.145;-0.041;0.004;0.271;0.001;0.323;-0.253;0.072;0.004;0.098;0.019;0.09;-0.098;-0.025;0.716;0.012;0.008;0.124;0.081;0.033;0.173;0.008;0.001;0.225;0.243;0.04;0.06;0.179;0.028;0.201;-0.262;0.063;0.078;0.014;0.002;0.501;0.15;0.002;0.14;0.063;0.002;0.394;-0.248;-0.036;0;0.047;0.058;0.2;0.015;0.034;0.023;0.078;0.002;0.267;-0.309;0.051;0.001;0.271;0.008;0.101;-0.191;0.031;0.012;0.123;0.002;0.332;0.144;0.009;0.005;0.022;0.002;0.175;0.163;-0.01;0.015;0.045;0.001;0.276;-0.194;0.03;0.002;0.077;0.003;0.277;-0.137;0.176;0.003;0.022;0.021;0.831;-0.238;-0.043;0.001;0.081;0.001;0.729;-0.221;-0.092;0.01;0.092;0.012;0.203;0.098;-0.014;0.073;0.001;0.003;0.011;-0.168;-0.058;0.001;0.047;0.001;0.379;-0.276;-0.036;0.001;0.034;0.002;0.249;-0.137;0.134;0.002;0.038;0.08;0.062
7;0.065;0.038;0.011;0.243;0.012;0.128;0.392;-0.033;0.054;0.006;0.003;0.715;-0.209;0.066;0.003;0.056;0.001;0.336;-0.258;0.048;0;0.237;0.013;0.358;-0.105;0.026;0.001;0.135;0.008;0.499;-0.337;0.01;0.001;0.116;0.002;0.4;-0.294;-0.021;0.001;0.031;0;0.325;-0.247;0.124;0.002;0.099;0.004;0.199;0.085;0.046;0.052;0.001;0;0.005;-0.055;-0.033;0.003;0.262;0.001;0.302;-0.247;0.067;0.004;0.119;0.02;0.101;-0.061;-0.024;0.796;0.007;0.006;0.08;0.129;0.022;0.621;0.003;0.001;0.08;-0.025;0.065;0.61;0.045;0.062;0.07;-0.179;0.061;0.012;0.041;0.002;0.558;-0.006;0.004;0.048;0.081;0.001;0.408;-0.285;-0.033;0;0.038;0.014;0.538;0.003;0.035;0.026;0.099;0.002;0.24;-0.275;0.153;0.004;0.234;0.001;0.349;-0.238;0.008;0.004;0.135;0.001;0.374;0.112;0.001;0.004;0.019;0;0.163;0.545;0.015;0.955;0;0.002;0.001;-0.177;0.04;0.002;0.055;0.003;0.259;-0.162;0.178;0.003;0.023;0.024;0.828;-0.251;-0.083;0.001;0.089;0.001;0.635;-0.143;-0.025;0.01;0.116;0.008;0.22;-0.025;-0.015;0.086;0.001;0.002;0.011;-0.159;-0.051;0.001;0.043;0.001;0.356;-0.343;-0.022;0.001;0.022;0.001;0.257;-0.043;0.165;0.008;0.027;0.022;0.054
8;0.197;0.062;0.021;0.184;0.047;0.106;0.469;0.01;0.913;0.002;0.006;0.029;-0.234;0.045;0.003;0.082;0.001;0.443;-0.3;0.056;0;0.238;0.008;0.345;-0.108;0.025;0.001;0.136;0.008;0.509;-0.098;0.016;0.016;0.085;0.004;0.33;-0.327;-0.119;0.001;0.014;0;0.501;-0.209;0.135;0.002;0.087;0.004;0.122;0.123;0.046;0.032;0.001;0;0.008;-0.122;-0.029;0.005;0.175;0.001;0.325;-0.238;0.083;0.003;0.109;0.017;0.138;-0.096;-0.019;0.526;0.025;0.012;0.278;0.159;0.018;0.712;0.001;0.001;0.024;0.018;0.063;0.635;0.044;0.063;0.061;-0.124;0.056;0.005;0.051;0.002;0.374;0.019;0.01;0.057;0.073;0.002;0.405;-0.278;-0.006;0;0.036;0.038;0.42;0.074;0.038;0.028;0.162;0.003;0.237;-0.247;0.032;0.002;0.102;0.001;0.188;-0.197;0.056;0.01;0.118;0.002;0.268;0.07;-0.001;0.004;0.018;0.001;0.169;0.512;0.002;0.87;0;0.002;0.005;-0.184;0.012;0.002;0.044;0.001;0.283;-0.159;0.16;0.004;0.026;0.026;0.799;-0.138;0.07;0.001;0.004;0;0.898;-0.207;-0.006;0.003;0.16;0.013;0.325;-0.057;-0.014;0.064;0.002;0.002;0.019;-0.165;-0.034;0.001;0.055;0.001;0.446;-0.344;-0.041;0.001;0.027;0.001;0.228;-0.047;0.172;0.011;0.028;0.027;0.053
9;0.362;0.079;0.351;0.053;0.046;0.031;0.477;0.038;0.975;0;0.002;0.004;-0.232;0.041;0.003;0.073;0.001;0.414;-0.255;0.054;0;0.322;0.014;0.325;-0.107;0.05;0.001;0.119;0.017;0.422;0.334;0.046;0.905;0.002;0.012;0.007;-0.283;-0.027;0.001;0.021;0;0.387;-0.285;0.112;0.001;0.133;0.002;0.23;0.141;0.015;0.019;0.001;0;0.007;-0.167;-0.051;0.005;0.131;0.001;0.343;-0.306;0.101;0.002;0.138;0.01;0.25;-0.075;-0.028;0.622;0.02;0.015;0.235;0.024;0.011;0.168;0.007;0.001;0.273;0.174;0.091;0.319;0.069;0.114;0.1;-0.189;0.027;0.003;0.023;0.001;0.668;0.294;0.042;0.201;0.075;0.003;0.492;-0.281;-0.006;0;0.038;0.041;0.405;-0.042;0.027;0.018;0.16;0.003;0.299;-0.094;0.04;0.004;0.039;0.001;0.245;-0.146;0.04;0.016;0.123;0.003;0.279;0.087;0.003;0.004;0.019;0.001;0.17;0.444;-0.013;0.664;0.001;0.003;0.023;-0.152;0.018;0.002;0.046;0.002;0.221;-0.146;0.151;0.004;0.025;0.029;0.81;-0.288;-0.008;0;0.06;0.001;0.837;-0.12;0.023;0.004;0.136;0.01;0.319;-0.082;-0.024;0.039;0.002;0.002;0.017;-0.103;-0.054;0.001;0.045;0.001;0.403;-0.348;-0.04;0.001;0.012;0;0.277;-0.049;0.141;0.004;0.018;0.059;0.033
