Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.297;0.057;0.018;0.279;0.015;0.112;0.287;0.031;0.037;0.018;0.014;0.205;-0.087;0.032;0.01;0.067;0.002;0.218;-0.239;0.027;0;0.112;0.006;0.323;0;-0.013;0.004;0.063;0.001;0.747;-0.077;-0.021;0.009;0.194;0.005;0.308;-0.415;0.105;0.001;0.037;0;0.405;-0.228;0.123;0.002;0.171;0.003;0.273;-0.12;-0.023;0.001;0.003;0;0.022;-0.015;-0.036;0.012;0.052;0.001;0.531;-0.165;0.067;0.013;0.107;0.01;0.09;0.003;-0.051;0.304;0.025;0.051;0.555;0.267;0.033;0.966;0;0;0.003;0.311;0.026;0.067;0.113;0.03;0.488;-0.017;0.024;0.207;0.008;0.002;0.343;-0.179;-0.006;0.001;0.013;0;0.165;-0.267;-0.006;0.001;0.04;0.028;0.75;0.009;0.061;0.025;0.129;0.003;0.199;-0.003;-0.02;0.009;0.115;0.004;0.204;0.015;0.038;0.024;0.058;0.001;0.198;0.255;-0.011;0.207;0.005;0.001;0.095;0.023;-0.014;0.007;0.085;0.004;0.184;-0.215;-0.008;0.002;0.046;0.001;0.432;-0.165;0.151;0.022;0.028;0.039;0.744;-0.11;-0.018;0.046;0.018;0.001;0.379;;;;;;;0.083;0.033;0.466;0.005;0.002;0.051;-0.095;-0.033;0.002;0.044;0.001;0.416;-0.297;-0.038;0.002;0.038;0.001;0.376;0.062;0.056;0.005;0.04;0.018;0.079
2;0.302;0.063;0.4;0.125;0.008;0.105;0.29;0.029;0.029;0.045;0.023;0.135;-0.031;0.261;0.013;0.006;0.002;0.071;-0.259;0.041;0;0.161;0.002;0.476;-0.059;0.038;0.003;0.055;0.005;0.379;-0.119;-0.019;0.011;0.164;0.009;0.243;-0.413;0.094;0.001;0.039;0;0.383;-0.227;0.151;0.006;0.147;0.003;0.196;-0.045;0.028;0.001;0.004;0;0.032;-0.166;-0.046;0.005;0.056;0.001;0.334;-0.238;0.073;0.007;0.139;0.011;0.098;0.1;0.006;0.906;0.005;0.016;0.041;0.282;0.016;0.932;0;0.001;0.004;0.253;-0.003;0.05;0.136;0.025;0.415;-0.084;0.033;0.076;0.009;0.002;0.28;-0.165;-0.011;0.001;0.013;0;0.162;-0.311;0;0.001;0.042;0.028;0.747;0.052;0.052;0.056;0.035;0.002;0.111;-0.137;0.008;0;0.018;0.001;0.172;-0.125;0.045;0.031;0.15;0.003;0.192;0.12;-0.008;0.004;0.021;0.001;0.32;-0.027;0.009;0.003;0.057;0.002;0.172;-0.126;0.086;0.003;0.084;0.004;0.193;-0.118;0.097;0.036;0.027;0.052;0.719;-0.32;-0.056;0.001;0.014;0;0.369;-0.219;0.033;0.002;0.151;0.004;0.407;0.303;0.042;0.458;0.003;0.002;0.044;;;;;;;-0.295;-0.003;0.003;0.071;0.001;0.303;-0.122;0.089;0.001;0.051;0.094;0.08
3;0.355;0.058;0.201;0.212;0.018;0.19;0.313;0.04;0.016;0.076;0.016;0.109;0.649;0.068;0.861;0;0;0.005;-0.242;0.048;0;0.376;0.003;0.419;-0.098;0.121;0.002;0.014;0.056;0.04;-0.043;-0.001;0.013;0.166;0.012;0.284;-0.396;0.052;0.002;0.035;0.001;0.413;-0.23;0.17;0.007;0.14;0.003;0.202;-0.021;0.01;0.001;0.003;0;0.012;-0.237;-0.027;0.004;0.15;0.001;0.26;-0.217;0.067;0.01;0.228;0.013;0.117;0.117;-0.002;0.941;0.002;0.006;0.03;0.308;0.026;0.955;0;0;0.002;0.227;0.024;0.399;0.041;0.042;0.162;-0.169;0.02;0.007;0.01;0;0.68;-0.184;-0.008;0.001;0.011;0;0.151;-0.322;-0.003;0.001;0.037;0.046;0.661;0.097;0.031;0.051;0.052;0.002;0.213;-0.233;0.11;0.001;0.382;0.022;0.17;0.008;0.075;0.046;0.145;0.003;0.175;0.095;-0.058;0.005;0.01;0;0.303;-0.197;-0.027;0.001;0.023;0.002;0.668;-0.178;-0.002;0.002;0.057;0.001;0.436;-0.124;0.2;0.008;0.025;0.029;0.815;-0.385;-0.065;0;0.164;0.002;0.426;-0.255;-0.019;0.003;0.21;0.008;0.403;0.154;0.017;0.211;0.005;0.008;0.09;;;;;;;-0.282;-0.057;0.002;0.014;0;0.231;-0.011;0.088;0.002;0.042;0.098;0.075
4;0.068;0.072;0;0.092;0.012;0.044;0.415;0.035;0.107;0.039;0.036;0.162;0.67;0.075;0.956;0;0;0;-0.224;0.049;0;0.372;0.004;0.427;-0.234;0.125;0.005;0.105;0.005;0.171;-0.193;0.017;0.018;0.097;0.008;0.266;-0.423;0.076;0.002;0.037;0;0.474;-0.19;0.16;0.004;0.213;0.005;0.184;-0.07;-0.002;0.001;0.003;0;0.016;-0.204;-0.07;0.005;0.148;0.001;0.396;-0.238;0.074;0.005;0.188;0.012;0.099;-0.029;0.057;0.901;0.004;0.016;0.055;0.342;0.031;0.972;0;0;0.001;0.139;0.016;0.344;0.042;0.034;0.171;-0.133;0.041;0.015;0.012;0.002;0.299;-0.185;-0.01;0.001;0.011;0;0.152;-0.355;-0.031;0.001;0.049;0.133;0.502;0.088;0.052;0.03;0.087;0.002;0.277;-0.019;-0.027;0.006;0.081;0.001;0.454;0.043;0.053;0.055;0.067;0.003;0.165;0.007;-0.015;0.004;0.024;0.001;0.264;0.235;0.013;0.72;0.002;0.002;0.037;-0.126;0.046;0.003;0.105;0.007;0.245;-0.106;0.282;0.005;0.013;0.016;0.907;-0.252;-0.057;0.001;0.07;0;0.542;-0.187;0.03;0.005;0.214;0.012;0.249;0.152;0.017;0.212;0.005;0.008;0.089;-0.123;-0.034;0.001;0.04;0.001;0.323;-0.128;-0.047;0.024;0.019;0.001;0.134;-0.07;0.098;0.002;0.044;0.095;0.085
5;0.221;0.054;0.002;0.256;0.013;0.057;0.35;0.043;0.029;0.044;0.037;0.105;0.626;0.081;0.903;0;0;0.003;-0.214;0.069;0;0.181;0.016;0.323;-0.109;0.044;0.004;0.167;0.005;0.504;-0.168;0;0.031;0.075;0.005;0.227;-0.391;0.076;0.002;0.04;0.001;0.378;-0.169;0.198;0.005;0.157;0.006;0.138;-0.063;0.024;0.001;0.003;0;0.019;0.106;0.021;0.088;0.012;0.002;0.221;-0.276;0.086;0.003;0.138;0.012;0.092;-0.122;-0.005;0.387;0.036;0.014;0.36;0.088;-0.002;0.772;0.002;0.002;0.135;0.143;0.04;0.337;0.043;0.04;0.19;-0.155;0.036;0.011;0.014;0.002;0.279;-0.185;-0.011;0.001;0.011;0;0.153;-0.355;-0.029;0.001;0.049;0.135;0.501;-0.039;0.029;0.031;0.135;0.003;0.323;0.587;0.061;0.945;0;0.001;0;-0.024;0.027;0.009;0.065;0.002;0.125;-0.019;-0.044;0.002;0.025;0.001;0.243;0.523;0.049;0.893;0.001;0.004;0.004;-0.006;-0.017;0.875;0;0.001;0.005;-0.04;0.145;0.008;0.012;0.019;0.906;0.433;-0.04;0.97;0;0.001;0.003;-0.252;0.071;0.002;0.23;0.011;0.199;-0.051;-0.022;0.018;0.004;0.002;0.061;-0.101;-0.033;0.001;0.029;0.001;0.378;-0.064;-0.047;0.044;0.027;0.003;0.095;-0.155;0.091;0.006;0.126;0.04;0.154
6;0.131;0.055;0.001;0.392;0.014;0.07;0.346;0.039;0.074;0.055;0.093;0.135;0.669;0.111;0.935;0;0;0.001;-0.146;0.034;0;0.197;0.011;0.36;-0.142;0.105;0.003;0.047;0.025;0.073;-0.094;0.035;0.117;0.056;0.009;0.182;-0.363;0.074;0.002;0.051;0.001;0.463;-0.216;0.216;0.004;0.171;0.005;0.117;0.069;0.022;0.003;0.001;0;0.008;-0.2;0.006;0.006;0.067;0.001;0.323;-0.263;0.087;0.006;0.145;0.016;0.09;-0.159;-0.02;0.143;0.078;0.017;0.396;-0.008;0.025;0.038;0.009;0.001;0.689;0.187;0.019;0.567;0.029;0.013;0.085;-0.126;0.042;0.014;0.012;0.003;0.207;-0.184;-0.01;0.001;0.011;0;0.153;-0.377;0.007;0;0.12;0.186;0.312;0.15;0.032;0.079;0.047;0.002;0.391;0.498;0.003;0.942;0.001;0.002;0.005;-0.043;0.053;0.024;0.046;0.002;0.094;0.007;-0.015;0.002;0.02;0;0.229;0.536;0.054;0.897;0.001;0.007;0.003;0.08;-0.001;0.331;0.017;0.013;0.099;-0.012;0.143;0.007;0.018;0.018;0.847;0.678;0.038;0.994;0;0;0;-0.164;0.053;0.007;0.187;0.015;0.412;-0.194;-0.007;0.003;0.023;0.001;0.887;-0.061;-0.025;0.001;0.027;0.003;0.214;0.044;-0.03;0.154;0.008;0.003;0.047;-0.018;0.077;0.004;0.094;0.042;0.102
7;0.139;0.062;0.001;0.389;0.013;0.093;0.364;0.044;0.053;0.056;0.04;0.136;;;;;;;-0.209;0.037;0;0.19;0.006;0.325;-0.165;0.114;0.002;0.036;0.048;0.063;-0.268;0.049;0.008;0.102;0.014;0.242;-0.364;0.049;0.004;0.031;0;0.386;-0.216;0.252;0.004;0.209;0.005;0.157;0.331;0.017;0.132;0.002;0.001;0.027;-0.087;0.013;0.008;0.115;0.001;0.33;-0.233;0.077;0.004;0.182;0.014;0.113;-0.209;-0.002;0.261;0.082;0.023;0.337;0.201;0.063;0.301;0.007;0.002;0.333;0.214;0.036;0.147;0.066;0.058;0.265;-0.148;0.049;0.007;0.019;0.002;0.324;-0.09;0.056;0.112;0.024;0.002;0.265;-0.351;-0.061;0;0.061;0.106;0.478;0.201;0.057;0.096;0.02;0.002;0.109;0.137;0.009;0.004;0.225;0.002;0.531;0.087;0.039;0.062;0.074;0.003;0.134;-0.028;-0.017;0.001;0.022;0.001;0.267;0.141;0.022;0.162;0.028;0.008;0.145;-0.002;-0.031;0.369;0.014;0.009;0.17;0.068;0.056;0.015;0.022;0.028;0.778;0.485;-0.006;0.966;0;0.001;0.001;-0.183;0.063;0.002;0.169;0.007;0.512;0.178;0.013;0.543;0.002;0.004;0.023;-0.109;-0.036;0.001;0.029;0.001;0.373;0.049;-0.03;0.154;0.008;0.003;0.047;-0.04;0.095;0.004;0.08;0.017;0.109
8;0.043;0.058;0.001;0.592;0.006;0.11;0.305;0.042;0.03;0.049;0.025;0.135;0.305;0.067;0.642;0.002;0.002;0.029;-0.139;0.051;0;0.225;0.001;0.441;-0.112;0.086;0.003;0.031;0.034;0.076;-0.118;0.015;0.08;0.102;0.014;0.284;-0.377;0.044;0.003;0.029;0.001;0.404;-0.209;0.165;0.003;0.207;0.005;0.212;0.496;0.038;0.293;0.001;0.001;0.019;-0.114;0.014;0.008;0.113;0.001;0.317;-0.259;0.074;0.009;0.153;0.013;0.092;-0.222;-0.049;0.078;0.05;0.023;0.727;0.104;0.031;0.359;0.006;0.002;0.404;0.208;0.023;0.476;0.049;0.055;0.171;-0.163;0.026;0.002;0.015;0.001;0.612;-0.09;0.052;0.076;0.027;0.001;0.28;-0.351;-0.06;0;0.06;0.11;0.472;0.237;0.055;0.079;0.03;0.002;0.147;0.371;0.046;0.096;0.072;0.002;0.301;-0.029;0.045;0.029;0.109;0.003;0.166;-0.011;-0.017;0.001;0.015;0;0.238;-0.183;-0.058;0.057;0.063;0.004;0.548;-0.152;-0.036;0.069;0.025;0.006;0.214;0.008;0.045;0.007;0.014;0.012;0.885;0.513;-0.003;0.976;0;0.001;0.001;-0.136;0.041;0.034;0.037;0.011;0.179;0.084;-0.015;0.403;0.003;0.003;0.028;-0.042;-0.09;0.003;0.021;0.001;0.504;-0.189;-0.086;0.01;0.026;0.001;0.18;-0.017;0.089;0.002;0.053;0.046;0.071
9;0.046;0.057;0;0.702;0.005;0.07;0.318;0.045;0.043;0.101;0.04;0.122;0.223;0.129;0.277;0.007;0.004;0.482;-0.063;0.063;0.001;0.176;0.003;0.537;-0.139;0.113;0.002;0.025;0.024;0.073;-0.129;0.017;0.038;0.13;0.005;0.333;-0.382;0.049;0.003;0.037;0.001;0.344;-0.218;0.162;0.002;0.224;0.006;0.211;0.468;0.043;0.434;0.001;0.001;0.01;-0.136;0.011;0.007;0.132;0.001;0.338;-0.266;0.078;0.005;0.131;0.014;0.094;-0.148;-0.015;0.412;0.049;0.029;0.253;0.279;0.052;0.935;0.001;0.001;0.021;0.205;0.024;0.5;0.047;0.051;0.16;0.228;0.029;0.649;0.003;0.002;0.082;-0.101;0.049;0.122;0.026;0.001;0.279;-0.393;0.001;0;0.124;0.078;0.46;0.251;0.053;0.053;0.065;0.002;0.253;0.446;0.062;0.765;0.006;0.002;0.029;-0.089;0.038;0.026;0.121;0.003;0.198;0;-0.011;0.002;0.019;0.001;0.223;0.168;0.002;0.237;0.05;0.018;0.237;-0.132;0.004;0.03;0.036;0.005;0.293;0.065;0.047;0.012;0.017;0.02;0.824;0.526;0.012;0.962;0;0.001;0.002;-0.244;0.116;0.008;0.113;0.007;0.403;-0.058;-0.019;0.151;0.008;0.004;0.15;;;;;;;-0.232;-0.054;0.004;0.029;0.001;0.225;-0.036;0.1;0.003;0.085;0.045;0.09
