Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.051;0.162;0.012;0.167;0.003;0.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;0.365;0.061;0.896;0;0.001;0.007;;;;;;;-0.268;0.049;0;0.167;0.01;0.328;-0.228;-0.046;0.002;0.164;0.011;0.57;-0.186;0.039;0.002;0.11;0.009;0.388;-0.413;0.023;0.001;0.034;0;0.363;-0.252;0.161;0.003;0.064;0.002;0.087;0.071;0.011;0.007;0.004;0;0.05;-0.165;-0.035;0.003;0.127;0.001;0.469;-0.215;0.067;0.027;0.099;0.014;0.119;-0.164;-0.058;0.012;0.061;0.006;0.834;0.092;0.015;0.748;0.002;0.002;0.073;-0.104;0.095;0.044;0.073;0.305;0.143;-0.22;0.02;0.524;0.007;0.003;0.211;-0.159;-0.017;0.001;0.035;0;0.363;-0.275;-0.042;0.001;0.049;0.01;0.572;-0.237;-0.287;0.003;0.033;0;0.432;-0.214;0.075;0.006;0.035;0;0.383;0.069;0.195;0.144;0.313;0.002;0.097;-0.041;0.005;0.001;0.023;0.002;0.272;-0.168;-0.061;0.002;0.069;0;0.348;-0.004;0.034;0.01;0.019;0.188;0.096;0.414;0.071;0.972;0;0.002;0.002;-0.234;-0.012;0.001;0.038;0.001;0.751;-0.209;0.079;0.002;0.14;0.007;0.298;;;;;;;-0.148;-0.03;0.002;0.061;0.002;0.274;-0.173;-0.084;0.007;0.025;0.001;0.303;0.005;0.225;0.009;0.019;0.023;0.036
2;0.324;0.042;0.017;0.159;0.099;0.036;0.2;0.039;0.126;0.033;0.012;0.391;;;;;;;-0.21;0.044;0;0.232;0.014;0.235;-0.136;0.126;0.003;0.101;0.04;0.35;-0.207;0.027;0.004;0.1;0.004;0.366;-0.462;0.009;0.001;0.019;0;0.504;-0.242;0.196;0.004;0.083;0.004;0.109;-0.061;-0.129;0.009;0.009;0;0.294;-0.17;-0.022;0.002;0.139;0.001;0.48;-0.208;0.073;0.015;0.089;0.017;0.096;-0.207;-0.054;0.009;0.09;0.002;0.731;0.413;-0.002;0.98;0;0;0;0.066;0.08;0.083;0.087;0.222;0.143;-0.086;0.05;0.332;0.011;0.002;0.252;-0.161;-0.015;0.001;0.033;0;0.362;-0.266;-0.037;0;0.029;0.008;0.669;-0.183;-0.049;0.013;0.079;0.002;0.325;-0.222;0.062;0.01;0.077;0.001;0.304;0.065;0.138;0.069;0.36;0.002;0.116;-0.034;-0.003;0.001;0.026;0.001;0.332;-0.168;-0.061;0.002;0.069;0;0.348;-0.141;0.079;0.004;0.051;0.031;0.269;0.476;0.073;0.982;0;0.002;0;-0.375;-0.098;0;0.116;0.001;0.652;-0.246;0.068;0.003;0.131;0.008;0.294;;;;;;;-0.186;-0.035;0.002;0.061;0.001;0.274;-0.225;-0.108;0.004;0.016;0.001;0.457;0.003;0.228;0.009;0.018;0.023;0.036
3;0.234;0.077;0.728;0.005;0.154;0.003;0.316;0.04;0.198;0.032;0.033;0.384;-0.093;0.092;0.011;0.022;0.001;0.177;-0.169;0.036;0;0.275;0.005;0.335;-0.048;0.023;0.002;0.16;0.012;0.485;-0.207;0.039;0.004;0.146;0.008;0.427;-0.392;0.028;0.001;0.036;0;0.352;-0.251;0.158;0.001;0.073;0.001;0.123;-0.047;0.026;0.002;0.004;0;0.043;-0.195;-0.021;0.003;0.106;0.001;0.421;-0.185;0.081;0.016;0.093;0.014;0.1;-0.171;-0.031;0.02;0.077;0.014;0.785;0.264;-0.029;0.954;0;0.001;0.005;0.086;0.017;0.015;0.214;0.054;0.326;-0.203;0.07;0.219;0.011;0.002;0.147;-0.161;-0.015;0.001;0.032;0;0.362;-0.248;-0.01;0;0.092;0.035;0.348;-0.123;0.008;0.007;0.304;0.002;0.24;-0.216;0.051;0.043;0.093;0.005;0.378;-0.139;-0.068;0.008;0.007;0.001;0.027;-0.05;-0.013;0.001;0.024;0.002;0.392;-0.166;-0.052;0.002;0.067;0;0.351;-0.138;0.037;0.004;0.042;0.019;0.253;0.181;0.068;0.281;0.01;0.032;0.178;-0.191;-0.074;0.001;0.024;0;0.794;-0.194;0.04;0.004;0.099;0.009;0.284;-0.094;-0.007;0.014;0.074;0.002;0.235;-0.272;-0.269;0.005;0.017;0.001;0.55;-0.224;-0.093;0.003;0.016;0.001;0.45;-0.07;0.093;0.003;0.014;0.014;0.038
4;0.255;-0.005;0.292;0.053;0.046;0.049;-0.045;0.019;0.032;0.085;0.003;0.352;-0.159;0.059;0.01;0.033;0.001;0.275;-0.223;0.06;0.001;0.147;0.014;0.312;0.093;0.038;0.006;0.189;0.012;0.502;-0.235;0.036;0.003;0.204;0.012;0.39;-0.36;0.029;0.001;0.031;0;0.372;-0.235;0.191;0.001;0.077;0.002;0.103;-0.053;0.01;0.005;0.004;0;0.069;-0.192;-0.007;0.004;0.11;0.001;0.435;-0.27;0.066;0.007;0.17;0.007;0.163;-0.184;-0.042;0.005;0.092;0.003;0.77;0.154;-0.011;0.959;0;0.001;0.004;0.115;0.036;0.263;0.18;0.227;0.095;0.065;0.066;0.011;0.032;0.016;0.046;-0.163;-0.015;0.001;0.032;0;0.36;-0.279;-0.046;0;0.044;0.016;0.341;-0.085;0.021;0.01;0.286;0.003;0.205;-0.21;0.079;0.003;0.03;0.001;0.369;-0.159;0.003;0.015;0.046;0.002;0.097;-0.045;-0.014;0.001;0.027;0.003;0.355;-0.142;-0.047;0.003;0.099;0.001;0.337;-0.107;0.045;0.004;0.038;0.021;0.329;0.321;0.138;0.718;0.003;0.136;0.026;-0.234;-0.064;0.001;0.034;0;0.795;-0.195;0.043;0.004;0.101;0.01;0.282;-0.131;-0.003;0.01;0.059;0.002;0.204;-0.167;-0.017;0.001;0.095;0.002;0.266;-0.323;-0.091;0.002;0.017;0;0.493;-0.071;0.089;0.003;0.014;0.014;0.038
5;0.042;0.09;0.01;0.084;0.14;0.05;0.396;0.043;0.971;0;0.002;0.003;-0.169;0.08;0.006;0.04;0.001;0.267;-0.224;0.073;0.002;0.068;0.005;0.219;-0.056;0.016;0.003;0.238;0.01;0.511;-0.266;0.023;0.002;0.211;0.013;0.406;-0.316;-0.003;0.001;0.023;0;0.439;-0.29;0.193;0.003;0.099;0.002;0.122;-0.029;0.042;0.002;0.004;0;0.055;-0.186;-0.02;0.004;0.186;0.001;0.376;-0.19;0.102;0.008;0.152;0.012;0.16;-0.145;-0.01;0.013;0.097;0.005;0.625;0.164;-0.006;0.165;0.006;0.001;0.128;0.197;0.044;0.305;0.183;0.248;0.069;-0.301;0.05;0.048;0.021;0.002;0.513;-0.165;-0.015;0.001;0.032;0;0.361;-0.299;-0.054;0;0.029;0.006;0.419;-0.128;0.007;0.014;0.32;0.003;0.194;0.156;-0.025;0.225;0.018;0.002;0.345;-0.188;-0.005;0.005;0.022;0;0.323;-0.036;-0.005;0.001;0.029;0.001;0.334;0.626;0.007;0.962;0;0.001;0;-0.116;-0.013;0.003;0.047;0.001;0.35;0.209;0.078;0.421;0.009;0.216;0.147;-0.259;-0.084;0.001;0.049;0.001;0.743;-0.194;0.044;0.004;0.101;0.01;0.274;-0.156;0.006;0.007;0.08;0.002;0.326;-0.167;-0.019;0.001;0.088;0.001;0.272;-0.286;-0.036;0.001;0.061;0.002;0.332;-0.094;0.176;0.005;0.009;0.012;0.043
6;-0.139;0.234;0.002;0.029;0.305;0.008;0.389;-0.025;0.944;0.001;0.004;0.018;-0.122;0.093;0.008;0.026;0.001;0.261;-0.178;0.036;0;0.125;0.002;0.265;-0.125;0.023;0.005;0.179;0.035;0.197;-0.24;0.019;0.002;0.216;0.02;0.37;-0.332;0.012;0.001;0.03;0;0.395;-0.235;0.181;0.003;0.135;0.002;0.113;-0.066;0.032;0.002;0.003;0;0.04;-0.211;-0.001;0.003;0.205;0.001;0.406;-0.17;0.114;0.009;0.15;0.012;0.203;-0.149;-0.027;0.003;0.081;0.002;0.814;0.113;-0.022;0.583;0.003;0.002;0.095;0.195;0.039;0.067;0.257;0.153;0.117;-0.016;0.027;0.028;0.009;0.002;0.35;-0.165;-0.015;0.001;0.032;0;0.36;-0.011;-0.047;0.065;0.024;0.012;0.244;-0.048;0.026;0.017;0.205;0.002;0.184;0.353;0.06;0.687;0.012;0.004;0.143;-0.219;-0.015;0.008;0.023;0.001;0.232;-0.053;-0.001;0.001;0.028;0.003;0.382;0.547;0.002;0.766;0;0.002;0.006;-0.088;0.026;0.004;0.032;0.003;0.114;0.081;0.067;0.365;0.012;0.089;0.184;-0.247;-0.059;0.001;0.034;0.001;0.828;-0.252;0.008;0;0.231;0.004;0.605;-0.126;0.004;0.009;0.069;0.002;0.368;-0.17;-0.023;0.001;0.112;0.002;0.3;-0.299;-0.052;0.001;0.022;0.001;0.516;-0.096;0.177;0.005;0.009;0.012;0.042
7;-0.134;0.211;0.004;0.324;0.14;0.035;0.494;0.042;0.938;0.001;0.004;0.009;-0.16;0.025;0.015;0.024;0.001;0.275;-0.251;0.031;0;0.199;0.005;0.399;-0.115;0.046;0.003;0.214;0.023;0.341;-0.264;0.041;0.002;0.158;0.01;0.527;-0.339;0.029;0.001;0.028;0;0.348;-0.261;0.203;0.003;0.074;0.003;0.076;-0.033;0.063;0.003;0.003;0;0.034;-0.2;0.002;0.003;0.208;0.001;0.415;-0.167;0.103;0.01;0.16;0.01;0.221;-0.141;-0.022;0.038;0.07;0.004;0.669;0.178;-0.008;0.7;0.001;0.002;0.033;0.179;0.022;0.021;0.259;0.158;0.254;-0.218;0.054;0.055;0.012;0.003;0.366;-0.12;0.043;0.002;0.111;0.001;0.243;0.012;-0.019;0.039;0.024;0.011;0.2;-0.058;0.013;0.012;0.259;0.003;0.223;0.005;-0.001;0.066;0.089;0.001;0.311;-0.169;0.021;0.011;0.033;0.001;0.235;-0.05;-0.003;0.001;0.029;0.004;0.319;0.612;-0.005;0.894;0;0.002;0.002;-0.083;0.035;0.003;0.05;0.002;0.2;0.264;0.08;0.479;0.008;0.184;0.154;-0.202;-0.038;0.001;0.062;0.001;0.618;-0.149;0.038;0.002;0.177;0.019;0.313;-0.113;-0.01;0.011;0.07;0.002;0.232;-0.224;-0.024;0.001;0.082;0.001;0.295;-0.283;-0.048;0.001;0.067;0.002;0.343;-0.083;0.15;0.003;0.005;0.008;0.036
8;-0.305;0.085;0.003;0.002;0.059;0.007;0.522;0.042;0.876;0.002;0.023;0.018;-0.167;0.044;0.01;0.063;0.001;0.356;-0.338;0.103;0;0.225;0.008;0.403;-0.068;0.038;0.002;0.21;0.02;0.387;-0.22;0.039;0.002;0.156;0.02;0.429;-0.39;0.037;0.001;0.036;0;0.39;-0.258;0.226;0.003;0.07;0.003;0.059;-0.054;0.035;0.002;0.004;0;0.047;-0.228;-0.02;0.003;0.234;0.001;0.469;-0.166;0.117;0.008;0.185;0.011;0.222;-0.181;-0.031;0.016;0.108;0.005;0.736;0.197;0.008;0.558;0.002;0.002;0.039;0.129;0.022;0.007;0.24;0.039;0.311;-0.206;0.057;0.031;0.028;0.002;0.456;-0.114;0.038;0.002;0.113;0.001;0.243;0.023;-0.041;0.013;0.037;0.007;0.334;-0.055;0.002;0.013;0.23;0.003;0.237;0.321;0.021;0.945;0.001;0.002;0.011;-0.136;0.016;0.016;0.037;0.001;0.188;-0.057;-0.008;0.001;0.029;0.004;0.453;0.609;-0.015;0.943;0;0.001;0.001;-0.094;0.06;0.003;0.081;0.004;0.228;0.107;0.076;0.247;0.007;0.304;0.161;-0.21;-0.025;0.001;0.062;0.001;0.593;-0.231;0.049;0.001;0.153;0.013;0.387;-0.14;-0.007;0.009;0.077;0.002;0.276;-0.128;0.001;0.001;0.04;0.002;0.242;-0.302;-0.045;0.001;0.056;0.002;0.336;-0.083;0.139;0.002;0.006;0.006;0.043
9;0.04;0.055;0.014;0.127;0.01;0.198;0.488;0.042;0.579;0.01;0.131;0.055;-0.169;0.064;0.016;0.027;0.001;0.269;-0.302;0.069;0.001;0.215;0.012;0.381;0.065;0.023;0.002;0.26;0.017;0.431;-0.272;0.045;0.002;0.168;0.028;0.433;-0.348;0.037;0.001;0.029;0;0.385;-0.269;0.21;0.003;0.048;0.002;0.049;-0.063;0.043;0.002;0.003;0;0.043;-0.253;-0.016;0.003;0.24;0.001;0.414;-0.163;0.132;0.007;0.168;0.01;0.237;-0.174;-0.014;0.003;0.115;0.003;0.765;0.125;0.007;0.684;0.002;0.002;0.033;0.15;0.023;0.007;0.348;0.036;0.29;-0.166;0.087;0.064;0.019;0.004;0.268;-0.172;0.036;0.002;0.13;0;0.354;0.024;-0.041;0.013;0.037;0.008;0.332;0.012;0.041;0.019;0.175;0.002;0.198;-0.145;-0.017;0.824;0.004;0.002;0.059;-0.271;-0.092;0.013;0.02;0;0.452;-0.067;-0.005;0.001;0.03;0.002;0.373;0.493;-0.031;0.578;0.003;0.002;0.023;-0.12;0.077;0.004;0.063;0.009;0.299;0.126;0.139;0.178;0.004;0.296;0.161;-0.276;-0.055;0.001;0.039;0;0.743;-0.15;0.054;0.001;0.142;0.013;0.338;-0.139;-0.012;0.007;0.079;0.001;0.306;-0.136;-0.011;0.001;0.049;0.001;0.287;-0.208;-0.037;0.001;0.026;0.001;0.199;-0.089;0.153;0.003;0.005;0.006;0.036
