Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.36;0.064;0.048;0.199;0.028;0.073;0.395;-0.014;0.128;0.009;0.003;0.539;-0.198;0.037;0.003;0.041;0.002;0.202;-0.142;0.04;0.001;0.106;0.009;0.163;-0.18;0.02;0.001;0.08;0.04;0.194;-0.215;0.021;0.001;0.126;0.003;0.531;-0.44;0.16;0.002;0.03;0;0.463;-0.19;0.134;0.003;0.107;0.003;0.151;-0.049;-0.018;0.004;0.008;0;0.118;-0.102;-0.006;0.019;0.147;0.003;0.268;-0.295;0.032;0.002;0.118;0.007;0.317;-0.195;-0.047;0.095;0.043;0.012;0.702;0.086;0.047;0.004;0.018;0;0.171;0.321;0.043;0.938;0.002;0.002;0.007;-0.147;0.01;0.005;0.006;0.001;0.747;-0.081;-0.018;0.008;0.062;0;0.392;-0.264;-0.016;0.001;0.034;0.026;0.611;0.118;0.047;0.081;0.091;0.002;0.195;-0.127;0.003;0.003;0.063;0.001;0.341;0.241;0.04;0.105;0.015;0.002;0.063;0.22;0.037;0.002;0.013;0.004;0.096;0.412;-0.022;0.532;0.009;0.003;0.099;-0.132;0.007;0.003;0.031;0.002;0.169;-0.161;-0.097;0.002;0.009;0.003;0.924;-0.182;-0.022;0.01;0.139;0.001;0.348;-0.275;0.058;0.002;0.093;0.005;0.3;0.494;0.079;0.685;0;0.001;0.015;-0.033;-0.017;0.003;0.021;0.001;0.211;-0.284;-0.016;0.002;0.105;0.003;0.352;-0.087;0.051;0.009;0.026;0.026;0.056
2;0.392;0.056;0.022;0.219;0.059;0.064;0.301;0.014;0.016;0.028;0.002;0.408;-0.186;0.065;0.003;0.055;0.002;0.193;-0.129;0.028;0.001;0.096;0.005;0.17;-0.191;-0.008;0.001;0.1;0.019;0.37;-0.249;0.033;0.001;0.149;0.002;0.514;-0.435;0.229;0.002;0.021;0;0.462;-0.274;0.208;0.002;0.091;0.002;0.098;0.061;0.011;0.003;0.005;0;0.051;-0.156;0.112;0.008;0.186;0.029;0.564;-0.25;0.054;0.003;0.129;0.007;0.207;-0.222;-0.038;0.028;0.067;0.006;0.761;0.233;0.037;0.436;0.002;0.001;0.027;0.24;0.03;0.226;0.116;0.029;0.18;-0.141;0.005;0.006;0.007;0;0.745;-0.008;-0.011;0.013;0.065;0.001;0.379;-0.317;-0.019;0.001;0.039;0.016;0.672;0.051;0.05;0.136;0.087;0.003;0.137;-0.242;0.035;0.001;0.103;0;0.464;0.221;0.054;0.051;0.05;0.002;0.203;0.233;0.021;0.065;0.01;0.002;0.064;0.484;-0.002;0.803;0.001;0.002;0.02;-0.188;-0.009;0.002;0.043;0.001;0.205;-0.063;0.001;0.01;0.056;0.035;0.717;-0.137;-0.034;0.005;0.027;0.001;0.699;-0.271;0.032;0.002;0.068;0.003;0.319;0.488;0.082;0.679;0;0.001;0.009;-0.123;-0.031;0.002;0.046;0.001;0.36;-0.327;-0.108;0.001;0.034;0;0.459;-0.109;0.091;0.01;0.033;0.004;0.142
3;0.249;0.043;0.016;0.151;0.017;0.064;0.338;0.013;0.086;0.039;0.012;0.241;-0.185;0.043;0.003;0.04;0.001;0.156;-0.168;0.038;0.001;0.205;0.009;0.312;-0.127;-0.002;0.002;0.092;0.026;0.358;-0.29;0.037;0.002;0.142;0.009;0.389;-0.519;0.195;0.001;0.032;0.001;0.528;-0.188;0.141;0.004;0.074;0.001;0.079;0.02;-0.013;0.004;0.004;0;0.045;-0.288;0.202;0.01;0.333;0.05;0.364;-0.199;0.035;0.005;0.119;0.007;0.302;-0.1;-0.017;0.714;0.017;0.007;0.153;0.127;0.031;0.015;0.01;0;0.103;0.137;0.032;0.034;0.222;0.031;0.293;-0.178;0.027;0.006;0.013;0.001;0.63;-0.032;-0.022;0.006;0.083;0;0.453;-0.302;-0.005;0.002;0.038;0.056;0.557;-0.24;0.103;0.021;0.097;0.002;0.154;-0.282;-0.05;0.001;0.289;0.004;0.274;-0.022;0.017;0.201;0.04;0.003;0.247;0.361;0.036;0.189;0.005;0.002;0.046;0.45;-0.013;0.781;0.002;0.002;0.025;-0.202;0.008;0.003;0.045;0.003;0.225;-0.045;-0.024;0.044;0.058;0.06;0.558;-0.171;-0.039;0.007;0.023;0;0.478;-0.197;0.082;0.002;0.149;0.005;0.375;0.479;0.065;0.744;0;0.001;0.007;-0.121;-0.073;0.003;0.055;0.001;0.367;-0.328;-0.071;0.001;0.018;0;0.342;-0.094;0.089;0.009;0.039;0.048;0.052
4;0.305;0.07;0.011;0.088;0.01;0.079;0.281;0.011;0.046;0.031;0.002;0.258;-0.185;0.079;0.003;0.055;0.002;0.182;;;;;;;-0.096;-0.039;0.001;0.095;0.005;0.656;-0.323;0.04;0.003;0.154;0.012;0.333;-0.518;0.179;0.002;0.052;0.001;0.488;-0.256;0.191;0.003;0.083;0.001;0.176;-0.132;-0.002;0.004;0.008;0;0.093;-0.19;0.012;0.005;0.13;0.001;0.379;-0.223;0.045;0.004;0.108;0.006;0.306;-0.084;-0.043;0.85;0.006;0.006;0.08;0.164;0.039;0.012;0.01;0;0.086;0.015;0.033;0.015;0.222;0.044;0.311;-0.267;-0.022;0.001;0.01;0;0.515;0.003;0.022;0.007;0.031;0.001;0.499;-0.311;-0.014;0;0.058;0.049;0.432;0.012;-0.118;0.01;0.084;0.001;0.515;-0.127;-0.055;0.003;0.153;0.004;0.211;0.221;0.055;0.106;0.023;0.002;0.104;0.291;0.034;0.046;0.011;0.001;0.093;0.481;-0.02;0.85;0.001;0.001;0.007;-0.195;0.005;0.002;0.052;0.002;0.213;-0.107;-0.089;0.025;0.028;0.012;0.773;-0.262;-0.059;0.002;0.061;0;0.467;-0.156;0.093;0.002;0.119;0.009;0.243;0.403;0.035;0.663;0.001;0.002;0.019;-0.105;-0.07;0.001;0.035;0.001;0.363;-0.293;-0.102;0.001;0.025;0;0.412;-0.092;0.072;0.009;0.034;0.043;0.049
5;0.037;0.057;0.004;0.38;0.011;0.074;0.304;-0.004;0.07;0.016;0.008;0.189;-0.213;0.055;0.003;0.056;0.001;0.259;-0.178;0.044;0;0.124;0.003;0.228;-0.08;0.003;0.001;0.125;0.008;0.571;0.635;0.074;0.986;0;0;0;-0.496;0.181;0.001;0.028;0;0.486;-0.268;0.214;0.002;0.089;0.001;0.118;-0.14;0.004;0.005;0.006;0;0.078;-0.275;0.158;0.005;0.193;0.004;0.381;-0.24;0.054;0.003;0.134;0.006;0.343;-0.119;-0.043;0.537;0.024;0.011;0.305;-0.021;0.082;0.007;0.01;0;0.066;-0.001;0.04;0.019;0.176;0.055;0.228;-0.303;0.019;0.002;0.01;0;0.725;-0.04;0.092;0.012;0.061;0.001;0.268;-0.232;-0.024;0.001;0.046;0.024;0.602;-0.093;0.022;0.013;0.109;0.002;0.237;-0.147;0.07;0.004;0.158;0.007;0.353;0.135;0.047;0.065;0.032;0.002;0.123;0.265;0.035;0.013;0.012;0.001;0.122;0.485;-0.019;0.85;0.001;0.001;0.007;-0.227;0.009;0.002;0.054;0.002;0.241;-0.006;-0.017;0.063;0.064;0.05;0.543;-0.202;-0.033;0.002;0.068;0.001;0.413;-0.122;0.075;0.002;0.149;0.021;0.233;0.422;0.022;0.754;0.001;0.001;0.015;-0.074;-0.007;0.002;0.047;0.002;0.261;-0.24;-0.031;0.001;0.022;0.001;0.218;-0.057;0.052;0.011;0.032;0.022;0.074
6;0.135;0.061;0.01;0.201;0.018;0.098;0.358;0.014;0.023;0.031;0.005;0.368;-0.192;0.038;0.003;0.056;0.001;0.233;-0.206;0.057;0.001;0.109;0.01;0.268;-0.15;0.009;0.001;0.16;0.007;0.555;0.703;0.068;0.983;0;0;0;-0.517;0.214;0.001;0.043;0;0.502;-0.252;0.187;0.001;0.127;0.002;0.161;-0.268;-0.001;0.01;0.018;0;0.452;-0.316;0.16;0.003;0.191;0.008;0.359;-0.265;0.045;0.003;0.139;0.007;0.309;-0.127;-0.052;0.822;0.008;0.008;0.098;-0.117;0.05;0;0.029;0;0.363;0.085;0.045;0.021;0.237;0.09;0.35;-0.372;-0.125;0.001;0.008;0;0.593;-0.065;-0.009;0.007;0.043;0.001;0.398;-0.17;-0.008;0.001;0.057;0.027;0.572;-0.077;-0.077;0.007;0.116;0.002;0.478;-0.209;0.067;0.002;0.044;0;0.618;0.204;0.302;0.025;0.171;0.035;0.064;0.25;0.038;0.014;0.013;0.001;0.126;0.479;-0.027;0.773;0.001;0.002;0.017;-0.203;0.024;0.002;0.04;0.002;0.199;-0.049;-0.014;0.075;0.081;0.03;0.461;-0.078;-0.016;0.025;0.027;0.001;0.318;-0.164;0.062;0.001;0.154;0.013;0.314;0.38;0.029;0.63;0.004;0.002;0.031;-0.139;-0.02;0.001;0.04;0.001;0.302;-0.156;-0.085;0.001;0.007;0.001;0.422;-0.089;0.094;0.003;0.016;0.015;0.041
7;0.221;0.043;0.005;0.373;0.015;0.148;0.362;0.011;0.016;0.035;0.003;0.305;-0.193;0.06;0.003;0.044;0.001;0.227;-0.209;0.044;0;0.109;0.002;0.357;-0.113;0.011;0.001;0.144;0.006;0.62;0.597;0.063;0.981;0;0.001;0;-0.495;0.238;0.001;0.035;0;0.427;-0.264;0.226;0.002;0.153;0.004;0.145;-0.235;0.004;0.007;0.01;0;0.257;-0.204;0.013;0.004;0.184;0.002;0.417;-0.261;0.069;0.003;0.114;0.006;0.292;-0.147;-0.036;0.6;0.019;0.013;0.271;-0.019;0.036;0.001;0.016;0;0.314;0.052;0.056;0.035;0.239;0.074;0.338;-0.313;-0.254;0;0.005;0;0.601;-0.072;0.032;0.006;0.073;0.007;0.108;-0.171;-0.008;0.001;0.057;0.027;0.574;-0.064;0.024;0.011;0.126;0.002;0.277;-0.353;0.154;0.001;0.063;0;0.506;0.127;0.093;0.054;0.054;0.004;0.109;0.23;0.039;0.012;0.013;0.001;0.13;0.503;0.023;0.705;0;0.002;0.004;-0.201;0.031;0.002;0.047;0.002;0.207;-0.003;-0.002;0.076;0.076;0.043;0.458;-0.183;-0.051;0.002;0.066;0;0.465;-0.191;0.102;0.002;0.185;0.011;0.269;0.263;0.018;0.375;0.009;0.003;0.05;-0.138;-0.03;0.001;0.042;0.001;0.323;-0.144;-0.023;0.009;0.198;0.047;0.575;-0.091;0.111;0.004;0.028;0.033;0.043
8;0.168;0.062;0.12;0.15;0.012;0.1;0.354;0.018;0.01;0.056;0.01;0.362;-0.19;0.061;0.006;0.039;0.002;0.221;-0.241;0.048;0;0.188;0.002;0.462;-0.163;0.018;0.001;0.141;0.004;0.555;0.583;0.067;0.974;0;0;0;-0.462;0.193;0.002;0.036;0;0.532;-0.252;0.191;0.002;0.085;0.003;0.098;-0.229;0.003;0.008;0.011;0;0.33;-0.182;-0.007;0.002;0.083;0.001;0.55;-0.281;0.052;0.002;0.159;0.007;0.307;-0.14;-0.039;0.606;0.021;0.008;0.259;-0.049;0.035;0.016;0.009;0;0.101;0.129;0.047;0.052;0.243;0.074;0.221;-0.436;-0.274;0.001;0.006;0;0.566;-0.157;0.008;0.004;0.091;0.001;0.374;-0.192;-0.017;0.001;0.04;0.016;0.689;-0.027;0.037;0.026;0.078;0.002;0.255;-0.316;0.117;0.001;0.144;0.001;0.527;0.072;0.056;0.065;0.04;0.003;0.109;0.145;0.039;0.009;0.013;0.001;0.129;0.531;0.003;0.85;0;0.001;0.003;-0.202;0.029;0.002;0.052;0.002;0.235;-0.021;0.005;0.044;0.04;0.051;0.648;-0.169;-0.034;0.001;0.075;0;0.43;-0.196;0.103;0.002;0.146;0.014;0.298;0.165;0.004;0.19;0.014;0.003;0.066;-0.133;-0.036;0.001;0.055;0.001;0.286;0.061;0.041;0.906;0.027;0.043;0.009;-0.106;0.09;0.007;0.034;0.038;0.041
9;0.083;0.079;0.018;0.568;0.01;0.134;0.342;-0.008;0.042;0.029;0.025;0.312;-0.184;0.075;0.005;0.047;0.003;0.258;-0.243;0.059;0;0.194;0.005;0.46;-0.138;-0.007;0.001;0.126;0.004;0.611;0.639;0.077;0.979;0;0.001;0;-0.458;0.175;0.002;0.022;0;0.497;-0.277;0.256;0.002;0.115;0.003;0.13;-0.264;-0.004;0.007;0.009;0;0.192;-0.166;0.021;0.002;0.106;0.001;0.505;-0.24;0.04;0.003;0.108;0.005;0.285;-0.171;-0.036;0.418;0.032;0.008;0.409;-0.043;0.045;0.001;0.016;0;0.218;0.095;0.051;0.061;0.219;0.103;0.24;-0.247;0.015;0.001;0.011;0;0.659;-0.153;0.027;0.008;0.106;0.001;0.353;-0.194;-0.018;0.001;0.04;0.015;0.694;-0.069;0.033;0.02;0.112;0.002;0.28;-0.16;0.078;0.003;0.103;0;0.404;-0.136;-0.024;0.035;0.068;0.003;0.269;0.148;0.044;0.006;0.015;0.001;0.126;0.535;0.009;0.869;0;0.001;0.003;-0.225;0.012;0.002;0.053;0.002;0.199;-0.057;0.008;0.08;0.031;0.065;0.49;-0.184;-0.027;0.001;0.061;0;0.49;-0.177;0.111;0.001;0.142;0.014;0.31;0.115;0.009;0.093;0.018;0.003;0.08;-0.129;-0.042;0.002;0.048;0.001;0.276;-0.231;-0.078;0.001;0.035;0;0.246;-0.09;0.076;0.006;0.038;0.034;0.047
