Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.236;0.061;0.016;0.251;0.006;0.142;0.308;0.008;0.085;0.032;0.003;0.203;;;;;;;-0.101;0.053;0.001;0.118;0.014;0.385;-0.06;0.05;0.005;0.03;0.076;0.285;;;;;;;-0.418;0.208;0.002;0.029;0;0.441;-0.149;0.1;0.028;0.035;0.001;0.065;-0.02;-0.028;0.012;0.01;0;0.194;-0.129;-0.016;0.005;0.101;0.001;0.449;-0.274;0.129;0.008;0.149;0.01;0.254;0.082;-0.042;0.95;0.002;0.006;0.023;0.171;0.021;0.025;0.016;0;0.414;0.124;0.022;0.014;0.18;0.111;0.198;-0.054;0.052;0.221;0.007;0.003;0.308;-0.317;-0.083;0.001;0.026;0;0.494;-0.271;-0.023;0.001;0.025;0.006;0.597;0.334;0.062;0.291;0.011;0.002;0.044;-0.009;-0.001;0.003;0.119;0.001;0.289;0.266;0.046;0.599;0.014;0.004;0.047;0.196;0.014;0.005;0.007;0.001;0.097;0.145;0.006;0.079;0.03;0.002;0.155;-0.123;0.065;0.01;0.056;0.007;0.206;0.117;0.096;0.051;0.031;0.089;0.591;-0.053;-0.026;0.029;0.016;0.001;0.438;-0.135;-0.004;0.005;0.094;0.004;0.257;0.502;0.132;0.573;0;0.001;0.013;-0.128;0;0.009;0.125;0.002;0.321;-0.396;-0.187;0.001;0.014;0;0.435;-0.066;0.072;0.001;0.021;0.035;0.061
2;0.102;0.121;0.002;0.098;0.007;0.316;0.269;0.03;0.035;0.018;0.009;0.147;;;;;;;-0.081;0.011;0.001;0.093;0.001;0.235;-0.038;0.063;0.011;0.055;0.06;0.392;0.068;0.048;0.306;0.038;0.006;0.109;-0.421;0.215;0.002;0.032;0;0.456;-0.174;0.099;0.012;0.055;0.001;0.121;-0.008;-0.069;0.006;0.01;0;0.205;-0.121;0.005;0.004;0.129;0.001;0.442;-0.254;0.12;0.009;0.161;0.009;0.278;0.051;-0.019;0.749;0.011;0.019;0.169;0.1;0.035;0.012;0.015;0;0.379;0.123;0.023;0.014;0.182;0.111;0.197;-0.184;0.048;0.067;0.009;0.003;0.376;-0.159;0.016;0.001;0.045;0;0.312;-0.254;-0.048;0.001;0.037;0.012;0.651;0.352;0.037;0.133;0.057;0.003;0.12;-0.082;0.012;0.003;0.289;0.001;0.345;0.191;0.039;0.36;0.02;0.003;0.164;0.291;0.026;0.033;0.01;0.001;0.101;0.112;-0.017;0.016;0.049;0.001;0.27;-0.21;0.074;0.002;0.035;0.001;0.415;0.077;-0.021;0.008;0.004;0.002;0.93;0.045;-0.006;0.336;0.01;0.004;0.282;-0.149;0.049;0.003;0.119;0.006;0.317;0.315;0.054;0.476;0.001;0.003;0.043;-0.158;-0.025;0.02;0.168;0.003;0.266;-0.245;-0.032;0.001;0.017;0.001;0.181;-0.048;0.023;0.005;0.028;0.02;0.053
3;0;0.072;0.045;0.012;0.013;0.029;0.117;0.019;0.221;0.009;0.005;0.204;-0.186;0.018;0.003;0.042;0.001;0.174;-0.181;0.033;0;0.122;0.002;0.597;-0.089;0.026;0.002;0.051;0.005;0.739;0.146;0.046;0.122;0.06;0.004;0.23;-0.399;0.229;0.002;0.032;0;0.451;-0.219;0.007;0.006;0.04;0.001;0.363;0.07;0.021;0.002;0.004;0;0.047;-0.097;-0.007;0.004;0.119;0.001;0.432;-0.288;0.115;0.005;0.257;0.008;0.311;-0.07;-0.026;0.536;0.014;0.035;0.354;-0.071;-0.036;0.006;0.016;0;0.467;-0.002;0.048;0.01;0.221;0.167;0.306;-0.174;0.047;0.03;0.014;0.002;0.409;-0.141;0.01;0.001;0.042;0;0.324;-0.272;-0.036;0.001;0.021;0.006;0.588;-0.004;0.028;0.041;0.095;0.003;0.216;-0.119;0.053;0.005;0.135;0.001;0.333;0.109;0.058;0.145;0.061;0.002;0.217;0.149;0.033;0.01;0.012;0.001;0.172;0.094;-0.008;0.017;0.052;0.001;0.218;-0.256;-0.05;0.002;0.076;0.001;0.438;0.198;0.114;0.011;0.017;0.014;0.822;-0.172;-0.042;0.003;0.011;0;0.802;-0.077;0.063;0.002;0.151;0.009;0.329;0.374;0.036;0.684;0.001;0.003;0.008;-0.182;0.004;0.005;0.265;0.002;0.21;-0.276;-0.018;0.001;0.021;0.001;0.223;-0.06;0.047;0.002;0.02;0.038;0.071
4;0.095;0.066;0.017;0.204;0.013;0.174;0.085;-0.002;0.018;0.025;0.001;0.343;-0.173;0.018;0.004;0.043;0.001;0.203;-0.152;0.021;0;0.128;0.002;0.557;0.093;0.054;0.009;0.126;0.027;0.448;0.018;0.043;0.128;0.043;0.004;0.198;-0.418;0.239;0.002;0.029;0;0.43;-0.225;0.085;0.006;0.091;0.001;0.21;-0.027;0.013;0.001;0.003;0;0.015;-0.162;0.011;0.003;0.102;0.001;0.482;-0.26;0.175;0.003;0.227;0.007;0.322;-0.103;-0.021;0.686;0.012;0.02;0.207;0.183;0.03;0.044;0.014;0.001;0.204;0.084;0.019;0.009;0.156;0.029;0.329;-0.226;0.061;0.008;0.012;0.001;0.626;-0.16;-0.008;0.001;0.05;0;0.291;-0.255;-0.038;0.001;0.034;0.009;0.613;-0.035;0.049;0.031;0.112;0.003;0.278;-0.12;0.055;0.004;0.107;0.001;0.446;0.14;0.146;0.436;0.048;0.003;0.1;0.271;0.034;0.015;0.009;0.001;0.122;0.101;-0.013;0.017;0.051;0.001;0.24;-0.2;0.093;0.003;0.153;0.005;0.292;0.214;0.154;0.013;0.017;0.029;0.822;-0.115;0.009;0.017;0.028;0.001;0.379;-0.105;0.053;0.008;0.126;0.01;0.257;0.202;0.029;0.239;0.003;0.006;0.067;-0.1;-0.009;0.005;0.224;0.004;0.203;-0.275;-0.014;0.001;0.024;0.001;0.299;-0.148;0.116;0.005;0.034;0.008;0.06
5;0.094;0.072;0.021;0.214;0.007;0.185;0.14;0.064;0.02;0.047;0.018;0.194;-0.166;0.017;0.004;0.04;0.001;0.202;-0.152;0.023;0;0.196;0.002;0.643;0.063;0.051;0.004;0.118;0.023;0.54;0.162;0.041;0.173;0.041;0.004;0.216;-0.398;0.211;0.002;0.035;0;0.423;-0.179;0.114;0.008;0.101;0.004;0.101;-0.007;-0.007;0.001;0.003;0;0.02;-0.177;-0.005;0.003;0.148;0.001;0.429;-0.267;0.149;0.005;0.205;0.009;0.251;-0.142;-0.021;0.632;0.021;0.04;0.215;0.137;0.035;0.015;0.016;0;0.219;0.056;0.044;0.008;0.111;0.034;0.386;-0.202;0.064;0.007;0.014;0.001;0.391;-0.135;0.004;0.001;0.039;0;0.311;-0.257;-0.037;0.001;0.033;0.009;0.619;0.193;0.036;0.052;0.05;0.002;0.444;-0.152;0.059;0.002;0.213;0.001;0.403;0.208;0.135;0.466;0.05;0.003;0.084;0.081;0.028;0.008;0.014;0.001;0.168;0.015;-0.037;0.011;0.046;0.001;0.234;-0.21;0.08;0.003;0.126;0.006;0.335;0.166;0.045;0.012;0.013;0.018;0.885;-0.087;0.001;0.113;0.021;0.002;0.19;-0.079;0.033;0.004;0.142;0.01;0.253;0.114;0.041;0.226;0.007;0.005;0.172;-0.11;-0.004;0.003;0.19;0.003;0.183;-0.247;-0.007;0.002;0.066;0.002;0.245;-0.106;0.054;0.001;0.026;0.021;0.04
6;0.204;0.054;0.065;0.211;0.005;0.135;0.216;0.023;0.022;0.039;0.011;0.127;-0.171;0.081;0.004;0.046;0.001;0.422;-0.183;0.035;0;0.241;0.003;0.538;0.057;0.046;0.004;0.067;0.009;0.666;0.273;0.05;0.123;0.019;0.003;0.28;-0.4;0.218;0.002;0.035;0;0.457;-0.248;0.126;0.002;0.082;0.001;0.16;-0.042;-0.012;0.001;0.004;0;0.03;-0.215;0.025;0.003;0.242;0.002;0.41;-0.266;0.174;0.005;0.195;0.011;0.264;-0.132;-0.043;0.628;0.019;0.03;0.235;0.062;0.035;0.032;0.012;0;0.228;0.055;0.039;0.009;0.121;0.041;0.43;-0.282;0.097;0.002;0.019;0.001;0.545;-0.078;-0.008;0.002;0.049;0;0.256;-0.239;-0.018;0.001;0.034;0.018;0.613;0.25;0.058;0.102;0.04;0.002;0.362;-0.28;0.05;0.001;0.265;0.001;0.487;0.21;0.012;0.239;0.03;0.004;0.174;-0.128;-0.205;0.003;0.007;0;0.696;-0.04;-0.031;0.015;0.054;0.001;0.236;-0.181;0.033;0.002;0.101;0.003;0.252;0.102;0.117;0.017;0.02;0.027;0.797;-0.148;0.011;0.057;0.028;0.002;0.218;-0.174;0.083;0.003;0.152;0.008;0.283;0.326;0.033;0.643;0.001;0.002;0.011;-0.17;-0.025;0.002;0.183;0.002;0.236;-0.251;-0.007;0.002;0.064;0.002;0.247;-0.093;0.049;0.002;0.055;0.026;0.086
7;0.223;0.06;0.242;0.05;0.01;0.045;0.055;0.059;0.015;0.088;0.06;0.188;-0.147;0.073;0.003;0.038;0.002;0.215;-0.236;0.029;0;0.198;0.006;0.542;0.115;0.052;0.019;0.069;0.07;0.394;0.229;0.036;0.378;0.014;0.007;0.113;-0.418;0.115;0.002;0.026;0;0.55;-0.252;0.147;0.007;0.053;0.001;0.083;-0.001;-0.012;0.002;0.002;0;0.015;-0.256;0.032;0.002;0.288;0.002;0.406;-0.297;0.12;0.006;0.162;0.008;0.239;-0.166;-0.034;0.578;0.023;0.068;0.264;0.042;0.03;0.037;0.012;0.001;0.125;0.123;0.043;0.004;0.168;0.026;0.329;-0.264;0.042;0.002;0.021;0.001;0.592;-0.132;-0.003;0.003;0.06;0;0.207;-0.313;-0.014;0;0.024;0.018;0.552;0.258;0.054;0.2;0.021;0.002;0.137;0.053;0.04;0.002;0.425;0.002;0.313;0.348;0.042;0.463;0.013;0.003;0.071;0.081;0.007;0.004;0.007;0;0.178;0.384;-0.025;0.301;0.011;0.003;0.131;-0.225;-0.014;0.001;0.08;0.001;0.42;0.135;0.098;0.021;0.017;0.031;0.809;-0.164;-0.011;0.003;0.027;0;0.67;-0.192;0.118;0.004;0.162;0.008;0.29;0.304;0.048;0.64;0.001;0.002;0.01;-0.128;-0.022;0.002;0.179;0.002;0.215;-0.288;0.003;0.001;0.025;0.001;0.212;-0.149;0.102;0.002;0.047;0.031;0.089
8;0.235;0.055;0.506;0.029;0.009;0.025;0.09;0.032;0.022;0.034;0.008;0.344;-0.169;0.032;0.004;0.043;0.002;0.192;-0.183;0.039;0;0.228;0.003;0.56;0.044;0.04;0.005;0.072;0.007;0.721;0.313;0.032;0.696;0.005;0.007;0.043;-0.424;0.163;0.001;0.03;0;0.531;-0.25;0.13;0.006;0.048;0.001;0.078;-0.054;0.006;0.001;0.003;0;0.02;-0.237;0.004;0.002;0.193;0.001;0.445;-0.258;0.154;0.006;0.103;0.011;0.19;-0.213;-0.028;0.268;0.032;0.033;0.556;0.107;0.031;0.294;0.005;0.001;0.072;0.014;0.034;0.003;0.14;0.03;0.279;-0.294;0.046;0.002;0.017;0.001;0.479;-0.144;-0.021;0.001;0.03;0;0.293;-0.321;-0.029;0;0.028;0.033;0.567;0.134;0.045;0.138;0.024;0.002;0.148;-0.027;0.069;0.002;0.299;0.001;0.328;0.141;-0.018;0.057;0.029;0.002;0.681;0.107;0.013;0.006;0.01;0.001;0.13;0.291;-0.006;0.34;0.014;0.002;0.098;-0.173;0.031;0.002;0.091;0.002;0.227;0.134;0.099;0.022;0.024;0.034;0.758;-0.17;-0.009;0.005;0.013;0;0.451;-0.165;0.094;0.004;0.128;0.011;0.222;0.284;0.036;0.682;0.001;0.002;0.01;-0.152;-0.011;0.002;0.082;0.001;0.245;-0.223;-0.019;0.001;0.037;0.001;0.283;-0.137;0.077;0.002;0.05;0.017;0.089
9;0.153;0.083;0.125;0.257;0.007;0.134;0.266;0.045;0.089;0.022;0.014;0.282;-0.16;0.132;0.003;0.047;0.003;0.19;-0.148;0.042;0;0.201;0.003;0.545;-0.091;-0.002;0.004;0.037;0.005;0.784;0.357;0.026;0.612;0.008;0.006;0.094;-0.359;0.193;0.002;0.058;0.001;0.394;-0.264;0.176;0.003;0.107;0.001;0.14;-0.082;0.009;0.002;0.004;0;0.037;-0.222;-0.018;0.002;0.129;0.001;0.472;-0.252;0.152;0.006;0.129;0.01;0.215;-0.174;-0.032;0.005;0.024;0.002;0.892;-0.063;0.04;0.003;0.028;0;0.296;0.017;0.038;0.004;0.123;0.023;0.318;-0.28;0.009;0.008;0.011;0.001;0.347;-0.128;-0.001;0.001;0.061;0;0.322;-0.188;-0.027;0.002;0.042;0.068;0.579;0.225;0.061;0.096;0.106;0.004;0.205;-0.273;0.192;0.002;0.324;0.001;0.281;0.367;0.053;0.532;0.022;0.004;0.07;0.048;0.008;0.003;0.011;0.001;0.155;0.06;-0.023;0.108;0.03;0.002;0.173;-0.186;0.045;0.001;0.092;0.002;0.135;-0.189;0.25;0.002;0.01;0.007;0.91;-0.194;-0.003;0.001;0.017;0;0.796;-0.128;0.112;0.005;0.137;0.02;0.229;0.224;0.028;0.637;0.002;0.002;0.02;-0.161;-0.01;0.002;0.102;0.002;0.217;-0.217;-0.02;0.001;0.038;0.002;0.286;-0.112;0.053;0.002;0.039;0.015;0.06
