Sec↓/Measure →;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad;Valence;Arousal;Sym/Hap;Foc/Ang;Surprise;Dis/Sad
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.498;-0.223;0.001;0.022;0.001;0.726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.238;-0.047;0.001;0.035;0;0.669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.324;0.101;0.873;0.001;0.001;0.002;0.053;0.004;0.012;0.018;0.002;0.416;-0.186;0.06;0.009;0.029;0.001;0.214;-0.193;0.074;0;0.227;0.013;0.334;-0.168;0.046;0.004;0.058;0.02;0.1;-0.217;-0.007;0.022;0.07;0.003;0.266;-0.445;0.236;0.002;0.017;0;0.433;-0.161;0.185;0.007;0.081;0.002;0.11;0.081;-0.082;0.022;0.005;0;0.082;-0.074;-0.034;0.005;0.054;0.001;0.434;-0.223;0.091;0.005;0.161;0.012;0.165;-0.183;-0.027;0.043;0.046;0.005;0.743;0.117;0.072;0.149;0.008;0.001;0.121;0.047;0.07;0.846;0.017;0.077;0.008;0.014;0.018;0.18;0.01;0.001;0.326;0.004;-0.005;0.004;0.115;0.001;0.468;-0.497;-0.222;0.001;0.022;0.001;0.72;-0.052;0.02;0.014;0.218;0.004;0.282;-0.268;-0.196;0.002;0.105;0.001;0.568;0.206;0.021;0.181;0.03;0.002;0.178;0.201;0.024;0.008;0.017;0;0.241;0.395;0.011;0.706;0.006;0.002;0.051;-0.175;-0.008;0.002;0.052;0.002;0.115;-0.124;-0.075;0.006;0.005;0.004;0.944;-0.391;-0.058;0;0.119;0.001;0.609;-0.144;0.094;0.002;0.182;0.011;0.31;0.193;0.056;0.561;0.001;0.001;0.017;-0.015;-0.054;0.007;0.017;0.001;0.473;-0.281;-0.075;0.001;0.048;0.001;0.393;-0.202;0.01;0.006;0.036;0.037;0.087
2;-0.016;0.212;0.104;0.087;0.006;0.086;0.062;-0.002;0.016;0.02;0.002;0.458;-0.141;0.035;0.012;0.025;0.001;0.282;-0.239;0.046;0;0.218;0.005;0.493;-0.129;0.016;0.005;0.054;0.024;0.129;-0.223;-0.005;0.02;0.069;0.003;0.267;-0.401;0.27;0.003;0.017;0;0.422;-0.187;0.274;0.02;0.019;0.001;0.015;0.524;0.027;0.096;0.008;0.004;0.051;-0.144;-0.049;0.007;0.064;0.001;0.39;-0.166;0.137;0.005;0.189;0.013;0.131;-0.132;-0.062;0.007;0.041;0.003;0.88;0.08;0.062;0.332;0.004;0.001;0.049;-0.016;0.082;0.051;0.152;0.356;0.118;-0.188;0.049;0.005;0.029;0.001;0.437;0.022;-0.002;0.014;0.055;0.001;0.474;-0.5;-0.222;0.001;0.022;0.001;0.721;-0.138;0.04;0.007;0.252;0.003;0.247;-0.144;-0.092;0.002;0.244;0.001;0.473;0.056;0.058;0.051;0.044;0.003;0.222;0.095;-0.038;0.008;0.028;0.001;0.266;0.402;0.016;0.562;0.011;0.002;0.072;-0.08;0.016;0.007;0.049;0.002;0.195;-0.069;0.06;0.023;0.009;0.08;0.731;-0.106;-0.037;0.023;0.018;0.001;0.434;-0.181;0.068;0.001;0.188;0.006;0.285;0.357;0.048;0.669;0.001;0.002;0.024;-0.053;-0.028;0.003;0.02;0.001;0.23;-0.273;-0.069;0.001;0.042;0.001;0.434;-0.112;0.018;0.004;0.047;0.039;0.118
3;-0.035;0.276;0.088;0.196;0.009;0.056;0.123;0.022;0.013;0.019;0.01;0.486;-0.156;0.019;0.01;0.024;0.001;0.234;-0.256;0.056;0;0.237;0.008;0.448;-0.049;0.01;0.003;0.164;0.01;0.533;-0.175;0.033;0.013;0.093;0.006;0.276;-0.379;0.339;0.003;0.017;0;0.407;-0.186;0.286;0.01;0.056;0.001;0.084;0.245;0.014;0.023;0.003;0.001;0.044;-0.183;-0.048;0.004;0.067;0.001;0.383;-0.152;0.14;0.003;0.315;0.012;0.175;-0.101;-0.058;0.086;0.08;0.011;0.743;-0.041;0.064;0.023;0.015;0.001;0.207;-0.05;0.087;0.017;0.122;0.222;0.204;-0.211;0.017;0.002;0.017;0;0.622;0.074;0;0.008;0.051;0.001;0.537;-0.499;-0.221;0.001;0.023;0.001;0.72;-0.194;0.034;0.004;0.145;0.002;0.269;-0.089;-0.071;0.002;0.107;0.001;0.538;0.289;0.067;0.211;0.06;0.005;0.188;0.05;0.041;0.004;0.018;0.001;0.163;0.201;-0.012;0.031;0.109;0.002;0.297;-0.137;0.012;0.004;0.046;0.003;0.159;0.244;0.082;0.042;0.004;0.032;0.582;0.595;-0.025;0.992;0;0;0;-0.153;0.06;0.002;0.188;0.011;0.281;0.408;0.074;0.597;0.001;0.002;0.013;-0.032;-0.035;0.003;0.016;0.001;0.214;-0.29;-0.033;0.001;0.043;0.001;0.241;-0.2;0.043;0.005;0.043;0.042;0.106
4;-0.068;0.101;0.185;0.011;0.059;0.018;0.067;0.022;0.017;0.019;0.006;0.516;-0.186;0.043;0.004;0.037;0.001;0.456;-0.233;0.075;0.001;0.121;0.003;0.442;-0.09;0.005;0.001;0.131;0.004;0.648;-0.176;0.033;0.014;0.095;0.006;0.281;-0.403;0.295;0.001;0.014;0;0.451;-0.202;0.204;0.07;0.026;0.002;0.044;0.031;0.029;0.006;0.001;0;0.009;-0.256;-0.052;0.006;0.106;0.001;0.396;-0.115;0.163;0.005;0.29;0.011;0.144;-0.127;-0.019;0.428;0.024;0.019;0.454;0.064;0.057;0.138;0.006;0.001;0.07;-0.067;0.042;0.008;0.117;0.064;0.308;-0.147;-0.002;0.001;0.011;0.001;0.537;0.162;0.001;0.006;0.047;0.001;0.656;-0.498;-0.222;0.001;0.023;0.001;0.722;-0.062;0.027;0.009;0.117;0.002;0.21;-0.013;-0.181;0.006;0.043;0.001;0.563;0.286;0.046;0.25;0.059;0.005;0.124;-0.031;-0.221;0.003;0.014;0;0.501;0.285;0.004;0.107;0.066;0.002;0.171;-0.174;0.013;0.003;0.04;0.001;0.152;-0.021;0.102;0.005;0.025;0.011;0.757;0.613;-0.011;0.995;0;0;0;-0.173;0.081;0.002;0.159;0.016;0.242;0.298;0.098;0.599;0;0.002;0.013;-0.019;-0.029;0.003;0.017;0.001;0.173;-0.292;-0.055;0.002;0.017;0;0.246;-0.205;0.033;0.006;0.044;0.03;0.123
5;0.072;0.151;0.321;0.02;0.018;0.03;0.21;0.034;0.043;0.032;0.03;0.362;-0.166;0.016;0.003;0.042;0;0.37;-0.217;0.048;0.001;0.235;0.01;0.47;-0.116;0.013;0.002;0.158;0.009;0.477;-0.177;0.033;0.013;0.095;0.006;0.274;-0.378;0.309;0.003;0.02;0;0.452;0.2;0.083;0.17;0.011;0.002;0.014;0.105;0.008;0.004;0.002;0;0.01;-0.258;-0.035;0.008;0.065;0.001;0.326;-0.116;0.139;0.004;0.38;0.01;0.172;-0.122;-0.003;0.721;0.014;0.011;0.157;-0.069;0.056;0.01;0.018;0;0.235;0.172;0.024;0.005;0.364;0.055;0.226;-0.161;0.044;0.002;0.018;0.001;0.496;0.249;0;0.031;0.052;0.001;0.692;-0.499;-0.221;0.001;0.023;0.001;0.723;0.176;0.031;0.007;0.168;0.002;0.481;-0.179;0.067;0;0.08;0.002;0.046;0.286;0.058;0.313;0.044;0.004;0.073;0.014;0.009;0.003;0.02;0;0.177;0.486;0.013;0.803;0.002;0.001;0.022;-0.23;-0.133;0.002;0.041;0;0.371;-0.062;0.115;0.004;0.012;0.007;0.865;0.495;-0.019;0.979;0;0.001;0.001;-0.153;0.074;0.002;0.155;0.014;0.264;0.277;0.01;0.63;0.001;0.002;0.02;-0.022;-0.025;0.003;0.013;0.001;0.135;-0.28;-0.042;0.001;0.018;0;0.177;-0.161;0.032;0.012;0.043;0.024;0.117
6;0.342;0.07;0.937;0.013;0.003;0.003;0.21;0.041;0.027;0.07;0.036;0.4;-0.152;0.017;0.009;0.037;0.001;0.356;-0.282;0.087;0;0.086;0.002;0.58;-0.148;0.001;0.001;0.141;0.005;0.501;-0.175;0.034;0.013;0.095;0.006;0.274;-0.377;0.293;0.003;0.015;0;0.432;0.434;0.07;0.991;0;0;0;-0.055;0.025;0.002;0.002;0;0.011;-0.24;-0.003;0.005;0.062;0.001;0.277;-0.144;0.161;0.004;0.439;0.008;0.173;-0.163;-0.005;0.741;0.018;0.01;0.154;0.021;0.054;0.022;0.015;0;0.23;0.095;0.03;0.004;0.219;0.031;0.271;-0.183;0.025;0.003;0.023;0.001;0.364;0.107;0.026;0.005;0.119;0.001;0.52;-0.498;-0.221;0.001;0.023;0.001;0.722;0.169;0.018;0.027;0.084;0.001;0.217;0.349;-0.022;0.055;0.054;0.002;0.333;0.121;0.027;0.091;0.075;0.003;0.255;0.015;0.02;0.002;0.019;0.001;0.177;0.462;-0.019;0.696;0.005;0.004;0.097;-0.17;0.079;0.001;0.072;0.009;0.197;-0.05;0.086;0.012;0.017;0.01;0.822;0.458;-0.017;0.967;0;0.001;0.001;-0.17;0.072;0.003;0.134;0.016;0.237;0.31;0.019;0.592;0.002;0.003;0.015;-0.03;-0.03;0.005;0.012;0.001;0.138;-0.306;-0.02;0.001;0.021;0.001;0.132;-0.082;0.012;0.013;0.023;0.009;0.076
7;0.393;0.142;0.975;0.001;0.004;0.001;0.211;0.044;0.018;0.043;0.012;0.288;-0.221;0.027;0.003;0.042;0.001;0.387;-0.181;0.055;0;0.165;0.002;0.609;-0.126;0.012;0.001;0.124;0.004;0.602;-0.175;0.034;0.013;0.095;0.006;0.276;-0.388;0.292;0.003;0.016;0;0.421;0.202;0.083;0.974;0;0.001;0.001;0.009;0.011;0.002;0.003;0;0.019;-0.026;-0.046;0.521;0.006;0.003;0.142;-0.112;0.166;0.004;0.39;0.01;0.164;-0.156;-0.023;0.636;0.021;0.008;0.231;0.062;0.05;0.008;0.017;0;0.232;0.174;0.041;0.013;0.304;0.069;0.129;-0.14;0.039;0.023;0.012;0.003;0.328;0.241;0.019;0.049;0.07;0.001;0.598;-0.514;-0.194;0;0.043;0.002;0.797;-0.053;0.032;0.018;0.056;0.001;0.406;-0.072;0.03;0.008;0.284;0.004;0.294;0.298;0.023;0.074;0.039;0.001;0.271;0.024;0.022;0.001;0.015;0;0.172;0.624;0.049;0.99;0;0;0;-0.141;0.088;0.002;0.065;0.005;0.194;-0.017;0.057;0.014;0.022;0.012;0.788;0.433;-0.03;0.964;0;0.001;0.003;-0.293;0.007;0.001;0.138;0.007;0.338;0.257;0.01;0.529;0.002;0.002;0.02;0.004;-0.026;0.006;0.009;0.001;0.102;-0.27;-0.043;0.001;0.022;0.001;0.175;-0.126;0.004;0.01;0.025;0.006;0.112
8;0.389;0.124;0.973;0;0.001;0;0.158;0.061;0.034;0.053;0.038;0.323;-0.2;0.023;0.004;0.042;0.001;0.345;-0.175;0.041;0;0.134;0.002;0.674;-0.148;0.015;0.001;0.13;0.006;0.554;-0.175;0.034;0.014;0.095;0.006;0.273;-0.397;0.256;0.004;0.016;0;0.466;-0.065;0.105;0.069;0.012;0.001;0.027;0.036;0.012;0.003;0.003;0;0.021;0.469;-0.031;0.959;0;0.001;0.005;-0.207;0.098;0.002;0.355;0.007;0.213;-0.153;-0.036;0.563;0.026;0.011;0.269;0.1;0.053;0.065;0.008;0;0.087;0.253;0.038;0.18;0.207;0.187;0.039;-0.361;-0.041;0.002;0.005;0;0.836;0.24;0.025;0.161;0.066;0.002;0.291;-0.275;-0.002;0;0.102;0.193;0.215;-0.04;0.037;0.028;0.04;0.001;0.308;-0.098;0.007;0.007;0.212;0.003;0.277;0.382;0.063;0.111;0.074;0.004;0.176;-0.038;0.014;0.002;0.017;0;0.153;0.652;0.047;0.992;0;0;0;-0.153;0.069;0.002;0.069;0.004;0.195;0.017;0.076;0.013;0.024;0.013;0.77;0.269;-0.007;0.936;0.001;0.003;0.008;-0.198;0.068;0.003;0.12;0.014;0.22;0.174;-0.01;0.439;0.006;0.003;0.031;-0.025;-0.031;0.005;0.011;0.001;0.155;-0.279;-0.034;0.001;0.022;0.001;0.155;-0.155;0.049;0.025;0.025;0.006;0.134
9;0.421;0.106;0.923;0.002;0.002;0.003;0.174;0.052;0.033;0.057;0.045;0.296;-0.237;0.06;0.006;0.025;0.001;0.589;-0.153;0.041;0;0.196;0.003;0.614;-0.124;-0.023;0.001;0.117;0.005;0.652;-0.17;0.037;0.015;0.09;0.006;0.255;-0.383;0.296;0.003;0.016;0;0.443;-0.148;0.097;0.019;0.026;0.001;0.04;0.067;0.038;0.065;0.004;0.006;0.174;0.014;-0.046;0.191;0.014;0.002;0.42;-0.123;0.082;0.002;0.514;0.007;0.239;-0.132;-0.008;0.666;0.02;0.012;0.217;0.231;0.054;0.759;0.001;0.002;0.017;0.238;0.038;0.172;0.218;0.137;0.051;-0.171;0.056;0.003;0.009;0;0.776;0.202;-0.01;0.016;0.043;0.001;0.668;-0.273;-0.002;0;0.102;0.186;0.217;-0.032;0.021;0.041;0.048;0.002;0.217;-0.014;-0.02;0.021;0.199;0.002;0.372;0.254;0.053;0.091;0.07;0.004;0.126;-0.039;0.015;0.002;0.017;0;0.171;0.625;0.041;0.99;0;0;0;-0.208;0.01;0.002;0.062;0.001;0.23;0.031;0.075;0.018;0.026;0.019;0.744;0.29;-0.027;0.897;0.001;0.002;0.007;-0.192;0.064;0.002;0.157;0.013;0.275;0.284;-0.008;0.49;0.005;0.003;0.024;-0.017;-0.018;0.004;0.019;0.002;0.217;-0.429;-0.346;0.001;0.006;0;0.318;-0.232;0.036;0.009;0.039;0.028;0.087
